sg_ue,nm_ue,uf,vereador,vice,prefeito,total,nm_prefeito,nm_urna_prefeito,partido_prefeito,nm_vice,nm_urna_vice,partido_vice,cd_municipio_ibge
00310,ALTA FLORESTA D'OESTE,RO,1,0,0,1,NA,NA,NA,NA,NA,NA,1100015
01031,SANTA ROSA DO PURUS,AC,3,1,0,4,NA,NA,NA,VALDIR GENEZIO KAXINAWA,VALDIR KAXINAWA,PP,1200435
01090,MÂNCIO LIMA,AC,1,0,0,1,NA,NA,NA,NA,NA,NA,1200336
01104,JORDÃO,AC,1,1,0,2,NA,NA,NA,CLEIBER PINHEIRO SALES,CLÉBER KAXINAWÁ,REPUBLICANOS,1200328
01139,FEIJÓ,AC,1,0,0,1,NA,NA,NA,NA,NA,NA,1200302
02054,ATALAIA DO NORTE,AM,2,0,0,2,NA,NA,NA,NA,NA,NA,1300201
02070,AUTAZES,AM,1,0,0,1,NA,NA,NA,NA,NA,NA,1300300
02097,BARCELOS,AM,1,0,0,1,NA,NA,NA,NA,NA,NA,1300409
02119,BARREIRINHA,AM,2,0,0,2,NA,NA,NA,NA,NA,NA,1300508
02135,BENJAMIN CONSTANT,AM,3,0,0,3,NA,NA,NA,NA,NA,NA,1300607
02178,BORBA,AM,1,0,0,1,NA,NA,NA,NA,NA,NA,1300805
02194,CANUTAMA,AM,1,0,0,1,NA,NA,NA,NA,NA,NA,1300904
02453,JAPURÁ,AM,0,1,0,1,NA,NA,NA,MADALENA DA SILVA CARDOSO,PROF MADALENA,UNIÃO,1302108
02518,LÁBREA,AM,1,0,0,1,NA,NA,NA,NA,NA,NA,1302405
02658,NOVA OLINDA DO NORTE,AM,1,0,0,1,NA,NA,NA,NA,NA,NA,1303106
02739,SANTO ANTÔNIO DO IÇÁ,AM,3,1,0,4,NA,NA,NA,ALBERTO GOMES XAVIER,DEGÁ,MOBILIZA,1303700
02755,SÃO PAULO DE OLIVENÇA,AM,2,0,0,2,NA,NA,NA,NA,NA,NA,1303908
02836,SÃO GABRIEL DA CACHOEIRA,AM,12,1,1,14,EGMAR VELASQUES SALDANHA,EGMAR CURUBINHA,PT,ELIANE FARIAS FALCÃO,PROFESSORA ELIANE FALCÃO,PT,1303809
02895,ALVARÃES,AM,2,0,0,2,NA,NA,NA,NA,NA,NA,1300029
02917,AMATURÁ,AM,4,1,0,5,NA,NA,NA,RODENEY RABELO TORRES,RODNEY,REPUBLICANOS,1300060
03042,AMAJARI,RR,1,0,0,1,NA,NA,NA,NA,NA,NA,1400027
03077,BONFIM,RR,1,0,0,1,NA,NA,NA,NA,NA,NA,1400159
03107,UIRAMUTÃ,RR,6,1,1,8,BENÍSIO ROBERTO DE SOUZA,TUXAUA BENÍSIO,REDE,JEREMIAS SOUZA LIMA,PROFESSOR JEREMIAS,REDE,1400704
03115,NORMANDIA,RR,0,0,1,1,WENSTON PAULINO BERTO RAPOSO,DR RAPOSO,PP,NA,NA,NA,1400407
03123,PACARAIMA,RR,1,0,0,1,NA,NA,NA,NA,NA,NA,1400456
04049,BOM JESUS DO TOCANTINS,PA,1,0,0,1,NA,NA,NA,NA,NA,NA,1501576
04197,AVEIRO,PA,1,0,0,1,NA,NA,NA,NA,NA,NA,1501006
04200,JACAREACANGA,PA,5,1,0,6,NA,NA,NA,VALMAR KABA MUNDURUKU,VALMAR KABA,PT,1503754
04839,MARABÁ,PA,1,0,0,1,NA,NA,NA,NA,NA,NA,1504208
06084,PEDRA BRANCA DO AMAPARI,AP,1,0,0,1,NA,NA,NA,NA,NA,NA,1600154
06092,OIAPOQUE,AP,4,0,0,4,NA,NA,NA,NA,NA,NA,1600501
07110,AMARANTE DO MARANHÃO,MA,1,0,0,1,NA,NA,NA,NA,NA,NA,2100600
07315,BARRA DO CORDA,MA,1,0,0,1,NA,NA,NA,NA,NA,NA,2101608
07544,FERNANDO FALCÃO,MA,1,0,0,1,NA,NA,NA,NA,NA,NA,2104081
07706,ITAIPAVA DO GRAJAÚ,MA,1,0,0,1,NA,NA,NA,NA,NA,NA,2105351
07765,JENIPAPO DOS VIEIRAS,MA,1,0,0,1,NA,NA,NA,NA,NA,NA,2105476
08397,MONTES ALTOS,MA,1,0,0,1,NA,NA,NA,NA,NA,NA,2107001
08605,TURILÂNDIA,MA,1,0,0,1,NA,NA,NA,NA,NA,NA,2112456
73059,MAURILÂNDIA DO TOCANTINS,TO,1,0,0,1,NA,NA,NA,NA,NA,NA,1712801
73156,SANDOLÂNDIA,TO,1,0,0,1,NA,NA,NA,NA,NA,NA,1718840
89834,PARANATINGA,MT,1,0,0,1,NA,NA,NA,NA,NA,NA,5106307
89843,SANTO ANTÔNIO DO LESTE,MT,2,0,0,2,NA,NA,NA,NA,NA,NA,5107792
89960,RONDOLÂNDIA,MT,2,0,0,2,NA,NA,NA,NA,NA,NA,5107578
90042,ALTO BOA VISTA,MT,1,0,0,1,NA,NA,NA,NA,NA,NA,5100359
90344,PLANALTO DA SERRA,MT,1,0,0,1,NA,NA,NA,NA,NA,NA,5106455
90964,NOVA NAZARÉ,MT,1,0,0,1,NA,NA,NA,NA,NA,NA,5106174
91057,LUCIARA,MT,3,0,0,3,NA,NA,NA,NA,NA,NA,5105309
93653,FORMOSO DO ARAGUAIA,TO,1,0,0,1,NA,NA,NA,NA,NA,NA,1708205
94056,ITACAJÁ,TO,1,0,0,1,NA,NA,NA,NA,NA,NA,1710508
96199,TOCANTÍNIA,TO,2,0,0,2,NA,NA,NA,NA,NA,NA,1721109
98370,ITAMARATI,AM,1,0,0,1,NA,NA,NA,NA,NA,NA,1301951
98477,TABATINGA,AM,5,0,0,5,NA,NA,NA,NA,NA,NA,1304062
98655,CAMPINÁPOLIS,MT,1,0,0,1,NA,NA,NA,NA,NA,NA,5102603
