geocode;munic;geocode6;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;pop2013;pop2014;pop2015;pop2016;pop2017;pop2018;pop2019;pop2020;pop2021;pop2022;tx2013;tx2014;tx2015;tx2016;tx2017;tx2018;tx2019;tx2020;tx2021;tx2022
1100015;Alta Floresta D'Oeste;110001;4;2;5;3;3;4;4;2;3;1;24128;23858;23591;23288;22986;22688;22387;22081;21751;21418;0.165782493;0.083829323;0.211945233;0.128821711;0.130514226;0.176304654;0.178675124;0.090575608;0.137924693;0.0466897
1100023;Ariquemes;110002;23;18;14;17;16;9;16;18;12;12;97166;98698;100214;101721;103192;104643;106029;107349;108674;109926;0.236708314;0.182374516;0.13970104;0.167123799;0.155050779;0.086006709;0.150902112;0.167677389;0.110421996;0.109164347
1100031;Cabixi;110003;0;1;0;0;1;3;1;1;1;0;6139;6042;5948;5839;5732;5630;5531;5433;5322;5214;0;0.16550811;0;0;0.174459177;0.53285968;0.180799132;0.184060372;0.187899286;0
1100049;Cacoal;110004;12;17;12;8;10;11;5;9;7;13;81358;81634;81878;82093;82262;82400;82479;82499;82497;82436;0.147496251;0.208246564;0.146559515;0.097450453;0.121562812;0.133495146;0.060621492;0.109092231;0.08485157;0.157698093
1100056;Cerejeiras;110005;6;5;2;3;2;5;4;1;2;3;16958;16802;16645;16475;16301;16127;15946;15758;15563;15362;0.353815308;0.297583621;0.120156203;0.182094082;0.122691859;0.310039065;0.250846607;0.06345983;0.128509927;0.195287072
1100064;Colorado do Oeste;110006;3;1;2;4;2;4;0;2;1;3;18014;17694;17378;17045;16715;16390;16066;15742;15406;15071;0.166537138;0.056516333;0.115088042;0.234672925;0.119653006;0.244051251;0;0.12704866;0.064909775;0.199057793
1100072;Corumbiara;110007;0;1;1;0;1;1;0;2;1;2;8494;8341;8193;8030;7871;7717;7565;7414;7253;7093;0;0.119889701;0.122055413;0;0.12704866;0.129584035;0;0.269759914;0.137873983;0.281968138
1100080;Costa Marques;110008;0;0;2;4;1;2;2;4;1;2;15175;15574;15983;16392;16807;17231;17655;18079;18506;18930;0;0;0.125132954;0.244021474;0.059499018;0.116069874;0.113282356;0.221251175;0.054036529;0.105652404
1100098;Espigão D'Oeste;110009;3;2;5;4;5;6;0;6;6;3;30225;30480;30726;30963;31183;31394;31581;31746;31908;32046;0.099255583;0.065616798;0.162728634;0.129186448;0.160343777;0.191119322;0;0.189000189;0.188040617;0.093615428
1100106;Guajará0Mirim;110010;15;10;4;5;7;9;6;10;8;12;43522;43764;43991;44203;44398;44583;44734;44849;44968;45058;0.344653279;0.228498309;0.09092769;0.113114494;0.15766476;0.201870668;0.134126168;0.222970412;0.177904287;0.266323405
1100114;Jaru;110011;9;13;9;11;6;11;5;12;9;4;52283;51945;51591;51208;50805;50392;49950;49479;48994;48483;0.172140084;0.250264703;0.174449032;0.214810186;0.118098612;0.218288617;0.1001001;0.242527133;0.183695963;0.082503145
1100122;Ji0Paraná;110012;12;16;14;19;13;21;20;14;16;15;121628;122315;122951;123522;124027;124487;124853;125123;125353;125490;0.098661492;0.130809794;0.1138665;0.153818753;0.104815887;0.168692313;0.160188382;0.1118899;0.127639546;0.119531437
1100130;Machadinho D'Oeste;110013;6;3;7;7;4;4;2;7;5;7;34791;35786;36800;37816;38842;39886;40927;41963;43012;44054;0.172458394;0.083831666;0.190217391;0.185106833;0.102981309;0.100285815;0.048867496;0.166813622;0.116246629;0.1588959
1100148;Nova Brasilândia D'Oeste;110014;0;3;1;3;4;3;2;2;2;0;21046;21292;21541;21758;21972;22188;22399;22604;22780;22948;0;0.14089799;0.0464231;0.13788032;0.182049882;0.135208221;0.0892897;0.088479915;0.087796313;0
1100155;Ouro Preto do Oeste;110015;5;6;6;6;6;9;8;8;3;4;37629;37233;36833;36405;35969;35532;35082;34618;34139;33649;0.132876239;0.161147369;0.162897402;0.164812526;0.166810309;0.253292806;0.22803717;0.231093651;0.087876036;0.118874261
