Geo_cod,NM_MUNICIP,UF,Regiao,IIS3_0121,IIS6_0121,IIS3_0221,IIS6_0221,IIS3_0321,IIS6_0321,IIS3_0421,IIS6_0421,IIS3_0521,IIS6_0521,IIS3_0621,IIS6_0621,IIS3_0721,IIS6_0721,IIS3_0821,IIS6_0821,IIS3_0921,IIS6_0921,IIS3_1021,IIS6_1021,IIS3_1121,IIS6_1121,IIS3_1221,IIS6_1221,IIS3_0122,IIS6_0122,IIS3_0222,IIS6_0222,IIS3_0322,IIS6_0322,IIS3_0422,IIS6_0422,IIS3_0522,IIS6_0522,IIS3_0622,IIS6_0622,IIS3_0722,IIS6_0722,IIS3_0822,IIS6_0822,IIS3_0922,IIS6_0922,IIS3_1022,IIS6_1022,IIS3_1122,IIS6_1122,IIS3_1222,IIS6_1222,IIS3_0123,IIS6_0123,IIS3_0223,IIS6_0223,IIS3_0323,IIS6_0323,IIS3_0423,IIS6_0423,IIS3_0523,IIS6_0523,IIS3_0623,IIS6_0623,IIS3_0723,IIS6_0723,IIS3_0823,IIS6_0823,IIS3_0923,IIS6_0923,IIS3_1023,IIS6_1023,IIS3_1123,IIS6_1123,IIS3_1223,IIS6_1223,IIS1_0124,IIS3_0124,IIS6_0124,IARA_0124,IIS1_0224,IIS3_0224,IIS6_0224,IIS1_0324,IIS3_0324,IIS6_0324,IIS1_0424,IIS3_0424,IIS6_0424,IIS1_0524,IIS3_0524,IIS6_0524,IIS1_0624,IIS3_0624,IIS6_0624
1100015,ALTA FLORESTA D'OESTE,RO,Norte,4,4,6,6,5,5,6,5,5,4,6,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,5,5,6,5,4,4,5,4,5,5,5,5,6,5,5,5,5,5,4,3,5,5,5,5,5,5,5,5,5,5,6,5,6,5,5,5,5,6,4,5,4,4,3,3,3,3,4,3,3,1,4,3,3,5,4,4,5,4,4,4,5,4,5,5,4
1100023,ARIQUEMES,RO,Norte,3,4,5,5,4,4,5,4,5,4,6,5,5,5,4,4,5,5,5,5,6,5,6,5,5,5,5,5,6,5,5,4,5,4,5,5,6,6,5,5,5,4,5,4,3,3,3,3,4,4,4,3,4,4,4,4,5,4,5,5,5,5,5,5,5,5,4,4,3,3,3,3,3,3,3,1,5,4,4,4,4,4,4,4,4,3,4,4,3,4,4
1100031,CABIXI,RO,Norte,4,4,6,4,5,5,5,5,5,4,5,5,5,4,5,5,5,4,3,3,5,5,6,6,6,5,6,6,6,6,4,4,4,4,5,4,5,5,5,5,4,4,5,4,4,4,6,5,5,4,5,5,4,5,4,4,4,5,5,4,5,4,5,4,4,4,4,4,4,4,3,3,5,3,3,1,5,4,4,4,4,4,4,4,4,3,4,4,4,3,3
1100049,CACOAL,RO,Norte,4,4,5,5,5,5,5,5,5,5,6,6,4,5,5,5,5,5,6,5,6,6,6,6,6,6,5,5,6,6,5,5,5,5,5,5,6,6,5,5,5,5,5,5,4,4,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,5,5,3,3,3,3,5,4,4,1,5,5,4,4,5,5,4,5,4,3,4,4,3,3,4
1100056,CEREJEIRAS,RO,Norte,4,4,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,6,5,6,5,6,5,5,5,6,5,4,4,4,4,5,5,6,5,5,5,5,5,5,5,4,4,5,5,4,4,4,4,4,4,4,4,5,5,5,4,5,5,5,5,4,5,4,4,4,4,3,3,4,3,3,1,4,4,4,4,4,4,6,4,4,4,4,4,4,5,4
1100064,COLORADO DO OESTE,RO,Norte,4,4,5,4,4,4,4,4,4,3,5,4,5,4,5,4,5,4,3,3,5,5,6,5,6,5,6,5,5,5,3,4,3,3,4,4,6,5,5,5,5,4,5,5,5,5,6,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,4,4,4,3,3,4,3,3,1,4,4,4,4,4,4,5,4,4,4,4,3,3,4,3
1100072,CORUMBIARA,RO,Norte,4,4,5,4,5,4,5,4,4,4,5,5,4,4,5,4,5,4,3,3,4,3,5,5,6,5,5,5,5,5,4,4,3,3,4,4,6,5,5,5,4,4,5,5,3,3,5,4,4,4,4,4,4,4,5,4,6,5,6,5,6,5,5,5,4,5,4,4,3,3,3,3,4,3,3,1,4,3,3,5,4,4,5,4,4,4,4,4,4,4,4
1100080,COSTA MARQUES,RO,Norte,5,5,6,6,6,6,6,6,5,5,6,6,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,6,5,5,4,5,4,5,5,6,6,5,5,5,5,5,5,4,4,5,5,4,5,5,5,6,5,6,5,6,6,6,6,6,6,5,6,5,6,5,5,4,4,3,3,5,4,4,1,5,5,4,5,5,5,5,5,5,4,5,5,4,4,5
1100098,ESPIGÃO D'OESTE,RO,Norte,4,4,5,5,5,4,5,4,4,4,6,5,4,4,4,4,5,5,6,5,6,6,6,6,6,6,5,5,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,6,6,5,5,5,5,5,5,6,5,6,6,6,6,6,5,6,6,6,6,5,5,3,3,3,3,5,4,3,1,5,5,4,4,5,4,4,4,4,3,3,4,3,3,4
1100106,GUAJARÁ-MIRIM,RO,Norte,6,6,6,6,5,5,6,6,5,6,5,5,6,6,5,5,5,5,5,5,6,5,6,5,5,5,5,5,6,5,5,5,5,5,5,5,6,6,6,6,6,5,5,5,4,3,5,5,4,4,5,4,5,5,6,5,6,6,6,6,6,6,5,6,5,6,5,5,4,4,4,3,5,4,4,1,5,5,4,5,5,4,5,5,4,4,5,5,4,4,5
