"","1. Floresta (2022)","1.1. Formação Florestal (2022)","1.4. Floresta Alagável (2022)","2. Formação Natural não Florestal (2022)","2.1. Campo Alagado e Área Pantanosa (2022)","2.2. Formação Campestre (2022)","3. Agropecuária (2022)","3.1. Pastagem (2022)","5. Corpo D`água (2022)","5.1. Rio, Lago e Oceano (2022)","Total (2022)"
"1. Floresta (2012)","6689.391130998885","","","1.7848316894531246","","","1343.4127036502023","","17.491608996582023","","8052.080275335123"
"1.1. Formação Florestal (2012)","","3733.265080903415","","","","","","1161.5586035394779","","0.5354576965332031","4895.359142139426"
"1.4. Floresta Alagável (2012)","","","2956.12605009547","","1.7848316894531246","","","181.85410011072446","","16.95615130004882","3156.721133195697"
"2. Formação Natural não Florestal (2012)","99.54686338556039","","","3738.090049690339","","","219.96243604738714","","856.5742379478863","","4914.173587071173"
"2.1. Campo Alagado e Área Pantanosa (2012)","","11.293736171874997","87.18224667169319","","3092.3801690530363","111.81386963424399","","25.328130114770076","","855.9495791466168","4183.947730792235"
"2.2. Formação Campestre (2012)","","0.53543095703125","0.5354495849609375","","43.19292974243164","490.70308126062736","","194.63430593261705","","0.6246588012695312","730.2258562789378"
"3. Agropecuária (2012)","497.5077656693758","","","373.78386991450327","","","1673.1686998922453","","","","2544.4603354761243"
"3.1. Pastagem (2012)","","402.30514379715225","95.20262187222352","","38.688724007568425","335.0951459069349","","1673.1686998922453","","","2544.4603354761243"
"5. Corpo D`água (2012)","4.52086786336263","","","77.89685975538062","","","","","9184.750024502287","","9267.167752121031"
"5.1. Rio, Lago e Oceano (2012)","","2.825326542561849","1.6955413208007812","","54.7944238666369","23.10243588874372","","","","9184.750024502287","9267.167752121031"
"Total (2012)","7290.966627917184","4150.224718372036","3140.7419095451482","4191.555611049676","3230.8410783591266","960.71453269055","3236.5438395898345","3236.5438395898345","10058.815871446755","10058.815871446755","49555.763900006896"
