"","1. Floresta (2022)","1.1. Formação Florestal (2022)","1.2. Formação Savânica (2022)","2. Formação Natural não Florestal (2022)","2.1. Campo Alagado e Área Pantanosa (2022)","2.2. Formação Campestre (2022)","3. Agropecuária (2022)","3.1. Pastagem (2022)","3.2. Agricultura (2022)","3.2.1. Lavoura Temporária (2022)","3.2.1.1. Soja (2022)","3.2.1.5. Outras Lavouras Temporárias (2022)","3.4. Mosaico de Usos (2022)","4. Área não Vegetada (2022)","4.4. Outras Áreas não Vegetadas (2022)","5. Corpo D`água (2022)","5.1. Rio, Lago e Oceano (2022)","Total (2022)"
"1. Floresta (1985)","76567.2699260574","","","80.47780706554937","","","5036.851300209246","","","","","","","3.999665789794922","","","","81688.598699122"
"1.1. Formação Florestal (1985)","","12947.178181710797","103.12967223955943","","43.86305239863376","0.5332681884765625","","242.32198141259346","189.20539251586877","189.20539251586877","189.20539251586877","","138.52791596112417","","","","","14043.170249458792"
"1.2. Formação Savânica (1985)","","245.46887947435582","63271.49319263268","","7.19937745361328","28.882109024825763","","998.9805200900907","1863.6986544160102","1863.6986544160102","1846.9910116669867","16.70764274902346","1604.1168358135585","","3.999665789794922","","","71751.23654352697"
"2. Formação Natural não Florestal (1985)","98.9850343221269","","","16794.046358961245","","","233.9547823046882","","","","","","","1.244012628173828","","","","17128.230188216232"
"2.1. Campo Alagado e Área Pantanosa (1985)","","47.569620183177335","2.0441935485839844","","182.2660401085231","","","1.5112356384277346","","","","","0.6222699584960937","","0.6220063842773437","","","234.6353658214856"
"2.2. Formação Campestre (1985)","","","49.371220590365574","","4.535364849853516","16607.24495400287","","5.756629136962892","","","","","226.06464757080147","","0.6220062438964843","","","16893.594822394745"
"3. Agropecuária (1985)","282.7071487718291","","","0.6223116699218749","","","1042.2914071164837","","","","","","","","","","","1325.6208675582347"
"3.1. Pastagem (1985)","","5.11545477756874","1.0673496826171875","","","","","6.392606951712816","","","","","28.878953704833915","","","","","41.45436511673266"
"3.4. Mosaico de Usos (1985)","","228.57955590444536","47.94478840719783","","0.6223116699218749","","","400.9513970535813","0.5332735046386718","0.5332735046386718","","0.5332735046386718","605.5351759017171","","","","","1285.2330494507796"
"4. Área não Vegetada (1985)","2.5777159973144532","","","","","","7.9994799316406215","","","","","","","3.4664867797851566","","","","14.043682708740231"
"4.4. Outras Áreas não Vegetadas (1985)","","","2.5777159973144532","","","","","7.9994799316406215","","","","","","","3.4664867797851566","","","14.043682708740231"
"5. Corpo D`água (1985)","2.132920819091797","","","","","","0.5333749572753905","","","","","","","1.5996981811523436","","0.6221764343261719","","4.888170391845703"
"5.1. Rio, Lago e Oceano (1985)","","","2.132920819091797","","","","","","","","","","0.5333749572753905","","1.5996981811523436","","0.6221764343261719","4.888170391845703"
"Total (1985)","76953.67274596776","13473.911692050346","63479.76105391742","16875.146477696715","238.48614648054556","16636.66033121617","6321.630344519334","1663.9138502150095","2053.4373204365174","2053.4373204365174","2036.1964041828555","17.24091625366213","2604.279173867807","10.30986337890625","10.30986337890625","0.6221764343261719","0.6221764343261719","204429.6378568672"
