"","1. Floresta (2022)","1.1. Formação Florestal (2022)","1.2. Formação Savânica (2022)","2. Formação Natural não Florestal (2022)","2.1. Campo Alagado e Área Pantanosa (2022)","2.2. Formação Campestre (2022)","3. Agropecuária (2022)","3.1. Pastagem (2022)","3.2. Agricultura (2022)","3.2.1. Lavoura Temporária (2022)","3.2.1.1. Soja (2022)","3.2.1.5. Outras Lavouras Temporárias (2022)","3.4. Mosaico de Usos (2022)","4. Área não Vegetada (2022)","4.4. Outras Áreas não Vegetadas (2022)","Total (2022)"
"1. Floresta (2012)","76812.13269607157","","","58.85388007743086","","","4793.966755839914","","","","","","","3.9990978088378926","","81668.95242979773"
"1.1. Formação Florestal (2012)","","12860.48739792528","34.09191245593502","","11.780160046338848","","","82.46665917312922","","","","","132.29966548969338","","","13121.125795090378"
"1.2. Formação Savânica (2012)","","379.6609166022085","63537.89246908814","","12.976386560058591","34.09733347103342","","906.7953955859618","2051.8372929401744","2051.8372929401744","2036.9961050617565","14.84118787841799","1620.5677426509553","","3.9990978088378926","72651.50122058773"
"2. Formação Natural não Florestal (2012)","44.626783317990785","","","16749.785242522874","","","252.63974289550868","","","","","","","1.5105865234375002","","17048.56235525981"
"2.1. Campo Alagado e Área Pantanosa (2012)","","2.8145040260943244","2.5773130981445314","","212.03759234240954","","","1.6886840759277346","","","","","0.8000617553710938","","","219.91815529794724"
"2.2. Formação Campestre (2012)","","0.8888135559082031","38.34615263784373","","2.045042071533203","16535.70260810893","","24.70837490844728","","","","","225.44262215576256","","1.5105865234375002","16828.644199961866"
"3. Agropecuária (2012)","107.44191992862483","","","0.6220107116699218","","","1258.1168722071272","","","","","","","","","1366.180802847422"
"3.1. Pastagem (2012)","","28.086760485839875","48.74432042300955","","","","","391.71899508868097","","","","","23.51332322751512","","","492.0633992250455"
"3.2. Agricultura (2012)","","","0.8002277587890625","","","","","","1.2445132934570313","","","","","","","2.044741052246094"
"3.2.1. Lavoura Temporária (2012)","","","0.8002277587890625","","","","","","","1.2445132934570313","","","","","","2.044741052246094"
"3.2.1.1. Soja (2012)","","","0.8002277587890625","","","","","","","","0.80011611328125","","","","","1.6003438720703125"
"3.2.1.5. Outras Lavouras Temporárias (2012)","","","","","","","","","","","","0.4443971801757813","","","","0.4443971801757813"
"3.4. Mosaico de Usos (2012)","","18.486164335913568","11.324446925072767","","","0.6220107116699218","","264.89528109717287","0.7110314392089845","0.7110314392089845","","0.7110314392089845","576.0337280610922","","","873.4947254485483"
"4. Área não Vegetada (2012)","62.39355916137696","","","0.6221514526367188","","","8.455495186576094","","","","","","","6.214814290939032","","77.68602009152882"
"4.4. Outras Áreas não Vegetadas (2012)","","","62.39355916137696","","0.6221514526367188","","","5.522494551810469","2.9330006347656252","2.9330006347656252","1.0665457641601566","1.8664548706054687","","","6.214814290939032","83.55202136106004"
"Total (2012)","77026.59495847955","13290.424556931244","63737.77085706589","16809.88328476461","239.46133247297692","16570.421952291636","6313.178866129126","1677.7958844811303","2056.725838307606","2056.725838307606","2038.8627669391979","17.863071368408225","2578.6571433403897","11.724498623214425","11.724498623214425","204437.81534812594"
