"","1. Floresta (2022)","1.1. Formação Florestal (2022)","1.2. Formação Savânica (2022)","2. Formação Natural não Florestal (2022)","2.1. Campo Alagado e Área Pantanosa (2022)","2.2. Formação Campestre (2022)","3. Agropecuária (2022)","3.1. Pastagem (2022)","3.2. Agricultura (2022)","3.2.1. Lavoura Temporária (2022)","3.2.1.5. Outras Lavouras Temporárias (2022)","3.4. Mosaico de Usos (2022)","4. Área não Vegetada (2022)","4.4. Outras Áreas não Vegetadas (2022)","5. Corpo D`água (2022)","5.1. Rio, Lago e Oceano (2022)","Total (2022)"
"1. Floresta (2012)","44841.32172850142","","","2.360870721435547","","","37.39010506283031","","","","","","0.6120813537597657","","","","44881.684785639445"
"1.1. Formação Florestal (2012)","","43391.10252675171","234.91337771606365","","","","","28.034141940271716","","","","","","","","","43654.05004640804"
"1.2. Formação Savânica (2012)","","111.55373627319373","1103.7520877604522","","1.7487874572753908","0.6120832641601562","","9.35596312255859","","","","","","0.6120813537597657","","","1227.6347392313996"
"3. Agropecuária (2012)","201.38896810338576","","","3.7598920227050785","","","103.01328766905534","","","","","","4.37192063598633","","","","312.53406843113254"
"3.1. Pastagem (2012)","","201.38896810338576","","","0.8743939025878906","2.885498120117188","","100.64874610083479","1.9273540071853938","1.9273540071853938","1.9273540071853938","","","4.37192063598633","","","315.9515888844681"
"3.4. Mosaico de Usos (2012)","","","","","","","","","","","","0.43718756103515627","","","","","0.43718756103515627"
"4. Área não Vegetada (2012)","","","","","","","","","","","","","3.235211614990234","","","","3.235211614990234"
"4.4. Outras Áreas não Vegetadas (2012)","","","","","","","","","","","","","","3.235211614990234","","","3.235211614990234"
"5. Corpo D`água (2012)","","","","","","","","","","","","","","","1.9698263828172868","","1.9698263828172868"
"5.1. Rio, Lago e Oceano (2012)","","","","","","","","","","","","","","","","1.9698263828172868","1.9698263828172868"
"Total (2012)","45042.7106966048","43704.045231128286","1338.665465476516","6.120762744140626","2.623181359863281","3.497581384277344","140.40339273188565","138.0388511636651","1.9273540071853938","1.9273540071853938","1.9273540071853938","0.43718756103515627","8.219213604736328","8.219213604736328","1.9698263828172868","1.9698263828172868","90402.70249215115"
