"","1. Floresta (2022)","1.1. Formação Florestal (2022)","1.2. Formação Savânica (2022)","1.4. Floresta Alagável (2022)","2. Formação Natural não Florestal (2022)","2.1. Campo Alagado e Área Pantanosa (2022)","2.2. Formação Campestre (2022)","2.4. Afloramento Rochoso (2022)","3. Agropecuária (2022)","3.1. Pastagem (2022)","Total (2022)"
"1. Floresta (2012)","1125.6315695859464","","","","0.5189394287109375","","","","42.789469776371945","","1168.9399787910293"
"1.1. Formação Florestal (2012)","","641.2439425184801","","","","","0.5189394287109375","","","34.742134855310745","676.5050168025018"
"1.2. Formação Savânica (2012)","","","484.04152267293495","","","","","","","8.047334921061196","492.0888575939961"
"1.4. Floresta Alagável (2012)","","","","0.34610439453125","","","","","","","0.34610439453125"
"2. Formação Natural não Florestal (2012)","20.850135107421888","","","","6267.282658061551","","","","585.079694517685","","6873.212487686658"
"2.1. Campo Alagado e Área Pantanosa (2012)","","0.8648733886718751","16.61186954956056","","","2.681825677490235","1.6507539624262786","","","","21.809322578148947"
"2.2. Formação Campestre (2012)","","2.50851224975586","0.8648799194335937","","","0.804233602031633","1848.273115005604","1.644169610595703","","585.079694517685","2439.1746049051058"
"2.4. Afloramento Rochoso (2012)","","","","","","","","4412.228560203403","","","4412.228560203403"
"3. Agropecuária (2012)","15.016010311949488","","","","","","","","321.4247433116245","","336.44075362357404"
"3.1. Pastagem (2012)","","13.545040182554956","1.4709701293945312","","","","","","","320.9055974070835","335.92160771903303"
"3.2. Agricultura (2012)","","","","","","","","","","0.5191459045410156","0.5191459045410156"
"3.2.1. Lavoura Temporária (2012)","","","","","","","","","","0.5191459045410156","0.5191459045410156"
"3.2.1.5. Outras Lavouras Temporárias (2012)","","","","","","","","","","0.5191459045410156","0.5191459045410156"
"Total (2012)","1161.4977150053178","658.1623683394629","502.9892422713236","0.34610439453125","6267.801597490262","3.486059279521868","1850.4428083967412","4413.872729813998","949.2939076056814","950.3321994147634","16758.224732011604"
