"","1. Floresta (2022)","1.1. Formação Florestal (2022)","1.4. Floresta Alagável (2022)","2. Formação Natural não Florestal (2022)","2.1. Campo Alagado e Área Pantanosa (2022)","2.2. Formação Campestre (2022)","3. Agropecuária (2022)","3.1. Pastagem (2022)","3.2. Agricultura (2022)","3.2.1. Lavoura Temporária (2022)","3.2.1.5. Outras Lavouras Temporárias (2022)","5. Corpo D`água (2022)","5.1. Rio, Lago e Oceano (2022)","Total (2022)"
"1. Floresta (2012)","40946.776500115026","","","","","","961.3538792411272","","","","","0.2948717241354549","","41908.42525108029"
"1.1. Formação Florestal (2012)","","40647.55667484788","","","","","","956.8632311834094","","","","","","41604.41990603129"
"1.4. Floresta Alagável (2012)","","","299.2198252671415","","","","","4.4906480577177135","","","","","0.2948717241354549","304.0053450489947"
"2. Formação Natural não Florestal (2012)","5.096235680290671","","","49.01041213584749","","","0.3726200557454427","","","","","1.2501800231933595","","55.72944789507696"
"2.1. Campo Alagado e Área Pantanosa (2012)","","1.923929149840112","3.172306530450559","","43.83109829917757","2.5896375366210935","","","","","","","1.2501800231933595","52.767151539282686"
"2.2. Formação Campestre (2012)","","","","","","2.5896763000488283","","0.3726200557454427","","","","","","2.962296355794271"
"3. Agropecuária (2012)","44.28513173835307","","","5.084807421515968","","","188.66382845152648","","","","","","","238.03376761139552"
"3.1. Pastagem (2012)","","43.74933084723979","0.5358008911132812","","1.1608962585449216","3.9239111629710464","","187.50292754820617","1.1609009033203121","1.1609009033203121","1.1609009033203121","","","240.35556941803614"
"5. Corpo D`água (2012)","19.52656329120711","","","13.05117546958774","","","0.4465005859375","","","","","24.580262977773625","","57.60450232450597"
"5.1. Rio, Lago e Oceano (2012)","","9.313083574912879","10.213479716294234","","13.05117546958774","","","0.4465005859375","","","","","24.580262977773625","57.60450232450597"
"Total (2012)","41015.68443082488","40702.54301841987","313.1414124049996","67.1463950269512","58.04317002731023","9.103224999640968","1150.8368283343366","1149.6759274310161","1.1609009033203121","1.1609009033203121","1.1609009033203121","26.125314725102438","26.125314725102438","84521.90773962921"
