"","1. Floresta (2022)","1.1. Formação Florestal (2022)","1.4. Floresta Alagável (2022)","2. Formação Natural não Florestal (2022)","2.1. Campo Alagado e Área Pantanosa (2022)","2.2. Formação Campestre (2022)","3. Agropecuária (2022)","3.1. Pastagem (2022)","4. Área não Vegetada (2022)","4.3. Mineração (2022)","5. Corpo D`água (2022)","5.1. Rio, Lago e Oceano (2022)","Total (2022)"
"1. Floresta (1985)","176295.25502046672","","","0.8731166929476869","","","710.3134035820262","","128.82222256060467","","25.638719188998362","","177160.9024824913"
"1.1. Formação Florestal (1985)","","175725.18722274472","","","","0.8731166929476869","","705.7420800917248","","128.1116017238007","","25.01516339065852","176584.92918464384"
"1.4. Floresta Alagável (1985)","","","570.067797721999","","","","","4.571323490301394","","0.7106208368039599","","0.6235557983398438","575.9732978474442"
"2. Formação Natural não Florestal (1985)","11.296525821126304","","","39.26138633556889","","","","","","","8.494496447299136","","59.05240860399433"
"2.1. Campo Alagado e Área Pantanosa (1985)","","8.104576828948378","3.191948992177926","","32.77318030330882","3.473231774902345","","","","","","8.494496447299136","56.0374343466366"
"2.2. Formação Campestre (1985)","","","","","","3.0149742573577285","","","","","","","3.0149742573577285"
"3. Agropecuária (1985)","49.518650190956286","","","","","","16.65248372639974","","","","","","66.17113391735603"
"3.1. Pastagem (1985)","","47.62644721098061","1.8922029799756817","","","","","16.65248372639974","","","","","66.17113391735603"
"4. Área não Vegetada (1985)","1.912676759655522","","","","","","0.48288551054113055","","0.9996383140653721","","","","3.3952005842620245"
"4.3. Mineração (1985)","","1.912676759655522","","","","","","0.48288551054113055","","0.9996383140653721","","","3.3952005842620245"
"5. Corpo D`água (1985)","79.2823503607059","","","0.5345549560546875","","","","","0.7298044325405943","","2727.972870933717","","2808.519580683018"
"5.1. Rio, Lago e Oceano (1985)","","78.6586909857059","0.6236593750000001","","0.5345549560546875","","","","","0.7298044325405943","","2727.972870933717","2808.519580683018"
"Total (1985)","176437.26522359916","175861.48961453","575.7756090691526","40.66905798457127","33.307735259363504","7.361322725207761","727.4487728189671","727.4487728189671","130.55166530721064","130.55166530721064","2762.106086570014","2762.106086570014","360196.08161256"
