"","1. Floresta (2022)","1.1. Formação Florestal (2022)","1.4. Floresta Alagável (2022)","2. Formação Natural não Florestal (2022)","2.1. Campo Alagado e Área Pantanosa (2022)","2.2. Formação Campestre (2022)","3. Agropecuária (2022)","3.1. Pastagem (2022)","3.2. Agricultura (2022)","3.2.1. Lavoura Temporária (2022)","3.2.1.5. Outras Lavouras Temporárias (2022)","4. Área não Vegetada (2022)","4.3. Mineração (2022)","5. Corpo D`água (2022)","5.1. Rio, Lago e Oceano (2022)","Total (2022)"
"1. Floresta (2012)","176328.23611567557","","","","","","572.572085253164","","","","","72.16456549273325","","68.88456161752734","","177041.857328039"
"1.1. Formação Florestal (2012)","","175752.47185765917","","","","","","567.8226429029993","","","","","71.45394465592929","","67.45914914804492","176459.20759436613"
"1.4. Floresta Alagável (2012)","","","575.7642580164037","","","","","4.749442350164674","","","","","0.7106208368039599","","1.425412469482422","582.6497336728548"
"2. Formação Natural não Florestal (2012)","3.1114489234116505","","","32.94400565602022","","","","","","","","","","15.17929907621495","","51.23475365564681"
"2.1. Campo Alagado e Área Pantanosa (2012)","","1.9536743872788378","1.1577745361328127","","25.99725832395067","2.493586798095703","","","","","","","","","13.3786207773964","44.98091482285442"
"2.2. Formação Campestre (2012)","","","","","","4.453160533973843","","","","","","","","","1.8006782988185508","6.253838832792394"
"3. Agropecuária (2012)","52.17950121723241","","","0.1431869629384957","","","156.1348037116074","","","","","","","0.8908420532226562","","209.34833394500095"
"3.1. Pastagem (2012)","","52.17950121723241","","","","0.1431869629384957","","154.97657888250583","","","","","","","","207.29926706267673"
"3.2. Agricultura (2012)","","","","","","","","","1.1582248291015627","","","","","","0.8908420532226562","2.049066882324219"
"3.2.1. Lavoura Temporária (2012)","","","","","","","","","","1.1582248291015627","","","","","0.8908420532226562","2.049066882324219"
"3.2.1.5. Outras Lavouras Temporárias (2012)","","","","","","","","","","","1.1582248291015627","","","","0.8908420532226562","2.049066882324219"
"4. Área não Vegetada (2012)","57.28126776123052","","","","","","4.007366344831878","","","","","63.990624088063186","","","","125.27925819412559"
"4.3. Mineração (2012)","","56.21226709594731","1.0690006652832031","","","","","4.007366344831878","","","","","63.990624088063186","","","125.27925819412559"
"5. Corpo D`água (2012)","64.1425700954303","","","","","","","","","","","","","2606.1785623522396","","2670.3211324476697"
"5.1. Rio, Lago e Oceano (2012)","","64.1425700954303","","","","","","","","","","","","","2606.1785623522396","2670.3211324476697"
"Total (2012)","176504.95090367287","175926.95987045506","577.9910332178197","33.08719261895871","25.99725832395067","7.089934295008042","732.7142553096033","731.5560304805017","1.1582248291015627","1.1582248291015627","1.1582248291015627","136.15518958079645","136.15518958079645","2691.1332650992044","2692.91494920565","360200.1797463276"
