"","1. Floresta (2022)","1.1. Formação Florestal (2022)","1.2. Formação Savânica (2022)","1.4. Floresta Alagável (2022)","2. Formação Natural não Florestal (2022)","2.1. Campo Alagado e Área Pantanosa (2022)","2.2. Formação Campestre (2022)","3. Agropecuária (2022)","3.1. Pastagem (2022)","3.2. Agricultura (2022)","3.2.1. Lavoura Temporária (2022)","3.2.1.5. Outras Lavouras Temporárias (2022)","5. Corpo D`água (2022)","5.1. Rio, Lago e Oceano (2022)","Total (2022)"
"1. Floresta (2012)","5633.965862703694","","","","","","","191.43832708620474","","","","","3.7516699584960946","","5829.1558597483945"
"1.1. Formação Florestal (2012)","","4929.7584013993655","","","","","","","139.02843857541433","3.215707049560547","3.215707049560547","3.215707049560547","","3.0370442443847665","5081.4710053678455"
"1.2. Formação Savânica (2012)","","","80.24226424586884","","","","","","45.79979109257752","","","","","","126.04205533844636"
"1.4. Floresta Alagável (2012)","","","","623.9651970584598","","","","","3.3943903686523433","","","","","0.7146257141113282","628.0742131412235"
"2. Formação Natural não Florestal (2012)","9.390095844176045","","","","361.87284923545485","","","240.7997739251084","","","","","25.90454168701171","","637.967260691751"
"2.1. Campo Alagado e Área Pantanosa (2012)","","3.3050303649902344","0.5359509460449219","5.549114533140888","","158.9702431930958","9.44894688562731","","1.161231048583984","","","","","15.721323950195302","194.69184092167845"
"2.2. Formação Campestre (2012)","","","","","","2.411810668945312","191.04184848778644","","234.74982556774398","4.888717308780444","4.888717308780444","4.888717308780444","","10.18321773681641","453.05285438763343"
"3. Agropecuária (2012)","189.80094252245004","","","","41.63625435132808","","","1303.1177059340826","","","","","","","1534.5549028078608"
"3.1. Pastagem (2012)","","179.52839793626842","0.6252830932617187","9.64726149291992","","1.6971727233886722","39.9390816279394","","1251.0843537046958","15.45356463012694","15.45356463012694","15.45356463012694","","","1528.8822444688547"
"3.2. Agricultura (2012)","","","","","","","","","15.14167430580287","21.438113293457018","","","","","36.57978759925989"
"3.2.1. Lavoura Temporária (2012)","","","","","","","","","15.14167430580287","","21.438113293457018","","","","36.57978759925989"
"3.2.1.5. Outras Lavouras Temporárias (2012)","","","","","","","","","15.14167430580287","","","21.438113293457018","","","36.57978759925989"
"5. Corpo D`água (2012)","16.59922630900064","","","","21.072531590001716","","","0.5359552612304688","","","","","844.5568568669535","","882.7645700271863"
"5.1. Rio, Lago e Oceano (2012)","","15.005011884813484","","1.5942144241871552","","5.538170440673829","15.534361149327886","","0.5359552612304688","","","","","844.5568568669535","882.7645700271863"
"Total (2012)","5849.756127379321","5127.596841585439","81.40349828517547","640.7557875087078","424.58163517678463","168.61739702610362","255.96423815068104","1735.891762206626","1721.1790085363066","44.99610228192495","44.99610228192495","44.99610228192495","874.2130685124613","874.2130685124613","17889.160739725852"
