exercicio,demonstrativo,periodo,periodicidade,instituicao,cod_ibge,uf,populacao,anexo,esfera,rotulo,coluna,cod_conta,conta,valor
2021,RREO,6,B,Prefeitura Municipal de Manaus - AM,1302603,AM,2219580,RREO-Anexo 03,M,Padrão,<MR-11>,RREO3ReceitaCorrenteLiquida,RECEITA CORRENTE LÍQUIDA (III) = (I - II),371386464.86
2021,RREO,6,B,Prefeitura Municipal de Manaus - AM,1302603,AM,2219580,RREO-Anexo 03,M,Padrão,<MR-10>,RREO3ReceitaCorrenteLiquida,RECEITA CORRENTE LÍQUIDA (III) = (I - II),400491893.47
2021,RREO,6,B,Prefeitura Municipal de Manaus - AM,1302603,AM,2219580,RREO-Anexo 03,M,Padrão,<MR-9>,RREO3ReceitaCorrenteLiquida,RECEITA CORRENTE LÍQUIDA (III) = (I - II),457704688.36
2021,RREO,6,B,Prefeitura Municipal de Manaus - AM,1302603,AM,2219580,RREO-Anexo 03,M,Padrão,<MR-8>,RREO3ReceitaCorrenteLiquida,RECEITA CORRENTE LÍQUIDA (III) = (I - II),538296064.76
2021,RREO,6,B,Prefeitura Municipal de Manaus - AM,1302603,AM,2219580,RREO-Anexo 03,M,Padrão,<MR-7>,RREO3ReceitaCorrenteLiquida,RECEITA CORRENTE LÍQUIDA (III) = (I - II),502464960.7
2021,RREO,6,B,Prefeitura Municipal de Manaus - AM,1302603,AM,2219580,RREO-Anexo 03,M,Padrão,<MR-6>,RREO3ReceitaCorrenteLiquida,RECEITA CORRENTE LÍQUIDA (III) = (I - II),502356910.52
2021,RREO,6,B,Prefeitura Municipal de Manaus - AM,1302603,AM,2219580,RREO-Anexo 03,M,Padrão,<MR-5>,RREO3ReceitaCorrenteLiquida,RECEITA CORRENTE LÍQUIDA (III) = (I - II),501659017.9
2021,RREO,6,B,Prefeitura Municipal de Manaus - AM,1302603,AM,2219580,RREO-Anexo 03,M,Padrão,<MR-4>,RREO3ReceitaCorrenteLiquida,RECEITA CORRENTE LÍQUIDA (III) = (I - II),473778261.12
2021,RREO,6,B,Prefeitura Municipal de Manaus - AM,1302603,AM,2219580,RREO-Anexo 03,M,Padrão,<MR-3>,RREO3ReceitaCorrenteLiquida,RECEITA CORRENTE LÍQUIDA (III) = (I - II),499017674.84
2021,RREO,6,B,Prefeitura Municipal de Manaus - AM,1302603,AM,2219580,RREO-Anexo 03,M,Padrão,<MR-2>,RREO3ReceitaCorrenteLiquida,RECEITA CORRENTE LÍQUIDA (III) = (I - II),495266687.3
2021,RREO,6,B,Prefeitura Municipal de Manaus - AM,1302603,AM,2219580,RREO-Anexo 03,M,Padrão,<MR-1>,RREO3ReceitaCorrenteLiquida,RECEITA CORRENTE LÍQUIDA (III) = (I - II),551761929.91
2021,RREO,6,B,Prefeitura Municipal de Manaus - AM,1302603,AM,2219580,RREO-Anexo 03,M,Padrão,<MR>,RREO3ReceitaCorrenteLiquida,RECEITA CORRENTE LÍQUIDA (III) = (I - II),661160520.3
2021,RREO,6,B,Prefeitura Municipal de Manaus - AM,1302603,AM,2219580,RREO-Anexo 03,M,Padrão,TOTAL (ÚLTIMOS 12 MESES),RREO3ReceitaCorrenteLiquida,RECEITA CORRENTE LÍQUIDA (III) = (I - II),5955345074.04
2021,RREO,6,B,Prefeitura Municipal de Manaus - AM,1302603,AM,2219580,RREO-Anexo 03,M,Padrão,PREVISÃO ATUALIZADA 2021,RREO3ReceitaCorrenteLiquida,RECEITA CORRENTE LÍQUIDA (III) = (I - II),5738099810.9
2022,RREO,6,B,Prefeitura Municipal de Manaus - AM,1302603,AM,2255903,RREO-Anexo 03,M,Padrão,<MR-11>,RREO3ReceitaCorrenteLiquida,RECEITA CORRENTE LÍQUIDA (III) = (I - II),515619094.17
2022,RREO,6,B,Prefeitura Municipal de Manaus - AM,1302603,AM,2255903,RREO-Anexo 03,M,Padrão,<MR-10>,RREO3ReceitaCorrenteLiquida,RECEITA CORRENTE LÍQUIDA (III) = (I - II),495381244.97
2022,RREO,6,B,Prefeitura Municipal de Manaus - AM,1302603,AM,2255903,RREO-Anexo 03,M,Padrão,<MR-9>,RREO3ReceitaCorrenteLiquida,RECEITA CORRENTE LÍQUIDA (III) = (I - II),686263114.93
2022,RREO,6,B,Prefeitura Municipal de Manaus - AM,1302603,AM,2255903,RREO-Anexo 03,M,Padrão,<MR-8>,RREO3ReceitaCorrenteLiquida,RECEITA CORRENTE LÍQUIDA (III) = (I - II),558306287.25
2022,RREO,6,B,Prefeitura Municipal de Manaus - AM,1302603,AM,2255903,RREO-Anexo 03,M,Padrão,<MR-7>,RREO3ReceitaCorrenteLiquida,RECEITA CORRENTE LÍQUIDA (III) = (I - II),601188890.72
2022,RREO,6,B,Prefeitura Municipal de Manaus - AM,1302603,AM,2255903,RREO-Anexo 03,M,Padrão,<MR-6>,RREO3ReceitaCorrenteLiquida,RECEITA CORRENTE LÍQUIDA (III) = (I - II),579613802.02
2022,RREO,6,B,Prefeitura Municipal de Manaus - AM,1302603,AM,2255903,RREO-Anexo 03,M,Padrão,<MR-5>,RREO3ReceitaCorrenteLiquida,RECEITA CORRENTE LÍQUIDA (III) = (I - II),616347072.38
2022,RREO,6,B,Prefeitura Municipal de Manaus - AM,1302603,AM,2255903,RREO-Anexo 03,M,Padrão,<MR-4>,RREO3ReceitaCorrenteLiquida,RECEITA CORRENTE LÍQUIDA (III) = (I - II),561515817.18
2022,RREO,6,B,Prefeitura Municipal de Manaus - AM,1302603,AM,2255903,RREO-Anexo 03,M,Padrão,<MR-3>,RREO3ReceitaCorrenteLiquida,RECEITA CORRENTE LÍQUIDA (III) = (I - II),579871883.48
2022,RREO,6,B,Prefeitura Municipal de Manaus - AM,1302603,AM,2255903,RREO-Anexo 03,M,Padrão,<MR-2>,RREO3ReceitaCorrenteLiquida,RECEITA CORRENTE LÍQUIDA (III) = (I - II),566245277.5
2022,RREO,6,B,Prefeitura Municipal de Manaus - AM,1302603,AM,2255903,RREO-Anexo 03,M,Padrão,<MR-1>,RREO3ReceitaCorrenteLiquida,RECEITA CORRENTE LÍQUIDA (III) = (I - II),607327974.83
2022,RREO,6,B,Prefeitura Municipal de Manaus - AM,1302603,AM,2255903,RREO-Anexo 03,M,Padrão,<MR>,RREO3ReceitaCorrenteLiquida,RECEITA CORRENTE LÍQUIDA (III) = (I - II),678118078.66
2022,RREO,6,B,Prefeitura Municipal de Manaus - AM,1302603,AM,2255903,RREO-Anexo 03,M,Padrão,TOTAL (ÚLTIMOS 12 MESES),RREO3ReceitaCorrenteLiquida,RECEITA CORRENTE LÍQUIDA (III) = (I - II),7045798538.09
2022,RREO,6,B,Prefeitura Municipal de Manaus - AM,1302603,AM,2255903,RREO-Anexo 03,M,Padrão,PREVISÃO ATUALIZADA 2022,RREO3ReceitaCorrenteLiquida,RECEITA CORRENTE LÍQUIDA (III) = (I - II),6814922493.01
