sg_ue,cd_municipio_ibge,nome_municipio,uf,icat_medio,cat_medio_camara
00019,1100106,GUAJARA-MIRIM,RO,19.72,1. péssimo
00035,1100205,PORTO VELHO,RO,17.060526315789474,1. péssimo
00051,1100122,JI-PARANA,RO,15.44125,1. péssimo
00078,1100023,ARIQUEMES,RO,15.225999999999999,1. péssimo
00094,1100049,CACOAL,RO,19.916666666666668,1. péssimo
00116,1100189,PIMENTA BUENO,RO,14.28875,1. péssimo
00132,1100304,VILHENA,RO,16.184615384615384,1. péssimo
00159,1100114,JARU,RO,21.666,1. péssimo
00175,1100155,OURO PRETO DO OESTE,RO,13.064545454545454,1. péssimo
00191,1100254,PRESIDENTE MEDICI,RO,14.459999999999999,1. péssimo
00213,1100080,COSTA MARQUES,RO,17.33875,1. péssimo
00230,1100064,COLORADO DO OESTE,RO,15.774545454545454,1. péssimo
00256,1100098,ESPIGAO D'OESTE,RO,18.227272727272727,1. péssimo
00272,1100056,CEREJEIRAS,RO,19.407777777777778,1. péssimo
00299,1100288,ROLIM DE MOURA,RO,15.455714285714285,1. péssimo
00310,1100015,ALTA FLORESTA DOESTE,RO,12.7625,1. péssimo
00337,1100346,ALVORADA D'OESTE,RO,14.743333333333332,1. péssimo
00353,1100296,SANTA LUZIA D'OESTE,RO,19.24222222222222,1. péssimo
00370,1100148,NOVA BRASILANDIA D'OESTE,RO,17.76875,1. péssimo
00396,1100130,MACHADINHO D'OESTE,RO,17.633636363636363,1. péssimo
00418,1100320,SAO MIGUEL DO GUAPORE,RO,17.58,1. péssimo
00434,1100338,NOVA MAMORE,RO,19.631818181818183,1. péssimo
00450,1100031,CABIXI,RO,15.904444444444444,1. péssimo
00477,1100809,CANDEIAS DO JAMARI,RO,19.26181818181818,1. péssimo
00493,1101104,ITAPUA DO OESTE,RO,21.615555555555556,1. péssimo
00515,1100502,NOVO HORIZONTE DO OESTE,RO,16.63888888888889,1. péssimo
00531,1100908,CASTANHEIRAS,RO,24.124444444444446,1. péssimo
00558,1101807,VALE DO PARAISO,RO,16.043333333333333,1. péssimo
00566,1101708,URUPA,RO,15.62375,1. péssimo
00574,1101302,MIRANTE DA SERRA,RO,39.32,2. ruim
00582,1101500,SERINGUEIRAS,RO,16.67111111111111,1. péssimo
00590,1101609,THEOBROMA,RO,17.328888888888887,1. péssimo
00604,1101203,MINISTRO ANDREAZZA,RO,16.33222222222222,1. péssimo
00612,1101005,GOVERNADOR JORGE TEIXEIRA,RO,17.76888888888889,1. péssimo
00620,1100601,CACAULANDIA,RO,14.744444444444445,1. péssimo
00639,1100403,ALTO PARAISO,RO,15.168888888888889,1. péssimo
00647,1100262,RIO CRESPO,RO,13.922222222222222,1. péssimo
00655,1100072,CORUMBIARA,RO,24.287142857142857,1. péssimo
00663,1101401,MONTE NEGRO,RO,17.715555555555557,1. péssimo
00671,1100700,CAMPO NOVO DE RONDONIA,RO,15.975555555555555,1. péssimo
00680,1100940,CUJUBIM,RO,16.232222222222223,1. péssimo
00698,1101757,VALE DO ANARI,RO,20.797777777777778,1. péssimo
00701,1101450,PARECIS,RO,16.31111111111111,1. péssimo
00710,1101484,SAO FELIPE D'OESTE,RO,19.18777777777778,1. péssimo
00728,1101476,PRIMAVERA DE RONDONIA,RO,15.612222222222222,1. péssimo
00736,1100379,ALTO ALEGRE DOS PARECIS,RO,15.453333333333333,1. péssimo
