sg_uf,cd_municipio_ibge,nome_municipio.x,sg_partido_prefeito,icat_prefeito,sg_ue,nome_municipio.y,uf,icat_medio,cat_medio_camara,dist
AC,1200500,SENA MADUREIRA,PP,16.94,01457,SENA MADUREIRA,AC,16.53076923076923,1. péssimo,0.4092307692307706
AC,1200435,SANTA ROSA DO PURUS,MDB,17.41,01031,SANTA ROSA DO PURUS,AC,25.851111111111113,2. ruim,-8.441111111111113
AC,1200252,EPITACIOLÂNDIA,PL,7.85,01112,EPITACIOLANDIA,AC,21.513636363636362,1. péssimo,-13.663636363636362
AC,1200054,ASSIS BRASIL,PP,16.94,01570,ASSIS BRASIL,AC,29.135555555555555,2. ruim,-12.195555555555554
AC,1200203,CRUZEIRO DO SUL,PP,16.94,01074,CRUZEIRO DO SUL,AC,21.905714285714286,1. péssimo,-4.965714285714284
AC,1200344,MANOEL URBANO,PP,16.94,01554,MANOEL URBANO,AC,17.94,1. péssimo,-1
AC,1200609,TARAUACÁ,PP,16.94,01473,TARAUACA,AC,41.27230769230769,2. ruim,-24.33230769230769
AC,1200336,MÂNCIO LIMA,PP,16.94,01090,MANCIO LIMA,AC,16.919090909090908,1. péssimo,0.02090909090909321
AC,1200179,CAPIXABA,UNIÃO,15.68,01015,CAPIXABA,AC,14.096666666666666,1. péssimo,1.583333333333334
AC,1200328,JORDÃO,PP,16.94,01104,JORDAO,AC,30.453333333333333,2. ruim,-13.513333333333332
AC,1200104,BRASILÉIA,PP,16.94,01058,BRASILEIA,AC,21.792727272727273,1. péssimo,-4.852727272727272
AC,1200450,SENADOR GUIOMARD,PP,16.94,01538,SENADOR GUIOMARD,AC,17.41090909090909,1. péssimo,-0.47090909090908895
AC,1200393,PORTO WALTER,PP,16.94,01066,PORTO WALTER,AC,17.695555555555558,1. péssimo,-0.7555555555555564
AC,1200807,PORTO ACRE,PP,16.94,01023,PORTO ACRE,AC,17.193333333333335,1. péssimo,-0.25333333333333385
AC,1200708,XAPURI,PP,16.94,01490,XAPURI,AC,24.80666666666667,1. péssimo,-7.866666666666667
AC,1200427,RODRIGUES ALVES,PSD,23.02,01082,RODRIGUES ALVES,AC,17.8,1. péssimo,5.219999999999999
AC,1200013,ACRELÂNDIA,REPUBLICANOS,14.1,01120,ACRELANDIA,AC,19.126666666666665,1. péssimo,-5.0266666666666655
AC,1200302,FEIJÓ,REPUBLICANOS,14.1,01139,FEIJO,AC,25.052307692307693,2. ruim,-10.952307692307693
AC,1200138,BUJARI,PDT,56.75,01007,BUJARI,AC,32.593333333333334,2. ruim,24.156666666666666
AC,1200385,PLÁCIDO DE CASTRO,PP,16.94,01511,PLACIDO DE CASTRO,AC,18.107272727272726,1. péssimo,-1.1672727272727244
AC,1200351,MARECHAL THAUMATURGO,PP,16.94,01040,MARECHAL THAUMATURGO,AC,29.812727272727273,2. ruim,-12.872727272727271
AC,1200401,RIO BRANCO,PL,7.85,01392,RIO BRANCO,AC,18.89190476190476,1. péssimo,-11.041904761904762
AM,1304104,TAPAUÁ,UNIÃO,15.68,02798,TAPAUA,AM,15.827272727272726,1. péssimo,-0.14727272727272656
AM,1300839,CAAPIRANGA,UNIÃO,15.68,02992,CAAPIRANGA,AM,21.77111111111111,1. péssimo,-6.091111111111111
AM,1300631,BERURI,PODE,20.7,02950,BERURI,AM,20.905454545454546,1. péssimo,-0.2054545454545469
AM,1301605,FONTE BOA,REPUBLICANOS,14.1,02330,FONTE BOA,AM,41.58181818181818,2. ruim,-27.481818181818177
AM,1301902,ITACOATIARA,REPUBLICANOS,14.1,02410,ITACOATIARA,AM,20.88285714285714,1. péssimo,-6.782857142857141
AM,1302553,MANAQUIRI,MDB,17.41,98396,MANAQUIRI,AM,15.874545454545455,1. péssimo,1.5354545454545452
AM,1303700,SANTO ANTÔNIO DO IÇÁ,MDB,17.41,02739,SANTO ANTONIO DO ICA,AM,26.81,2. ruim,-9.399999999999999
AM,1303536,PRESIDENTE FIGUEIREDO,PL,7.85,98418,PRESIDENTE FIGUEIREDO,AM,20.002499999999998,1. péssimo,-12.152499999999998
AM,1302504,MANACAPURU,MDB,17.41,02534,MANACAPURU,AM,17.104761904761904,1. péssimo,0.30523809523809575
AM,1300904,CANUTAMA,UNIÃO,15.68,02194,CANUTAMA,AM,22.527272727272727,1. péssimo,-6.847272727272728
AM,1301506,ENVIRA,PSD,23.02,02313,ENVIRA,AM,16.401818181818182,1. péssimo,6.618181818181817
AM,1302702,MANICORÉ,PSD,23.02,02577,MANICORE,AM,18.386,1. péssimo,4.634
AM,1300409,BARCELOS,UNIÃO,15.68,02097,BARCELOS,AM,27.646363636363635,2. ruim,-11.966363636363635
AM,1304062,TABATINGA,REPUBLICANOS,14.1,98477,TABATINGA,AM,16.394615384615385,1. péssimo,-2.294615384615385
AM,1302108,JAPURÁ,UNIÃO,15.68,02453,JAPURA,AM,17.344444444444445,1. péssimo,-1.6644444444444453
AM,1300607,BENJAMIN CONSTANT,MDB,17.41,02135,BENJAMIN CONSTANT,AM,25.64076923076923,2. ruim,-8.23076923076923
AM,1303205,NOVO AIRÃO,UNIÃO,15.68,02011,NOVO AIRAO,AM,17.86888888888889,1. péssimo,-2.18888888888889
AM,1300201,ATALAIA DO NORTE,UNIÃO,15.68,02054,ATALAIA DO NORTE,AM,22.779090909090908,1. péssimo,-7.099090909090908
AM,1300805,BORBA,REPUBLICANOS,14.1,02178,BORBA,AM,24.63083333333333,1. péssimo,-10.530833333333332
AM,1300680,BOA VISTA DO RAMOS,PSD,23.02,02976,BOA VISTA DO RAMOS,AM,16.087272727272726,1. péssimo,6.9327272727272735
AM,1301159,CAREIRO DA VÁRZEA,PSD,23.02,02046,CAREIRO DA VARZEA,AM,15.291818181818181,1. péssimo,7.7281818181818185
AM,1302900,MAUÉS,PDT,56.75,02615,MAUES,AM,26.207333333333334,2. ruim,30.542666666666666
AM,1304260,UARINI,UNIÃO,15.68,98493,UARINI,AM,27.764444444444443,2. ruim,-12.084444444444443
AM,1301209,COARI,REPUBLICANOS,14.1,02259,COARI,AM,16.762666666666668,1. péssimo,-2.6626666666666683
AM,1303569,RIO PRETO DA EVA,UNIÃO,15.68,98434,RIO PRETO DA EVA,AM,21.596153846153847,1. péssimo,-5.916153846153847
AM,1303304,NOVO ARIPUANÃ,UNIÃO,15.68,02674,NOVO ARIPUANA,AM,17.993636363636362,1. péssimo,-2.3136363636363626
AM,1304005,SILVES,REPUBLICANOS,14.1,02771,SILVES,AM,16.68,1. péssimo,-2.58
AM,1302405,LÁBREA,PL,7.85,02518,LABREA,AM,16.40153846153846,1. péssimo,-8.551538461538462
AM,1300300,AUTAZES,PP,16.94,02070,AUTAZES,AM,19.543333333333333,1. péssimo,-2.6033333333333317
AM,1300086,ANAMÃ,MDB,17.41,02933,ANAMA,AM,17.8,1. péssimo,-0.39000000000000057
AM,1303601,SANTA ISABEL DO RIO NEGRO,UNIÃO,15.68,02372,SANTA ISABEL DO RIO NEGRO,AM,15.996363636363636,1. péssimo,-0.3163636363636364
AM,1301951,ITAMARATI,MDB,17.41,98370,ITAMARATI,AM,18.064444444444444,1. péssimo,-0.6544444444444437
AM,1302009,ITAPIRANGA,MDB,17.41,02437,ITAPIRANGA,AM,30.586666666666666,2. ruim,-13.176666666666666
AM,1301654,GUAJARÁ,UNIÃO,15.68,02020,GUAJARA,AM,15.167777777777777,1. péssimo,0.5122222222222224
AM,1302306,JUTAÍ,UNIÃO,15.68,02496,JUTAI,AM,30.927272727272726,2. ruim,-15.247272727272726
AM,1304237,TONANTINS,REPUBLICANOS,14.1,98515,TONANTINS,AM,20.56909090909091,1. péssimo,-6.469090909090911
AM,1302207,JURUÁ,MDB,17.41,02470,JURUA,AM,24.108888888888888,1. péssimo,-6.698888888888888
AM,1303502,PAUINI,PSD,23.02,02712,PAUINI,AM,19.921818181818182,1. péssimo,3.0981818181818177
AM,1300144,APUÍ,MDB,17.41,02003,APUI,AM,15.209090909090909,1. péssimo,2.200909090909091
AM,1301852,IRANDUBA,UNIÃO,15.68,98353,IRANDUBA,AM,19.27846153846154,1. péssimo,-3.598461538461539
AM,1303007,NHAMUNDÁ,UNIÃO,15.68,02631,NHAMUNDA,AM,16.806363636363635,1. péssimo,-1.1263636363636351
AM,1303957,SÃO SEBASTIÃO DO UATUMÃ,UNIÃO,15.68,98450,SAO SEBASTIAO DO UATUMA,AM,20.893333333333334,1. péssimo,-5.213333333333335
