code_muni,name_muni,code_state,abbrev_state,sg_uf,nome_municipio.x,sg_partido_prefeito,icat_prefeito,sg_ue,nome_municipio.y,uf,icat_medio,cat_medio_camara,dist,dist_abs,cat_prefeito,sintonia,sintonia_num
1100015,Alta Floresta D'oeste,11,RO,RO,ALTA FLORESTA D'OESTE,UNIÃO,15.68,00310,ALTA FLORESTA DOESTE,RO,12.7625,1. péssimo,2.9175000000000004,2.9175000000000004,1. péssimo,1. Ambos péssimos,1
1100023,Ariquemes,11,RO,RO,ARIQUEMES,UNIÃO,15.68,00078,ARIQUEMES,RO,15.226,1. péssimo,0.4540000000000006,0.4540000000000006,1. péssimo,1. Ambos péssimos,1
1100031,Cabixi,11,RO,RO,CABIXI,MDB,17.41,00450,CABIXI,RO,15.904444444444444,1. péssimo,1.5055555555555564,1.5055555555555564,1. péssimo,1. Ambos péssimos,1
1100049,Cacoal,11,RO,RO,CACOAL,PSD,23.02,00094,CACOAL,RO,19.916666666666668,1. péssimo,3.1033333333333317,3.1033333333333317,1. péssimo,1. Ambos péssimos,1
1100056,Cerejeiras,11,RO,RO,CEREJEIRAS,UNIÃO,15.68,00272,CEREJEIRAS,RO,19.407777777777778,1. péssimo,-3.727777777777778,3.727777777777778,1. péssimo,1. Ambos péssimos,1
1100064,Colorado Do Oeste,11,RO,RO,COLORADO DO OESTE,PL,7.85,00230,COLORADO DO OESTE,RO,15.774545454545454,1. péssimo,-7.924545454545454,7.924545454545454,1. péssimo,1. Ambos péssimos,1
1100072,Corumbiara,11,RO,RO,CORUMBIARA,UNIÃO,15.68,00655,CORUMBIARA,RO,24.287142857142857,1. péssimo,-8.607142857142858,8.607142857142858,1. péssimo,1. Ambos péssimos,1
1100080,Costa Marques,11,RO,RO,COSTA MARQUES,UNIÃO,15.68,00213,COSTA MARQUES,RO,17.33875,1. péssimo,-1.6587500000000013,1.6587500000000013,1. péssimo,1. Ambos péssimos,1
1100098,Espigão D'oeste,11,RO,RO,ESPIGÃO DO OESTE,PL,7.85,00256,ESPIGAO D'OESTE,RO,18.227272727272727,1. péssimo,-10.377272727272729,10.377272727272729,1. péssimo,1. Ambos péssimos,1
1100106,Guajará-Mirim,11,RO,RO,GUAJARÁ-MIRIM,PP,16.94,00019,GUAJARA-MIRIM,RO,19.72,1. péssimo,-2.7799999999999976,2.7799999999999976,1. péssimo,1. Ambos péssimos,1
1100114,Jaru,11,RO,RO,JARU,MDB,17.41,00159,JARU,RO,21.666,1. péssimo,-4.256,4.256,1. péssimo,1. Ambos péssimos,1
1100122,Ji-Paraná,11,RO,RO,JI-PARANÁ,PL,7.85,00051,JI-PARANA,RO,15.44125,1. péssimo,-7.59125,7.59125,1. péssimo,1. Ambos péssimos,1
1100130,Machadinho D'oeste,11,RO,RO,MACHADINHO D'OESTE,PL,7.85,00396,MACHADINHO D'OESTE,RO,17.633636363636363,1. péssimo,-9.783636363636363,9.783636363636363,1. péssimo,1. Ambos péssimos,1
1100148,Nova Brasilândia D'oeste,11,RO,RO,NOVA BRASILÂNDIA D'OESTE,PRTB,NA,00370,NOVA BRASILANDIA D'OESTE,RO,17.76875,1. péssimo,NA,NA,NA,NA,NA
1100155,Ouro Preto Do Oeste,11,RO,RO,OURO PRETO DO OESTE,UNIÃO,15.68,00175,OURO PRETO DO OESTE,RO,13.064545454545454,1. péssimo,2.6154545454545453,2.6154545454545453,1. péssimo,1. Ambos péssimos,1
1100189,Pimenta Bueno,11,RO,RO,PIMENTA BUENO,PODE,20.7,00116,PIMENTA BUENO,RO,14.28875,1. péssimo,6.411249999999999,6.411249999999999,1. péssimo,1. Ambos péssimos,1
1100205,Porto Velho,11,RO,RO,PORTO VELHO,PODE,20.7,00035,PORTO VELHO,RO,17.060526315789474,1. péssimo,3.6394736842105258,3.6394736842105258,1. péssimo,1. Ambos péssimos,1
1100254,Presidente Médici,11,RO,RO,PRESIDENTE MÉDICI,PL,7.85,00191,PRESIDENTE MEDICI,RO,14.46,1. péssimo,-6.609999999999999,6.609999999999999,1. péssimo,1. Ambos péssimos,1
1100262,Rio Crespo,11,RO,RO,RIO CRESPO,PL,7.85,00647,RIO CRESPO,RO,13.922222222222222,1. péssimo,-6.072222222222223,6.072222222222223,1. péssimo,1. Ambos péssimos,1
1100288,Rolim De Moura,11,RO,RO,ROLIM DE MOURA,UNIÃO,15.68,00299,ROLIM DE MOURA,RO,15.455714285714285,1. péssimo,0.2242857142857151,0.2242857142857151,1. péssimo,1. Ambos péssimos,1
1100296,Santa Luzia D'oeste,11,RO,RO,SANTA LUZIA D'OESTE,UNIÃO,15.68,00353,SANTA LUZIA D'OESTE,RO,19.24222222222222,1. péssimo,-3.5622222222222213,3.5622222222222213,1. péssimo,1. Ambos péssimos,1
