sg_partido,sg_ue,icat,cd_municipio_ibge,nome_municipio,uf,cat_vereador
REPUBLICANOS,01120,14.1,1200013,ACRELANDIA,AC,1. péssimo
PP,01120,16.94,1200013,ACRELANDIA,AC,1. péssimo
UNIÃO,01120,15.68,1200013,ACRELANDIA,AC,1. péssimo
REPUBLICANOS,01120,14.1,1200013,ACRELANDIA,AC,1. péssimo
PDT,01120,56.75,1200013,ACRELANDIA,AC,3. regular
PL,01120,7.85,1200013,ACRELANDIA,AC,1. péssimo
PP,01120,16.94,1200013,ACRELANDIA,AC,1. péssimo
UNIÃO,01120,15.68,1200013,ACRELANDIA,AC,1. péssimo
REPUBLICANOS,01120,14.1,1200013,ACRELANDIA,AC,1. péssimo
PL,01570,7.85,1200054,ASSIS BRASIL,AC,1. péssimo
PSD,01570,23.02,1200054,ASSIS BRASIL,AC,1. péssimo
PP,01570,16.94,1200054,ASSIS BRASIL,AC,1. péssimo
PT,01570,73.72,1200054,ASSIS BRASIL,AC,4. bom
MDB,01570,17.41,1200054,ASSIS BRASIL,AC,1. péssimo
PT,01570,73.72,1200054,ASSIS BRASIL,AC,4. bom
UNIÃO,01570,15.68,1200054,ASSIS BRASIL,AC,1. péssimo
PP,01570,16.94,1200054,ASSIS BRASIL,AC,1. péssimo
PP,01570,16.94,1200054,ASSIS BRASIL,AC,1. péssimo
PP,01058,16.94,1200104,BRASILEIA,AC,1. péssimo
PT,01058,73.72,1200104,BRASILEIA,AC,4. bom
PSD,01058,23.02,1200104,BRASILEIA,AC,1. péssimo
REPUBLICANOS,01058,14.1,1200104,BRASILEIA,AC,1. péssimo
REPUBLICANOS,01058,14.1,1200104,BRASILEIA,AC,1. péssimo
UNIÃO,01058,15.68,1200104,BRASILEIA,AC,1. péssimo
PP,01058,16.94,1200104,BRASILEIA,AC,1. péssimo
PSD,01058,23.02,1200104,BRASILEIA,AC,1. péssimo
PP,01058,16.94,1200104,BRASILEIA,AC,1. péssimo
MDB,01058,17.41,1200104,BRASILEIA,AC,1. péssimo
PL,01058,7.85,1200104,BRASILEIA,AC,1. péssimo
PL,01007,7.85,1200138,BUJARI,AC,1. péssimo
REPUBLICANOS,01007,14.1,1200138,BUJARI,AC,1. péssimo
PP,01007,16.94,1200138,BUJARI,AC,1. péssimo
UNIÃO,01007,15.68,1200138,BUJARI,AC,1. péssimo
PDT,01007,56.75,1200138,BUJARI,AC,3. regular
PDT,01007,56.75,1200138,BUJARI,AC,3. regular
PC do B,01007,94.23,1200138,BUJARI,AC,5. ótimo
REPUBLICANOS,01007,14.1,1200138,BUJARI,AC,1. péssimo
PP,01007,16.94,1200138,BUJARI,AC,1. péssimo
UNIÃO,01015,15.68,1200179,CAPIXABA,AC,1. péssimo
MDB,01015,17.41,1200179,CAPIXABA,AC,1. péssimo
PP,01015,16.94,1200179,CAPIXABA,AC,1. péssimo
PL,01015,7.85,1200179,CAPIXABA,AC,1. péssimo
REPUBLICANOS,01015,14.1,1200179,CAPIXABA,AC,1. péssimo
UNIÃO,01015,15.68,1200179,CAPIXABA,AC,1. péssimo
UNIÃO,01015,15.68,1200179,CAPIXABA,AC,1. péssimo
PL,01015,7.85,1200179,CAPIXABA,AC,1. péssimo
UNIÃO,01015,15.68,1200179,CAPIXABA,AC,1. péssimo
REPUBLICANOS,01074,14.1,1200203,CRUZEIRO DO SUL,AC,1. péssimo
MDB,01074,17.41,1200203,CRUZEIRO DO SUL,AC,1. péssimo
PDT,01074,56.75,1200203,CRUZEIRO DO SUL,AC,3. regular
PP,01074,16.94,1200203,CRUZEIRO DO SUL,AC,1. péssimo
REPUBLICANOS,01074,14.1,1200203,CRUZEIRO DO SUL,AC,1. péssimo
PP,01074,16.94,1200203,CRUZEIRO DO SUL,AC,1. péssimo
UNIÃO,01074,15.68,1200203,CRUZEIRO DO SUL,AC,1. péssimo
PP,01074,16.94,1200203,CRUZEIRO DO SUL,AC,1. péssimo
PDT,01074,56.75,1200203,CRUZEIRO DO SUL,AC,3. regular
MDB,01074,17.41,1200203,CRUZEIRO DO SUL,AC,1. péssimo
REPUBLICANOS,01074,14.1,1200203,CRUZEIRO DO SUL,AC,1. péssimo
UNIÃO,01074,15.68,1200203,CRUZEIRO DO SUL,AC,1. péssimo
PP,01074,16.94,1200203,CRUZEIRO DO SUL,AC,1. péssimo
PP,01074,16.94,1200203,CRUZEIRO DO SUL,AC,1. péssimo
PP,01112,16.94,1200252,EPITACIOLANDIA,AC,1. péssimo
SOLIDARIEDADE,01112,33.33,1200252,EPITACIOLANDIA,AC,2. ruim
PP,01112,16.94,1200252,EPITACIOLANDIA,AC,1. péssimo
PL,01112,7.85,1200252,EPITACIOLANDIA,AC,1. péssimo
PP,01112,16.94,1200252,EPITACIOLANDIA,AC,1. péssimo
PL,01112,7.85,1200252,EPITACIOLANDIA,AC,1. péssimo
UNIÃO,01112,15.68,1200252,EPITACIOLANDIA,AC,1. péssimo
PP,01112,16.94,1200252,EPITACIOLANDIA,AC,1. péssimo
PDT,01112,56.75,1200252,EPITACIOLANDIA,AC,3. regular
SOLIDARIEDADE,01112,33.33,1200252,EPITACIOLANDIA,AC,2. ruim
REPUBLICANOS,01112,14.1,1200252,EPITACIOLANDIA,AC,1. péssimo
REPUBLICANOS,01139,14.1,1200302,FEIJO,AC,1. péssimo
SOLIDARIEDADE,01139,33.33,1200302,FEIJO,AC,2. ruim
PODE,01139,20.7,1200302,FEIJO,AC,1. péssimo
PDT,01139,56.75,1200302,FEIJO,AC,3. regular
PDT,01139,56.75,1200302,FEIJO,AC,3. regular
MDB,01139,17.41,1200302,FEIJO,AC,1. péssimo
REPUBLICANOS,01139,14.1,1200302,FEIJO,AC,1. péssimo
PP,01139,16.94,1200302,FEIJO,AC,1. péssimo
PP,01139,16.94,1200302,FEIJO,AC,1. péssimo
UNIÃO,01139,15.68,1200302,FEIJO,AC,1. péssimo
PSD,01139,23.02,1200302,FEIJO,AC,1. péssimo
PSD,01139,23.02,1200302,FEIJO,AC,1. péssimo
