uf,cd_municipio_tse,ds_cargo,sg_partido,nm_candidato,nm_urna_candidato,nr_candidato,e,st,vap,pvap,nm_ue,sq_candidato,nr_partido,nm_coligacao,ds_composicao_coligacao,ds_genero,ds_grau_instrucao,ds_estado_civil,ds_cor_raca,ds_ocupacao,vr_despesa_max_campanha,st_reeleicao,muni_id,muni_nm_clean,muni_nm
AM,02836,PREFEITO,PT,EGMAR VELASQUES SALDANHA,EGMAR CURUBINHA,13,s,Eleito,11014,"47,15",SÃO GABRIEL DA CACHOEIRA,40002082944,13,PARA TRABALHO E O PROGRESSO CONTINUAR,Federação BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV) / MDB / PSD / REPUBLICANOS,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),INDÍGENA,PROGRAMADOR DE COMPUTADOR,NA,NA,1303809,SAO GABRIEL DA CACHOEIRA,NA
RR,03115,PREFEITO,PP,WENSTON PAULINO BERTO RAPOSO,DR RAPOSO,11,s,Eleito,5036,"61,77",NORMANDIA,230002193965,11,NORMANDIA NÃO PODE PARAR,PP / Federação PSOL REDE(PSOL/REDE) / PSD,MASCULINO,SUPERIOR COMPLETO,DIVORCIADO(A),INDÍGENA,ADVOGADO,NA,NA,1400407,NORMANDIA,NA
RR,03107,PREFEITO,REDE,BENÍSIO ROBERTO DE SOUZA,TUXAUA BENÍSIO,18,s,Eleito,4214,"59,66",UIRAMUTÃ,230002128774,18,FEDERAÇÃO,Federação PSOL REDE(PSOL/REDE),MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,CASADO(A),INDÍGENA,PREFEITO,NA,NA,1400704,UIRAMUTA,NA
AC,01139,VEREADOR,REPUBLICANOS,MÁRIO GERSON BARBOSA DA SILVA KAXINAWÁ,MÁRIO KAXINAWÁ,10123,s,Eleito por média,402,"2,22",FEIJÓ,10002115868,10,PARTIDO ISOLADO,REPUBLICANOS,MASCULINO,SUPERIOR COMPLETO,CASADO(A),INDÍGENA,SERVIDOR PÚBLICO MUNICIPAL,NA,NA,1200302,FEIJO,NA
AC,01104,VEREADOR,REPUBLICANOS,ABRAÃO SAMPAIO FEITOSA KAXINAWÁ,TXAI SHANE HUNIKUI,10333,s,Eleito por QP,321,"6,56",JORDÃO,10001988469,10,PARTIDO ISOLADO,REPUBLICANOS,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),INDÍGENA,OUTROS,NA,NA,1200328,JORDAO,NA
AC,01090,VEREADOR,REPUBLICANOS,JOEL FERREIRA LIMA PUYANAWA,JOEL PUYANAWA,10123,s,Eleito por média,446,"3,69",MÂNCIO LIMA,10001999035,10,PARTIDO ISOLADO,REPUBLICANOS,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),INDÍGENA,VEREADOR,NA,NA,1200336,MANCIO LIMA,NA
AC,01031,VEREADOR,PP,EDILEUSO SALOMÃO MATEUS KAXINAWÁ,MESSI,11444,s,Eleito por QP,142,"4,45",SANTA ROSA DO PURUS,10001922046,11,PARTIDO ISOLADO,PP,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),INDÍGENA,OUTROS,NA,NA,1200435,SANTA ROSA DO PURUS,NA
AC,01031,VEREADOR,MDB,ENIO ORATSO MADJA,ENIO KULINA,15555,s,Eleito por média,113,"3,54",SANTA ROSA DO PURUS,10001910444,15,PARTIDO ISOLADO,MDB,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,SOLTEIRO(A),INDÍGENA,VEREADOR,NA,NA,1200435,SANTA ROSA DO PURUS,NA
AC,01031,VEREADOR,SOLIDARIEDADE,DENIS AUGUSTO KAXINAWÁ,DENIS AUGUSTO KAXINAWA,77123,s,Eleito por média,103,"3,23",SANTA ROSA DO PURUS,10002172284,77,PARTIDO ISOLADO,SOLIDARIEDADE,MASCULINO,SUPERIOR COMPLETO,CASADO(A),INDÍGENA,VEREADOR,NA,NA,1200435,SANTA ROSA DO PURUS,NA
AM,02895,VEREADOR,REPUBLICANOS,JÂNDERSON OLIVEIRA DE SOUZA,PROF JANDERSON,10111,s,Eleito por QP,370,"3,57",ALVARÃES,40002276236,10,PARTIDO ISOLADO,REPUBLICANOS,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),INDÍGENA,PROFESSOR DE ENSINO FUNDAMENTAL,NA,NA,1300029,ALVARAES,NA
AM,02895,VEREADOR,PT,MAURICIO CRUZ DE SOUZA,MAUCA,13000,s,Eleito por QP,310,"2,99",ALVARÃES,40002298157,13,FEDERAÇÃO,Federação BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV),MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),INDÍGENA,VEREADOR,NA,NA,1300029,ALVARAES,NA
AM,02917,VEREADOR,MDB,FABINSON FRANCISCO ALBINO,FABINSON FRANCISCO,15255,s,Eleito por QP,260,"4,22",AMATURÁ,40002086035,15,PARTIDO ISOLADO,MDB,MASCULINO,LÊ E ESCREVE,SOLTEIRO(A),INDÍGENA,AGRICULTOR,NA,NA,1300060,AMATURA,NA
AM,02917,VEREADOR,MDB,MATUZALÉM FELIPE DA COSTA,MATUZALÉM,15015,s,Eleito por média,175,"2,84",AMATURÁ,40002086031,15,PARTIDO ISOLADO,MDB,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,SOLTEIRO(A),INDÍGENA,AGRICULTOR,NA,NA,1300060,AMATURA,NA
AM,02917,VEREADOR,PSD,DELAIAS GERALDO ISIDORIO,DELAIAS GERALDO,55113,s,Eleito por média,316,"5,12",AMATURÁ,40002304551,55,PARTIDO ISOLADO,PSD,FEMININO,ENSINO FUNDAMENTAL COMPLETO,SOLTEIRO(A),INDÍGENA,VEREADOR,NA,NA,1300060,AMATURA,NA
AM,02054,VEREADOR,PODE,CARLOS BINAN MAYURUNA,CARLOS MAYURUNA,20444,s,Eleito por QP,310,"3,93",ATALAIA DO NORTE,40002150878,20,PARTIDO ISOLADO,PODE,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),INDÍGENA,PROFESSOR DE ENSINO FUNDAMENTAL,NA,NA,1300201,ATALAIA DO NORTE,NA
AM,02054,VEREADOR,PODE,ALFREDO BARBOSA DA SILVA MARUBO,ALFREDO MARUBO,20234,s,Eleito por QP,271,"3,43",ATALAIA DO NORTE,40002150869,20,PARTIDO ISOLADO,PODE,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),INDÍGENA,OUTROS,NA,NA,1300201,ATALAIA DO NORTE,NA
AM,02070,VEREADOR,MDB,CECILIO CORREA FILHO,CECILIO FILHO,15000,s,Eleito por QP,597,"2,29",AUTAZES,40002261494,15,PARTIDO ISOLADO,MDB,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),INDÍGENA,OUTROS,NA,NA,1300300,AUTAZES,NA
AM,02097,VEREADOR,PT,KLINGER OLIVEIRA DA SILVA,KEIMADO,13789,s,Eleito por QP,215,"2,25",BARCELOS,40002221200,13,FEDERAÇÃO,Federação BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV),MASCULINO,ENSINO MÉDIO COMPLETO,DIVORCIADO(A),INDÍGENA,AGRICULTOR,NA,NA,1300409,BARCELOS,NA
AM,02119,VEREADOR,PODE,MAIKI FERREIRA BATISTA,MAIKINHO BATISTA,20123,s,Eleito por média,874,"4,80",BARREIRINHA,40002278053,20,PARTIDO ISOLADO,PODE,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),INDÍGENA,OUTROS,NA,NA,1300508,BARREIRINHA,NA
AM,02119,VEREADOR,PSD,ERASMO BATISTA DE OLIVEIRA,ERASMO SATERE,55227,s,Eleito por média,447,"2,45",BARREIRINHA,40002189107,55,PARTIDO ISOLADO,PSD,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,CASADO(A),INDÍGENA,VEREADOR,NA,NA,1300508,BARREIRINHA,NA
AM,02135,VEREADOR,PSD,ZAQUIEL HONORATO PINHEIRO,ZAQUIEL,55580,s,Eleito por média,345,"1,76",BENJAMIN CONSTANT,40002304916,55,PARTIDO ISOLADO,PSD,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),INDÍGENA,SERVIDOR PÚBLICO MUNICIPAL,NA,NA,1300607,BENJAMIN CONSTANT,NA
AM,02135,VEREADOR,PT,ARSENIO FERNANDES TORRES,ARSENIO TICUNA,13333,s,Eleito por média,401,"2,05",BENJAMIN CONSTANT,40002305344,13,FEDERAÇÃO,Federação BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV),MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),INDÍGENA,PROFESSOR DE ENSINO FUNDAMENTAL,NA,NA,1300607,BENJAMIN CONSTANT,NA
AM,02135,VEREADOR,PODE,MARCOS THAMY RAMOS SALVADOR,MARCOS THAMY,20888,s,Eleito por média,315,"1,61",BENJAMIN CONSTANT,40002305029,20,PARTIDO ISOLADO,PODE,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),INDÍGENA,ANTROPÓLOGO,NA,NA,1300607,BENJAMIN CONSTANT,NA
AM,02194,VEREADOR,UNIÃO,MARLETE NUNES BRANDÃO,MARLETE BRANDÃO,44123,s,Eleito por QP,397,"4,47",CANUTAMA,40002299363,44,PARTIDO ISOLADO,UNIÃO,FEMININO,SUPERIOR COMPLETO,DIVORCIADO(A),INDÍGENA,PROFESSOR DE ENSINO FUNDAMENTAL,NA,NA,1300904,CANUTAMA,NA
AM,98370,VEREADOR,REPUBLICANOS,AMAVI MINU DENI,AMAVI DENI,10999,s,Eleito por média,434,"7,15",ITAMARATI,40001925289,10,PARTIDO ISOLADO,REPUBLICANOS,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,SOLTEIRO(A),INDÍGENA,VEREADOR,NA,NA,1301951,ITAMARATI,NA
AM,02518,VEREADOR,PSD,LORENA DOS SANTOS SAMPAIO,LORENA DO RAMIR,55888,s,Eleito por QP,774,"3,41",LÁBREA,40002187834,55,PARTIDO ISOLADO,PSD,FEMININO,SUPERIOR COMPLETO,CASADO(A),INDÍGENA,ASSISTENTE SOCIAL,NA,NA,1302405,LABREA,NA
AM,02658,VEREADOR,MOBILIZA,ROBSON FONSECA NUNES,PROF ROBSON NUNES,33000,s,Eleito por QP,450,"2,70",NOVA OLINDA DO NORTE,40002085604,33,PARTIDO ISOLADO,MOBILIZA,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),INDÍGENA,DIRETOR DE ESTABELECIMENTO DE ENSINO,NA,NA,1303106,NOVA OLINDA DO NORTE,NA
AM,02739,VEREADOR,PSD,ALDENEY ALBINO FLORES,ALDENEY,55777,s,Eleito por média,478,"2,98",SANTO ANTÔNIO DO IÇÁ,40002189440,55,PARTIDO ISOLADO,PSD,MASCULINO,LÊ E ESCREVE,CASADO(A),INDÍGENA,AGRICULTOR,NA,NA,1303700,SANTO ANTONIO DO ICA,NA
AM,02739,VEREADOR,MDB,NILSON ARTUR JUSTINO,NILSON TIKUNA,15888,s,Eleito por QP,726,"4,53",SANTO ANTÔNIO DO IÇÁ,40001961377,15,PARTIDO ISOLADO,MDB,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),INDÍGENA,VEREADOR,NA,NA,1303700,SANTO ANTONIO DO ICA,NA
AM,02739,VEREADOR,MDB,LAÍDE CARVALHO DA SILVA,LAÍDE,15225,s,Eleito por média,525,"3,27",SANTO ANTÔNIO DO IÇÁ,40001961375,15,PARTIDO ISOLADO,MDB,FEMININO,ENSINO MÉDIO INCOMPLETO,SOLTEIRO(A),INDÍGENA,SERVIDOR PÚBLICO MUNICIPAL,NA,NA,1303700,SANTO ANTONIO DO ICA,NA
AM,02836,VEREADOR,PODE,ARMINDO GOES MELO,ARMINDO GOES,20666,s,Eleito por QP,441,"1,92",SÃO GABRIEL DA CACHOEIRA,40002303532,20,PARTIDO ISOLADO,PODE,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,SOLTEIRO(A),INDÍGENA,AGRICULTOR,NA,NA,1303809,SAO GABRIEL DA CACHOEIRA,NA
AM,02836,VEREADOR,PODE,SUELY DIANA AMBROZIO DE OLIVEIRA LOBO,DRA SUELY,20111,s,Eleito por média,419,"1,83",SÃO GABRIEL DA CACHOEIRA,40002303538,20,PARTIDO ISOLADO,PODE,FEMININO,SUPERIOR COMPLETO,DIVORCIADO(A),INDÍGENA,ADVOGADO,NA,NA,1303809,SAO GABRIEL DA CACHOEIRA,NA
AM,02836,VEREADOR,REDE,JACKELINE MICHELE VIEIRA DA SILVA,JACKELINE VIEIRA,18456,s,Eleito por média,568,"2,48",SÃO GABRIEL DA CACHOEIRA,40002368119,18,FEDERAÇÃO,Federação PSOL REDE(PSOL/REDE),FEMININO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),INDÍGENA,COMERCIANTE,NA,NA,1303809,SAO GABRIEL DA CACHOEIRA,NA
AM,02836,VEREADOR,REDE,DIECKSON WESLEN OTERO DIOGENES,DIECK DIOGENES,18123,s,Eleito por QP,645,"2,81",SÃO GABRIEL DA CACHOEIRA,40002368116,18,FEDERAÇÃO,Federação PSOL REDE(PSOL/REDE),MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),INDÍGENA,VEREADOR,NA,NA,1303809,SAO GABRIEL DA CACHOEIRA,NA
AM,02836,VEREADOR,PSD,ANDERSON LUIZ BRAZÃO GOES,ANDERSON YANOMAMI,55236,s,Eleito por QP,390,"1,70",SÃO GABRIEL DA CACHOEIRA,40002302951,55,PARTIDO ISOLADO,PSD,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),INDÍGENA,VEREADOR,NA,NA,1303809,SAO GABRIEL DA CACHOEIRA,NA
AM,02836,VEREADOR,REPUBLICANOS,RAIONE NASCIMENTO DOS SANTOS,RAIONE NASCIMENTO,10123,s,Eleito por QP,552,"2,41",SÃO GABRIEL DA CACHOEIRA,40002010257,10,PARTIDO ISOLADO,REPUBLICANOS,MASCULINO,SUPERIOR COMPLETO,CASADO(A),INDÍGENA,EMPRESÁRIO,NA,NA,1303809,SAO GABRIEL DA CACHOEIRA,NA
AM,02836,VEREADOR,MDB,LUIZ EDUARDO SALES GUEDES,DUDU DA PRAIA,15111,s,Eleito por média,413,"1,80",SÃO GABRIEL DA CACHOEIRA,40002282603,15,PARTIDO ISOLADO,MDB,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),INDÍGENA,SERVIDOR PÚBLICO MUNICIPAL,NA,NA,1303809,SAO GABRIEL DA CACHOEIRA,NA
