cod_municipio,municipio,uf,n
1500602,ALTAMIRA,PA,52
1507300,SAO FELIX DO XINGU,PA,44
1503606,ITAITUBA,PA,43
1721000,PALMAS,TO,32
1100205,PORTO VELHO,RO,29
1505031,NOVO PROGRESSO,PA,27
5103700,FELIZ NATAL,MT,24
2305357,ICAPUI,CE,23
5002209,BONITO,MS,23
1302405,LABREA,AM,21
5106299,PARANAITA,MT,21
5106802,PORTO DOS GAUCHOS,MT,21
5103858,GAUCHA DO NORTE,MT,20
5106240,NOVA UBIRATA,MT,20
5100409,ALTO GARCAS,MT,19
5107909,SINOP,MT,19
5208707,GOIANIA,GO,19
1505486,PACAJA,PA,18
3304557,RIO DE JANEIRO,RJ,18
5103403,CUIABA,MT,18
5108006,TAPURAH,MT,18
3106200,BELO HORIZONTE,MG,17
3143302,MONTES CLAROS,MG,17
5002704,CAMPO GRANDE,MS,17
5006903,PORTO MURTINHO,MS,17
5103056,CLAUDIA,MT,17
5300108,BRASILIA,DF,17
1506187,RONDON DO PARA,PA,16
1711902,LAGOA DA CONFUSAO,TO,16
3550308,SAO PAULO,SP,16
5105580,MARCELANDIA,MT,16
5108402,VARZEA GRANDE,MT,16
3106705,BETIM,MG,15
3205309,VITORIA,ES,15
5103254,COLNIZA,MT,15
5107065,QUERENCIA,MT,15
5107354,SAO JOSE DO XINGU,MT,15
5206206,CRISTALINA,GO,15
1506807,SANTAREM,PA,14
5102504,CACERES,MT,14
5106158,NOVA BANDEIRANTES,MT,14
5106216,NOVA CANAA DO NORTE,MT,14
1100304,VILHENA,RO,13
1505064,NOVO REPARTIMENTO,PA,13
2300200,ACARAU,CE,13
3122355,DIVISA ALEGRE,MG,13
5101852,BOM JESUS DO ARAGUAIA,MT,13
5202502,ARUANA,GO,13
5211909,JATAI,GO,13
2408102,NATAL,RN,12
1302603,MANAUS,AM,11
2304400,FORTALEZA,CE,11
3147006,PARACATU,MG,11
1100130,MACHADINHO D'OESTE,RO,10
1508050,TRAIRAO,PA,10
2301109,ARACATI,CE,10
2706802,PIACABUCU,AL,10
2925501,PRADO,BA,10
3201902,DOMINGOS MARTINS,ES,10
4205803,GARUVA,SC,10
5003702,DOURADOS,MS,10
5104203,GUIRATINGA,MT,10
5107248,SANTA CARMEM,MT,10
5107743,SANTA CRUZ DO XINGU,MT,10
1100023,ARIQUEMES,RO,9
1100940,CUJUBIM,RO,9
1504208,MARABA,PA,9
1505536,PARAUAPEBAS,PA,9
1508159,URUARA,PA,9
1702000,ARAGUACU,TO,9
1703909,CASEARA,TO,9
1708205,FORMOSO DO ARAGUAIA,TO,9
2208007,PICOS,PI,9
3101201,AIURUOCA,MG,9
3170206,UBERLANDIA,MG,9
3200409,ANCHIETA,ES,9
4213807,PRAIA GRANDE,SC,9
4322400,URUGUAIANA,RS,9
5105101,JUARA,MT,9
5106307,PARANATINGA,MT,9
5107859,SAO FELIX DO ARAGUAIA,MT,9
5107925,SORRISO,MT,9
5202155,ARAGUAPAZ,GO,9
5213087,MINACU,GO,9
1300144,APUI,AM,8
1505908,PORTO DE MOZ,PA,8
2304251,CRUZ,CE,8
2304459,FORTIM,CE,8
2703809,JOAQUIM GOMES,AL,8
3170404,UNAI,MG,8
4110201,INACIO MARTINS,PR,8
4204202,CHAPECO,SC,8
4317103,SANTANA DO LIVRAMENTO,RS,8
5107305,SAO JOSE DO RIO CLARO,MT,8
5108600,VILA RICA,MT,8
5204409,CAIAPONIA,GO,8
5213103,MINEIROS,GO,8
5214838,NOVA CRIXAS,GO,8
5221601,URUACU,GO,8
1100080,COSTA MARQUES,RO,7
1501402,BELEM,PA,7
1505809,PORTEL,PA,7
1507805,SENADOR JOSE PORFIRIO,PA,7
2100055,ACAILANDIA,MA,7
2208304,PIRACURUCA,PI,7
2305506,IGUATU,CE,7
2507507,JOAO PESSOA,PB,7
2513703,SANTA RITA,PB,7
3136702,JUIZ DE FORA,MG,7
3161700,SAO GONCALO DO ABAETE,MG,7
3541406,PRESIDENTE PRUDENTE,SP,7
4310603,ITAQUI,RS,7
4312500,MOSTARDAS,RS,7
4314902,PORTO ALEGRE,RS,7
5101902,BRASNORTE,MT,7
5108907,NOVA MARINGA,MT,7
5210109,IPAMERI,GO,7
5210901,ITAPACI,GO,7
1100338,NOVA MAMORE,RO,6
1303536,PRESIDENTE FIGUEIREDO,AM,6
1500859,ANAPU,PA,6
1506138,REDENCAO,PA,6
2104800,GRAJAU,MA,6
2300309,ACOPIARA,CE,6
2408201,NISIA FLORESTA,RN,6
2414209,TIBAU DO SUL,RN,6
2611101,PETROLINA,PE,6
2611606,RECIFE,PE,6
2707107,PIRANHAS,AL,6
2708204,SAO BRAS,AL,6
2709202,TRAIPU,AL,6
2927408,SALVADOR,BA,6
3205176,VILA VALERIO,ES,6
3205200,VILA VELHA,ES,6
3300100,ANGRA DOS REIS,RJ,6
3512100,COLOMBIA,SP,6
4102901,BITURUNA,PR,6
4202404,BLUMENAU,SC,6
4208203,ITAJAI,SC,6
4311502,LAVRAS DO SUL,RS,6
4312138,MATO CASTELHANO,RS,6
4313656,PALMARES DO SUL,RS,6
4315602,RIO GRANDE,RS,6
5003207,CORUMBA,MS,6
5003306,COXIM,MS,6
5102702,CANARANA,MT,6
5103304,COMODORO,MT,6
5107008,POXOREO,MT,6
5107941,TABAPORA,MT,6
5108501,VERA,MT,6
5203401,BOM JARDIM DE GOIAS,GO,6
5210208,IPORA,GO,6
1302108,JAPURA,AM,5
1502939,DOM ELISEU,PA,5
1503705,ITUPIRANGA,PA,5
1505502,PARAGOMINAS,PA,5
1508084,TUCUMA,PA,5
1508126,ULIANOPOLIS,PA,5
1600501,OIAPOQUE,AP,5
2100600,AMARANTE DO MARANHAO,MA,5
2304707,GRANJA,CE,5
2607208,IPOJUCA,PE,5
2704302,MACEIO,AL,5
2807600,UMBAUBA,SE,5
2903201,BARREIRAS,BA,5
2910727,EUNAPOLIS,BA,5
2931350,TEIXEIRA DE FREITAS,BA,5
3133303,ITAOBIM,MG,5
3139300,MANGA,MG,5
3156700,SABARA,MG,5
3167202,SETE LAGOAS,MG,5
3200607,ARACRUZ,ES,5
3201605,CONCEICAO DA BARRA,ES,5
3202405,GUARAPARI,ES,5
3202801,ITAPEMIRIM,ES,5
3203205,LINHARES,ES,5
4205407,FLORIANOPOLIS,SC,5
4301602,BAGE,RS,5
4316402,ROSARIO DO SUL,RS,5
5000708,ANASTACIO,MS,5
5001102,AQUIDAUANA,MS,5
5008305,TRES LAGOAS,MS,5
5100250,ALTA FLORESTA,MT,5
5101407,ARIPUANA,MT,5
5102678,CAMPO VERDE,MT,5
5103379,COTRIGUACU,MT,5
5106224,NOVA MUTUM,MT,5
5106422,PEIXOTO DE AZEVEDO,MT,5
5107180,RIBEIRAO CASCALHEIRA,MT,5
5107578,RONDOLANDIA,MT,5
