rio,estacao,data,cota_atual,data_da_minima,cota_minima,relacao_cota_atual,data_ano,cota_periodo,relacao_cota_atual_ano,codigo
Negro,Barcelos (Negro),2024-10-29,215,1980-03-18,58,157,1980-10-29,432,-217,14480002
Purus,Beruri (Purus),2024-10-29,281,2023-10-25,397,-116,2023-10-29,428,-147,13990000
Branco,Boa Vista (Branco),2024-10-29,106,2016-02-14,-56.5,162.5,2016-10-29,145,-39,14620000
Branco,Caracaraí (Branco),2024-10-29,167,1998-03-24,-10,177,1998-10-29,161,6,14710000
P. Careiro,Careiro (P. Careiro),2024-10-28,18,2023-10-28,17,1,2023-10-28,17,1,15040000
Solimões,Fonte Boa (Solimões),2024-10-29,717,2010-10-22,802,-85,2010-10-29,952,-235,12351000
Madeira,Humaitá (Madeira),2024-10-29,870,2023-10-01,810,60,2023-10-29,939,-69,15630000
Amazonas,Itacoatiara (Amazonas),2024-10-29,-11,2023-10-24,36,-47,2023-10-29,54,-65,16030000
Solimões,Itapeuá (Solimões),2024-10-29,11,2010-10-20,131,-120,2010-10-29,218,-207,13150000
Solimões,Manacapuru (Solimões),2024-10-29,220,2023-10-26,311,-91,2023-10-29,321,-101,14100000
Negro,Manaus (Negro),2024-10-29,1222,2023-10-26,1270,-48,2023-10-29,1280,-58,14990000
Amazonas,Parintins (Amazonas),2024-10-28,-250,2023-10-24,-217,-33,2023-10-28,-203,-47,16350002
Acre,Rio Branco (Acre),2024-10-29,279,2022-10-02,124,155,2022-10-29,332,-53,13600002
Negro,S. G. C. (Negro),2024-10-29,624,1992-02-07,330,294,1992-10-29,628,-4,14320001
Solimões,Tabatinga (Solimões),2024-10-29,-79,2010-10-11,-86,7,2010-10-29,77,-156,10100000
Negro,S.I.N.Tapuruquara (Negro),2024-10-28,179,1980-03-13,28,151,1980-10-28,446,-267,14400000
Negro,Barcelos (Negro),2024-10-21,257,1980-03-18,58,199,1980-10-21,435,-178,14480002
Purus,Beruri (Purus),2024-10-21,285,2023-10-25,397,-112,2023-10-21,415,-130,13990000
Branco,Boa Vista (Branco),2024-10-21,115,2016-02-14,-56.5,171.5,2016-10-21,86,29,14620000
Branco,Caracaraí (Branco),2024-10-21,176,1998-03-24,-10,186,1998-10-21,220,-44,14710000
P. Careiro,Careiro (P. Careiro),2024-10-20,3,2023-10-28,17,-14,2023-10-20,78,-75,15040000
Solimões,Fonte Boa (Solimões),2024-10-21,727,2010-10-22,802,-75,2010-10-21,850,-123,12351000
Madeira,Humaitá (Madeira),2024-10-21,830,2023-10-01,810,20,2023-10-21,940,-110,15630000
Amazonas,Itacoatiara (Amazonas),2024-10-21,21,2023-10-24,36,-15,2023-10-21,75,-54,16030000
Solimões,Itapeuá (Solimões),2024-10-21,2,2010-10-20,131,-129,2010-10-21,139,-137,13150000
Solimões,Manacapuru (Solimões),2024-10-21,237,2023-10-26,311,-74,2023-10-21,345,-108,14100000
Negro,Manaus (Negro),2024-10-21,1250,2023-10-26,1270,-20,2023-10-21,1309,-59,14990000
Amazonas,Parintins (Amazonas),2024-10-20,-233,2023-10-24,-217,-16,2023-10-20,-196,-37,16350002
Acre,Rio Branco (Acre),2024-10-21,187,2022-10-02,124,63,2022-10-21,266,-79,13600002
Negro,S. G. C. (Negro),2024-10-21,612,1992-02-07,330,282,1992-10-21,692,-80,14320001
Solimões,Tabatinga (Solimões),2024-10-21,-114,2010-10-11,-86,-28,2010-10-21,85,-199,10100000
Negro,S.I.N.Tapuruquara (Negro),2024-10-13,279,1980-03-13,28,251,1980-10-13,451,-172,14400000
Negro,Barcelos (Negro),2024-10-14,299,1980-03-18,58,241,1980-10-14,447,-148,14480002
Purus,Beruri (Purus),2024-10-13,259,2023-10-25,397,-138,2023-10-13,506,-247,13990000
Branco,Boa Vista (Branco),2024-10-14,159,2016-02-14,-56.5,215.5,2016-10-14,112,47,14620000
Branco,Caracaraí (Branco),2024-10-14,240,1998-03-24,-10,250,1998-10-14,234,6,14710000
P. Careiro,Careiro (P. Careiro),2024-10-10,-22,2023-10-28,17,-39,2023-10-10,181,-203,15040000
Solimões,Fonte Boa (Solimões),2024-10-12,717,2010-10-22,802,-85,2010-10-12,831,-114,12351000
Madeira,Humaitá (Madeira),2024-10-14,804,2023-10-01,810,-6,2023-10-14,819,-15,15630000
Amazonas,Itacoatiara (Amazonas),2024-10-13,-11,2023-10-24,36,-47,2023-10-13,137,-148,16030000
Solimões,Itapeuá (Solimões),2024-10-14,-21,2010-10-20,131,-152,2010-10-14,196,-217,13150000
Solimões,Manacapuru (Solimões),2024-10-14,207,2023-10-26,311,-104,2023-10-14,433,-226,14100000
Negro,Manaus (Negro),2024-10-14,1228,2023-10-26,1270,-42,2023-10-14,1378,-150,14990000
Amazonas,Parintins (Amazonas),2024-10-13,-260,2023-10-24,-217,-43,2023-10-13,-154,-106,16350002
Acre,Rio Branco (Acre),2024-10-14,271,2022-10-02,124,147,2022-10-14,215,56,13600002
Negro,S. G. C. (Negro),2024-10-14,656,1992-02-07,330,326,1992-10-11,647,9,14320001
Solimões,Tabatinga (Solimões),2024-10-14,-182,2010-10-11,-86,-96,2010-10-14,-70,-112,10100000
Negro,S.I.N.Tapuruquara (Negro),2024-10-13,279,1980-03-13,28,251,1980-10-13,451,-172,14400000
Negro,Barcelos (Negro),2024-10-08,289,1980-03-18,58,231,1980-10-08,465,-176,14480002
Purus,Beruri (Purus),2024-10-07,355,2023-10-25,397,-42,2023-10-07,573,-218,13990000
Branco,Boa Vista (Branco),2024-10-08,228,2016-02-14,-56.5,284.5,2016-10-08,125,103,14620000
Branco,Caracaraí (Branco),2024-10-08,298,1998-03-24,-10,308,1998-10-08,378,-80,14710000
P. Careiro,Careiro (P. Careiro),2024-10-06,8,2023-10-28,17,-9,2023-10-06,230,-222,15040000
Solimões,Fonte Boa (Solimões),2024-10-08,719,2010-10-22,802,-83,2010-10-08,891,-172,12351000
Madeira,Humaitá (Madeira),2024-10-04,822,2023-10-01,810,12,2023-10-04,867,-45,15630000
Amazonas,Itacoatiara (Amazonas),2024-10-08,8,2023-10-24,36,-28,2023-10-08,197,-189,16030000
Solimões,Itapeuá (Solimões),2024-10-07,-29,2010-10-20,131,-160,2010-10-07,321,-350,13150000
Solimões,Manacapuru (Solimões),2024-10-08,213,2023-10-26,311,-98,2023-10-08,507,-294,14100000
Negro,Manaus (Negro),2024-10-08,1217,2023-10-26,1270,-53,2023-10-08,1453,-236,14990000
Amazonas,Parintins (Amazonas),2024-10-07,-242,2023-10-24,-217,-25,2023-10-07,-112,-130,16350002
Acre,Rio Branco (Acre),2024-10-08,129,2022-10-02,124,5,2022-10-08,204,-75,13600002
Negro,S. G. C. (Negro),2024-10-08,702,1992-02-07,330,372,1992-10-07,688,14,14320001
Solimões,Tabatinga (Solimões),2024-10-08,-234,2010-10-11,-86,-148,2010-10-08,-60,-174,10100000
Negro,S.I.N.Tapuruquara (Negro),2024-10-08,320,1980-03-13,28,292,1980-10-08,460,-140,14400000
Negro,Barcelos (Negro),2024-10-04,248,1980-03-18,58,190,1980-10-04,463,-215,14480002
Purus,Beruri (Purus),2024-10-04,350,2023-10-25,397,-47,2023-10-04,590,-240,13990000
Branco,Boa Vista (Branco),2024-10-04,225,2016-02-14,-56.5,281.5,2016-10-04,142,83,14620000
Branco,Caracaraí (Branco),2024-10-04,214,1998-03-24,-10,224,1998-10-04,242,-28,14710000
P. Careiro,Careiro (P. Careiro),2024-10-03,20,2023-10-28,17,3,2023-10-03,264,-244,15040000
Solimões,Fonte Boa (Solimões),2024-10-04,725,2010-10-22,802,-77,2010-10-04,952,-227,12351000
Madeira,Humaitá (Madeira),2024-10-04,822,2023-10-01,810,12,2023-10-04,867,-45,15630000
Amazonas,Itacoatiara (Amazonas),2024-10-04,32,2023-10-24,36,-4,2023-10-04,252,-220,16030000
