projeto_responsavel,natureza,valor_do_projeto,valor_do_apoio,local,situacao,organizacao,url_proj,data_da_aprovacao,data_da_contratacao,data_da_conclusao
Fortalecendo a Economia de Base Florestal Sustentável Cooperativa Central de Comercialização Extrativista do Estado do Acre (Cooperacre),Terceiro Setor,5190901.39,4981614.659999999,AC,concluido,Cooperativa Central de Comercialização Extrativista do Estado do Acre (Cooperacre),https://www.fundoamazonia.gov.br/pt/projeto/Fortalecendo-a-Economia-de-Base-Florestal-Sustentavel/,2014-09-23,2014-11-24,2022-03-31
CAR Paraná Instituto Água e Terra (IAT),Estados,4640011.3,1084473.01,PR,concluido,Instituto Água e Terra (IAT),https://www.fundoamazonia.gov.br/pt/projeto/CAR-Parana/,2016-10-26,2017-06-13,2022-07-29
ARAPAIMA: Redes Produtivas Operação Amazônia Nativa (OPAN),Terceiro Setor,6487406.91,6364730,AM,concluido,Operação Amazônia Nativa (OPAN),https://www.fundoamazonia.gov.br/pt/projeto/ARAPAIMA-Redes-Produtivas/,2014-10-28,2015-01-26,2020-08-07
Fortalecimento do Controle e do Monitoramento Ambiental para o Combate ao Desmatamento Ilegal na Amazônia Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis (Ibama),União,56295964.63,56295964.63,"AC, AP, AM, MA, MT, PA, RO, RR, TO",concluido,Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis (Ibama),https://www.fundoamazonia.gov.br/pt/projeto/Fortalecimento-do-Controle-e-do-Monitoramento-Ambiental-para-o-Combate-ao-Desmatamento-Ilegal-na-Amazonia/,2016-10-19,2016-11-03,2019-06-30
Concretizar Associação dos Pequenos Agrossilvicultores do Projeto Reca (Projeto Reca),Terceiro Setor,7126393.21,6422748,"AC, RO",concluido,Associação dos Pequenos Agrossilvicultores do Projeto Reca (Projeto Reca),https://www.fundoamazonia.gov.br/pt/projeto/Concretizar/,2014-10-14,2015-01-19,2020-10-30
Florestas Comunitárias Instituto Floresta Tropical (IFT),Terceiro Setor,11976427.209999999,8100000,PA,concluido,Instituto Floresta Tropical (IFT),https://www.fundoamazonia.gov.br/pt/projeto/Florestas-Comunitarias/,2017-04-06,2017-07-26,2022-12-20
Floresta para o Bem-estar Conservation International do Brasil (CI-Brasil),Terceiro Setor,29452432,29452432,"AC, AM, MT, PA",contratado,Conservation International do Brasil (CI-Brasil),https://www.fundoamazonia.gov.br/pt/projeto/Floresta-para-o-Bem-estar/,2023-11-24,2024-03-06,NA
Projeto de Prevenção e Combate a Incêndios Florestais e Queimadas Não Autorizadas no Amapá Estado do Amapá - Corpo de Bombeiros Militar do Amapá (CBMAP),Estados,44999559,44999559,AP,contratado,Estado do Amapá - Corpo de Bombeiros Militar do Amapá (CBMAP),https://www.fundoamazonia.gov.br/pt/projeto/Projeto-de-Prevencao-e-Combate-a-Incendios-Florestais-e-Queimadas-Nao-Autorizadas-no-Amapa/,2024-09-24,2024-11-22,NA
Restaura Amazônia MR2 Fundação Brasileira Para o Desenvolvimento Sustentável (FBDS),Terceiro Setor,150000000,150000000,"MT, TO",contratado,Fundação Brasileira Para o Desenvolvimento Sustentável (FBDS),https://www.fundoamazonia.gov.br/pt/projeto/Restaura-Amazonia-MR2/,2024-10-24,2024-11-12,NA
Restaura Amazônia MR3 Conservation International do Brasil (CI-Brasil),Terceiro Setor,150000000,150000000,"MA, PA",contratado,Conservation International do Brasil (CI-Brasil),https://www.fundoamazonia.gov.br/pt/projeto/Restaura-Amazonia-MR3/,2024-10-24,2024-11-12,NA
Restaura Amazônia MR1 Instituto Brasileiro de Administração Municipal (Ibam),Terceiro Setor,150000000,150000000,"AC, AM, RO",contratado,Instituto Brasileiro de Administração Municipal (Ibam),https://www.fundoamazonia.gov.br/pt/projeto/Restaura-Amazonia-MR1/,2024-10-24,2024-11-04,NA
Cadeias de Valor da Agricultura Familiar no Estado de Mato Grosso Associação do Centro de Tecnologia Alternativa (CTA),Terceiro Setor,3238032,3238032,MT,concluido,Associação do Centro de Tecnologia Alternativa (CTA),https://www.fundoamazonia.gov.br/pt/projeto/Cadeias-de-Valor-da-Agricultura-Familiar-no-Estado-de-Mato-Grosso/,2014-09-02,2014-11-25,2023-07-25
Fundo Kayapó de Conservação em Terras Indígenas Fundo Brasileiro para a Biodiversidade (Funbio),Terceiro Setor,23300000,16900000,"MT, PA",contratado,Fundo Brasileiro para a Biodiversidade (Funbio),https://www.fundoamazonia.gov.br/pt/projeto/Fundo-Kayapo-de-Conservacao-em-Terras-Indigenas/,2011-06-21,2011-11-21,NA
CAR Ceará Superintendência Estadual do Meio Ambiente do Estado do Ceará (Semace),Estados,27314911.89,18824169.830000002,CE,contratado,Superintendência Estadual do Meio Ambiente do Estado do Ceará (Semace),https://www.fundoamazonia.gov.br/pt/projeto/CAR-Ceara/,2016-02-23,2016-05-31,NA
CAR Bahia Instituto do Meio Ambiente e dos Recursos Hídricos do Estado da Bahia (Inema) - Estado da Bahia e Secretaria Estadual do Meio Ambiente (Sema),Estados,37260000,29298701.779999997,BA,contratado,Instituto do Meio Ambiente e dos Recursos Hídricos do Estado da Bahia (Inema) - Estado da Bahia e Secretaria Estadual do Meio Ambiente (Sema),https://www.fundoamazonia.gov.br/pt/projeto/CAR-Bahia/,2025-01-02,2014-06-02,NA
Amazônia - Regularização Ambiental Fundação Brasileira para o Desenvolvimento Sustentável (FBDS),Terceiro Setor,9267000,9267000,"AC, AP, AM, MA, MT, PA, RO, RR, TO",concluido,Fundação Brasileira para o Desenvolvimento Sustentável (FBDS),https://www.fundoamazonia.gov.br/pt/projeto/Amazonia-Regularizacao-Ambiental/,2018-12-03,2019-02-07,2023-03-20
Experiências Indígenas de Gestão Territorial e Ambiental no Acre Comissão Pró-Índio do Acre (CPI-Acre),Terceiro Setor,5823061,5823061,AC,contratado,Comissão Pró-Índio do Acre (CPI-Acre),https://www.fundoamazonia.gov.br/pt/projeto/Experiencias-Indigenas-de-Gestao-Territorial-e-Ambiental-no-Acre/,2018-02-26,2018-06-14,NA
Inventário Florestal Nacional - Amazônia União Federal - Serviço Florestal Brasileiro (SFB),União,38149718.06,38149718.06,"AC, AP, AM, MA, MT, PA, RO, RR, TO",contratado,União Federal - Serviço Florestal Brasileiro (SFB),https://www.fundoamazonia.gov.br/pt/projeto/Inventario-Florestal-Nacional-Amazonia/,2012-07-31,2013-01-24,NA
