codigo_ibge,municipio,uf,data,ano_evento,descricao_tipologia,grupo_de_desastre,status,dh_mortos,dh_feridos,dh_enfermos,dh_desabrigados,dh_desalojados,dh_total_danos_humanos,dh_outros_afetados,cobrade,populacao,dh_desaparecidos
1200401,Rio Branco,AC,1991-01-21T00:00:00Z,1991,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
5107859,São Félix do Araguaia,MT,1991-02-26T00:00:00Z,1991,Enxurradas,Hidrológico,Registro,0,0,0,58,0,58,0,NA,NA,NA
5108402,Várzea Grande,MT,1991-02-26T00:00:00Z,1991,Enxurradas,Hidrológico,Registro,0,0,0,320,0,320,0,NA,NA,NA
5103403,Cuiabá,MT,1991-03-26T00:00:00Z,1991,Inundações,Hidrológico,Registro,0,0,0,400,0,400,0,NA,NA,NA
5107859,São Félix do Araguaia,MT,1991-04-12T00:00:00Z,1991,Enxurradas,Hidrológico,Registro,0,0,0,148,0,148,0,NA,NA,NA
1500602,Altamira,PA,1991-04-24T00:00:00Z,1991,Inundações,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
1304062,Tabatinga,AM,1991-05-17T00:00:00Z,1991,Doenças infecciosas,Outros,Registro,0,0,0,0,0,0,0,NA,NA,NA
1709005,Goiatins,TO,1992-02-13T00:00:00Z,1992,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
1710706,Itaguatins,TO,1992-02-13T00:00:00Z,1992,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
1713205,Miracema do Tocantins,TO,1992-02-13T00:00:00Z,1992,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
1716505,Pedro Afonso,TO,1992-02-13T00:00:00Z,1992,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
1718204,Porto Nacional,TO,1992-02-13T00:00:00Z,1992,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
1718303,Praia Norte,TO,1992-02-13T00:00:00Z,1992,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
1718402,Presidente Kennedy,TO,1992-02-13T00:00:00Z,1992,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
1707702,Filadélfia,TO,1992-03-12T00:00:00Z,1992,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
1720309,São Sebastião do Tocantins,TO,1992-03-12T00:00:00Z,1992,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
2100956,Arame,MA,1993-01-12T00:00:00Z,1993,Estiagem e Seca,Climatológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
2104909,Guimarães,MA,1993-01-15T00:00:00Z,1993,Estiagem e Seca,Climatológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
2103109,Cedral,MA,1993-01-30T00:00:00Z,1993,Estiagem e Seca,Climatológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
2101301,Bacuri,MA,1993-02-02T00:00:00Z,1993,Estiagem e Seca,Climatológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
2103604,Coroatá,MA,1993-02-10T00:00:00Z,1993,Estiagem e Seca,Climatológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
2104800,Grajaú,MA,1993-02-11T00:00:00Z,1993,Estiagem e Seca,Climatológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
2101608,Barra do Corda,MA,1993-02-15T00:00:00Z,1993,Estiagem e Seca,Climatológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
1200203,Cruzeiro do Sul,AC,1993-02-25T00:00:00Z,1993,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
2110708,São Domingos do Maranhão,MA,1993-03-01T00:00:00Z,1993,Estiagem e Seca,Climatológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
2111904,Sucupira do Norte,MA,1993-03-01T00:00:00Z,1993,Estiagem e Seca,Climatológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
2106805,Mirinzal,MA,1993-03-05T00:00:00Z,1993,Estiagem e Seca,Climatológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
5102850,Castanheira,MT,1993-03-07T00:00:00Z,1993,Inundações,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
2102309,Buriti Bravo,MA,1993-03-10T00:00:00Z,1993,Estiagem e Seca,Climatológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
1200609,Tarauacá,AC,1993-03-11T00:00:00Z,1993,Inundações,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
1301407,Eirunepé,AM,1993-03-26T00:00:00Z,1993,Inundações,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
2112100,Timbiras,MA,1993-03-26T00:00:00Z,1993,Estiagem e Seca,Climatológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
2104206,Fortuna,MA,1993-04-01T00:00:00Z,1993,Estiagem e Seca,Climatológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
2106706,Mirador,MA,1993-04-05T00:00:00Z,1993,Estiagem e Seca,Climatológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
1300060,Amaturá,AM,1993-04-19T00:00:00Z,1993,Inundações,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
1300201,Atalaia do Norte,AM,1993-04-19T00:00:00Z,1993,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
1300607,Benjamin Constant,AM,1993-04-19T00:00:00Z,1993,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
1301159,Careiro da Várzea,AM,1993-04-19T00:00:00Z,1993,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
1301209,Coari,AM,1993-04-19T00:00:00Z,1993,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
1302702,Manicoré,AM,1993-04-19T00:00:00Z,1993,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
1303007,Nhamundá,AM,1993-04-19T00:00:00Z,1993,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
1303106,Nova Olinda do Norte,AM,1993-04-19T00:00:00Z,1993,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
1303304,Novo Aripuanã,AM,1993-04-19T00:00:00Z,1993,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
1304062,Tabatinga,AM,1993-04-19T00:00:00Z,1993,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
1304401,Urucurituba,AM,1993-04-19T00:00:00Z,1993,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
2103703,Cururupu,MA,1993-05-03T00:00:00Z,1993,Estiagem e Seca,Climatológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
1300086,Anamã,AM,1993-05-07T00:00:00Z,1993,Inundações,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
1300102,Anori,AM,1993-05-07T00:00:00Z,1993,Inundações,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
1300805,Borba,AM,1993-05-07T00:00:00Z,1993,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
