codigo_ibge,municipio,uf,data,ano_evento,descricao_tipologia,grupo_de_desastre,status,pepl_assis_med_e_emergen_r,pepl_abast_de_agua_pot_r,pepl_sist_de_esgotos_sanit_r,pepl_sis_limp_e_rec_lixo_r,pepl_sis_cont_pragas_r,pepl_distrib_energia_r,pepl_telecomunicacoes_r,pepl_tran_loc_reg_l_curso_r,pepl_distrib_combustiveis_r,pepl_seguranca_publica_r,pepl_ensino_r,pepl_total_publico,pepr_agricultura_r,pepr_pecuaria_r,pepr_industria_r,pepr_comercio_r,pepr_servicos_r,pepr_total_privado,prejutotal
1200401,Rio Branco,AC,1991-01-21T00:00:00Z,1991,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5107859,São Félix do Araguaia,MT,1991-02-26T00:00:00Z,1991,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5108402,Várzea Grande,MT,1991-02-26T00:00:00Z,1991,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5103403,Cuiabá,MT,1991-03-26T00:00:00Z,1991,Inundações,Hidrológico,Registro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5107859,São Félix do Araguaia,MT,1991-04-12T00:00:00Z,1991,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500602,Altamira,PA,1991-04-24T00:00:00Z,1991,Inundações,Hidrológico,Registro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1304062,Tabatinga,AM,1991-05-17T00:00:00Z,1991,Doenças infecciosas,Outros,Registro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1709005,Goiatins,TO,1992-02-13T00:00:00Z,1992,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1710706,Itaguatins,TO,1992-02-13T00:00:00Z,1992,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1713205,Miracema do Tocantins,TO,1992-02-13T00:00:00Z,1992,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1716505,Pedro Afonso,TO,1992-02-13T00:00:00Z,1992,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1718204,Porto Nacional,TO,1992-02-13T00:00:00Z,1992,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1718303,Praia Norte,TO,1992-02-13T00:00:00Z,1992,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1718402,Presidente Kennedy,TO,1992-02-13T00:00:00Z,1992,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1707702,Filadélfia,TO,1992-03-12T00:00:00Z,1992,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720309,São Sebastião do Tocantins,TO,1992-03-12T00:00:00Z,1992,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100956,Arame,MA,1993-01-12T00:00:00Z,1993,Estiagem e Seca,Climatológico,Registro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2104909,Guimarães,MA,1993-01-15T00:00:00Z,1993,Estiagem e Seca,Climatológico,Registro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2103109,Cedral,MA,1993-01-30T00:00:00Z,1993,Estiagem e Seca,Climatológico,Registro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2101301,Bacuri,MA,1993-02-02T00:00:00Z,1993,Estiagem e Seca,Climatológico,Registro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2103604,Coroatá,MA,1993-02-10T00:00:00Z,1993,Estiagem e Seca,Climatológico,Registro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2104800,Grajaú,MA,1993-02-11T00:00:00Z,1993,Estiagem e Seca,Climatológico,Registro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2101608,Barra do Corda,MA,1993-02-15T00:00:00Z,1993,Estiagem e Seca,Climatológico,Registro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1200203,Cruzeiro do Sul,AC,1993-02-25T00:00:00Z,1993,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2110708,São Domingos do Maranhão,MA,1993-03-01T00:00:00Z,1993,Estiagem e Seca,Climatológico,Registro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2111904,Sucupira do Norte,MA,1993-03-01T00:00:00Z,1993,Estiagem e Seca,Climatológico,Registro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2106805,Mirinzal,MA,1993-03-05T00:00:00Z,1993,Estiagem e Seca,Climatológico,Registro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5102850,Castanheira,MT,1993-03-07T00:00:00Z,1993,Inundações,Hidrológico,Registro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2102309,Buriti Bravo,MA,1993-03-10T00:00:00Z,1993,Estiagem e Seca,Climatológico,Registro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1200609,Tarauacá,AC,1993-03-11T00:00:00Z,1993,Inundações,Hidrológico,Registro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1301407,Eirunepé,AM,1993-03-26T00:00:00Z,1993,Inundações,Hidrológico,Registro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2112100,Timbiras,MA,1993-03-26T00:00:00Z,1993,Estiagem e Seca,Climatológico,Registro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2104206,Fortuna,MA,1993-04-01T00:00:00Z,1993,Estiagem e Seca,Climatológico,Registro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2106706,Mirador,MA,1993-04-05T00:00:00Z,1993,Estiagem e Seca,Climatológico,Registro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1300060,Amaturá,AM,1993-04-19T00:00:00Z,1993,Inundações,Hidrológico,Registro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1300201,Atalaia do Norte,AM,1993-04-19T00:00:00Z,1993,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
