geo_cod,nm_municip,uf,regiao,name,value,mes_ano,iis,sempre_seca,classe
1100080,COSTA MARQUES,RO,Norte,iis1_0124,5,2024-01-01,1,TRUE,Seca Fraca
1100080,COSTA MARQUES,RO,Norte,iis1_0224,5,2024-02-01,1,TRUE,Seca Fraca
1100080,COSTA MARQUES,RO,Norte,iis1_0324,5,2024-03-01,1,TRUE,Seca Fraca
1100080,COSTA MARQUES,RO,Norte,iis1_0424,5,2024-04-01,1,TRUE,Seca Fraca
1100080,COSTA MARQUES,RO,Norte,iis1_0524,4,2024-05-01,1,TRUE,Seca Moderada
1100080,COSTA MARQUES,RO,Norte,iis1_0624,4,2024-06-01,1,TRUE,Seca Moderada
1100080,COSTA MARQUES,RO,Norte,iis1_0724,5,2024-07-01,1,TRUE,Seca Fraca
1100080,COSTA MARQUES,RO,Norte,iis1_0824,4,2024-08-01,1,TRUE,Seca Moderada
1100080,COSTA MARQUES,RO,Norte,iis1_0924,4,2024-09-01,1,TRUE,Seca Moderada
1100080,COSTA MARQUES,RO,Norte,iis1_1024,3,2024-10-01,1,TRUE,Seca Severa
1100080,COSTA MARQUES,RO,Norte,iis1_1124,4,2024-11-01,1,TRUE,Seca Moderada
1100080,COSTA MARQUES,RO,Norte,iis1_1224,5,2024-12-01,1,TRUE,Seca Fraca
1100114,JARU,RO,Norte,iis1_0124,4,2024-01-01,1,TRUE,Seca Moderada
1100114,JARU,RO,Norte,iis1_0224,4,2024-02-01,1,TRUE,Seca Moderada
1100114,JARU,RO,Norte,iis1_0324,4,2024-03-01,1,TRUE,Seca Moderada
1100114,JARU,RO,Norte,iis1_0424,4,2024-04-01,1,TRUE,Seca Moderada
1100114,JARU,RO,Norte,iis1_0524,3,2024-05-01,1,TRUE,Seca Severa
1100114,JARU,RO,Norte,iis1_0624,3,2024-06-01,1,TRUE,Seca Severa
1100114,JARU,RO,Norte,iis1_0724,4,2024-07-01,1,TRUE,Seca Moderada
1100114,JARU,RO,Norte,iis1_0824,3,2024-08-01,1,TRUE,Seca Severa
1100114,JARU,RO,Norte,iis1_0924,2,2024-09-01,1,TRUE,Seca Extrema
1100114,JARU,RO,Norte,iis1_1024,3,2024-10-01,1,TRUE,Seca Severa
1100114,JARU,RO,Norte,iis1_1124,4,2024-11-01,1,TRUE,Seca Moderada
1100114,JARU,RO,Norte,iis1_1224,4,2024-12-01,1,TRUE,Seca Moderada
1100122,JI-PARANÁ,RO,Norte,iis1_0124,5,2024-01-01,1,TRUE,Seca Fraca
1100122,JI-PARANÁ,RO,Norte,iis1_0224,4,2024-02-01,1,TRUE,Seca Moderada
1100122,JI-PARANÁ,RO,Norte,iis1_0324,4,2024-03-01,1,TRUE,Seca Moderada
1100122,JI-PARANÁ,RO,Norte,iis1_0424,4,2024-04-01,1,TRUE,Seca Moderada
1100122,JI-PARANÁ,RO,Norte,iis1_0524,3,2024-05-01,1,TRUE,Seca Severa
1100122,JI-PARANÁ,RO,Norte,iis1_0624,3,2024-06-01,1,TRUE,Seca Severa
1100122,JI-PARANÁ,RO,Norte,iis1_0724,3,2024-07-01,1,TRUE,Seca Severa
1100122,JI-PARANÁ,RO,Norte,iis1_0824,3,2024-08-01,1,TRUE,Seca Severa
1100122,JI-PARANÁ,RO,Norte,iis1_0924,2,2024-09-01,1,TRUE,Seca Extrema
1100122,JI-PARANÁ,RO,Norte,iis1_1024,3,2024-10-01,1,TRUE,Seca Severa
1100122,JI-PARANÁ,RO,Norte,iis1_1124,4,2024-11-01,1,TRUE,Seca Moderada
1100122,JI-PARANÁ,RO,Norte,iis1_1224,4,2024-12-01,1,TRUE,Seca Moderada
1100155,OURO PRETO DO OESTE,RO,Norte,iis1_0124,4,2024-01-01,1,TRUE,Seca Moderada
1100155,OURO PRETO DO OESTE,RO,Norte,iis1_0224,4,2024-02-01,1,TRUE,Seca Moderada
1100155,OURO PRETO DO OESTE,RO,Norte,iis1_0324,4,2024-03-01,1,TRUE,Seca Moderada
1100155,OURO PRETO DO OESTE,RO,Norte,iis1_0424,4,2024-04-01,1,TRUE,Seca Moderada
1100155,OURO PRETO DO OESTE,RO,Norte,iis1_0524,3,2024-05-01,1,TRUE,Seca Severa
1100155,OURO PRETO DO OESTE,RO,Norte,iis1_0624,3,2024-06-01,1,TRUE,Seca Severa
1100155,OURO PRETO DO OESTE,RO,Norte,iis1_0724,4,2024-07-01,1,TRUE,Seca Moderada
1100155,OURO PRETO DO OESTE,RO,Norte,iis1_0824,4,2024-08-01,1,TRUE,Seca Moderada
1100155,OURO PRETO DO OESTE,RO,Norte,iis1_0924,2,2024-09-01,1,TRUE,Seca Extrema
1100155,OURO PRETO DO OESTE,RO,Norte,iis1_1024,2,2024-10-01,1,TRUE,Seca Extrema
1100155,OURO PRETO DO OESTE,RO,Norte,iis1_1124,4,2024-11-01,1,TRUE,Seca Moderada
