Ministério da Integração e do Desenvolvimento Regional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Secretaria Nacional de Proteção e Defesa Civil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relatório Gerencial - Danos Informados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data Inicial: 01/01/2024 Data Final: 31/12/2024 UF: AC,AM,AP,MA,MT,PA,RO,RR,TO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UF,Município,Registro,Protocolo,COBRADE,Status,População,DH_Mortos,DH_Feridos,DH_Enfermos,DH_Desabrigados,DH_Desalojados,DH_Desaparecidos,DH_Outros Afetados,DM_Unidades Habitacionais Danificadas,DM_Unidades Habitacionais Destruídas,DM_Unidades Habitacionais Valor,DM_Instalações públicas de saúde Danificadas,DM_Instalações públicas de saúde Destruídas,DM_Instalações públicas de saúde Valor,DM_Instalações públicas de ensino Danificadas,DM_Instalações públicas de ensino Destruídas,DM_Instalações públicas de ensino Valor,DM_Instalações públicas prestadoras de outros serviços Danificadas,DM_Instalações públicas prestadoras de outros serviços Destruídas,DM_Instalações públicas prestadoras de outros serviços Valor,DM_Instalações públicas de uso comunitário Danificadas,DM_Instalações públicas de uso comunitário Destruídas,DM_Instalações públicas de uso comunitário Valor,DM_Obras de infraestrutura pública Danificadas,DM_Obras de infraestrutura pública Destruídas,DM_Obras de infraestrutura pública Valor,DA_Poluição ou contaminação da água,DA_Poluição ou contaminação do ar,DA_Poluição ou contaminação do solo,DA_Diminuição ou exaurimento hídrico,"DA_Incêndios em parques, APA's ou APP's","PEPL_Assistência médica, saúde pública e atendimento de emergências médicas (R$)",PEPL_Abastecimento de água potável (R$),PEPL_Esgoto de águas pluviais e sistema de esgotos sanitários (R$),PEPL_Sistema de limpeza urbana e de recolhimento e destinação do lixo (R$),PEPL_Sistema de desinfestação/desinfecção do habitat/controle de pragas e vetores (R$),PEPL_Geração e distribuição de energia elétrica (R$),PEPL_Telecomunicações (R$),"PEPL_Transportes locais, regionais e de longo curso (R$)","PEPL_Distribuição de combustíveis, especialmente os de uso doméstico (R$)",PEPL_Segurança pública (R$),PEPL_Ensino (R$),PEPR_Agricultura (R$),PEPR_Pecuária (R$),PEPR_Indústria (R$),PEPR_Comércio (R$),PEPR_Serviços (R$)
MA,Matinha,02/01/2025,MA-F-2106508-14110-20241227,14110 - Estiagem,Reconhecido,21832,0,0,0,0,0,0,9500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DE 5% A 10%,,DE 5% A 10%,DE 10% A 20%,,1200000,1000000,0,0,0,0,0,0,0,0,400000,1400000,500000,0,0,0
PA,Maracanã,03/01/2025,PA-F-1504307-14132-20241224,"14132 - Incêndio Florestal - Incêndios em áreas não protegidas, com reflexos na qualidade do ar",Registro,28376,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,10,10,30000,0,0,0,0,0,0,DE 5% A 10%,DE 10% A 20%,DE 0% A 5%,,,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,10000
MA,São Bento,02/01/2025,MA-F-2110500-14110-20241223,14110 - Estiagem,Reconhecido,40717,0,0,0,0,0,0,25850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MAIS DE 20%,MAIS DE 20%,DE 10% A 20%,MAIS DE 20%,,880000,2500000,0,0,0,0,0,0,0,0,200000,800000,400000,0,0,0
MA,Estreito,24/12/2024,MA-F-2104057-22220-20241222,"22220 - Derramamento de produtos químicos em ambiente lacustre, fluvial e marinho",Registro,35738,4,1,0,0,0,13,19000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MAIS DE 20%,,DE 5% A 10%,,,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MA,Estreito,26/12/2024,MA-F-2104057-24100-20241222,24100 - Colapso de edificações,Reconhecido,35738,6,1,0,0,0,11,19000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DE 5% A 10%,DE 0% A 5%,,,,70000,56000,0,0,0,0,0,0,87625,0,0,10000000,0,0,15784000,"2130428,75"
TO,Aguiarnópolis,26/12/2024,TO-F-1700301-24100-20241222,24100 - Colapso de edificações,Reconhecido,5158,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MAIS DE 20%,,,,,500000,0,0,0,0,0,0,0,0,0,350000,2500000,4500000,15000000,135000000,2000000
MT,São José do Rio Claro,23/12/2024,MT-F-5107305-13214-20241221,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,17128,0,0,0,0,28,0,0,7,0,70000,0,0,0,0,0,0,0,0,0,0,0,0,0,18,538000,DE 0% A 5%,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MA,Palmeirândia,21/12/2024,MA-F-2107605-14120-20241221,14120 - Seca,Registro,18766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MA,Amarante do Maranhão,14/01/2025,MA-F-2100600-14110-20241220,14110 - Estiagem,Reconhecido,37894,0,0,0,0,0,0,5500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MAIS DE 20%,MAIS DE 20%,MAIS DE 20%,MAIS DE 20%,,1400000,3200000,0,0,0,0,0,0,0,0,0,1000000,600000,0,0,0
MA,São João Batista,26/12/2024,MA-F-2111003-14110-20241218,14110 - Estiagem,Reconhecido,19966,0,0,0,0,0,0,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DE 5% A 10%,DE 5% A 10%,,DE 10% A 20%,,440000,1729920,0,0,0,0,0,0,137000,0,140000,600000,200000,0,0,0
