municipio,uf,danos_ensino,perdas_publicas_ensino,total
Manaus,AM,30190227.496623795,50571285.4392778,80761512.9359016
Boa Vista do Ramos,AM,79118357.14844899,1243939.6027568078,80362296.7512058
Manacapuru,AM,37370078.248966776,29218824.181079865,66588902.43004664
Barreirinha,AM,13395914.827968197,46733795.69568956,60129710.523657754
Rio Branco,AC,38986581.113017574,18830092.92023169,57816674.03324926
Caapiranga,AM,26180537.474563003,23033713.777932927,49214251.25249593
Parintins,AM,33351845.52046002,7057348.864537628,40409194.38499765
Humaitá,AM,6183012.502330814,33901936.03222375,40084948.53455457
Autazes,AM,9861491.371505067,29810742.55734595,39672233.928851016
Tefé,AM,12156071.06436256,26807460.177688625,38963531.242051184
