ano_evento,valor
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,2106853.3416361446
2000,3547967.5851935865
2001,301247.88032894826
2002,113412.66344746057
2003,94827.1987428893
2004,2738196.1539669186
2005,12131223.480869891
2006,27861723.265659377
2007,58788954.358548924
2008,10083725.497820158
2009,220632382.09862846
2010,23077433.823389187
2011,5750294.398791179
2012,182663743.92627406
2013,177294444.4989078
2014,240054602.039092
2015,134598562.7743859
2016,0
2017,78115914.3663648
2018,33734992.8537435
2019,66772100.10962845
2020,18980162.386043295
2021,36841504.56574563
2022,80616112.3066418
2023,86349882.09
2024,126861744.43
