,ANO,,,,,,,,,,,,,,,,,,,,,,,,,VARIAÇÃO DO ACUMULADO 
MÊS,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,NO ANO 2024 / 2023 (%) ²
Janeiro,  -   ,  3.036.334 ,  3.474.471 ,  5.364.695 ,  9.170.220 ,  7.881.918 ,  16.641.104 ,  14.939.979 ,  7.682.480 ,  12.369.505 ,  14.901.277 ,  14.425.335 ,  15.335.575 ,  5.149.389 ,  11.932.054 ,  23.476.517 ,  27.463.322 ,  38.961.189 ,  38.480.063 ,  34.865.288 ,  30.176.127 ,  34.766.105 ,  29.965.507 ,  44.354.738 ,  67.662.002 ,"52,5"
Fevereiro,  0 ,  4.647.179 ,  3.441.850 ,  10.949.656 ,  7.738.696 ,  5.811.394 ,  4.762.014 ,  11.585.656 ,  7.869.212 ,  16.332.742 ,  17.722.527 ,  19.791.000 ,  16.557.740 ,  10.804.239 ,  9.229.763 ,  17.393.277 ,  22.433.310 ,  43.579.581 ,  25.450.680 ,  28.527.233 ,  42.036.039 ,  35.342.418 ,  46.273.222 ,  16.997.517 ,  39.313.582 ,"74,4"
Março,  -   ,  395.165 ,  7.566.659 ,  8.398.736 ,  9.889.660 ,  3.593.179 ,  7.339.419 ,  11.829.866 ,  4.269.221 ,  11.160.409 ,  22.107.160 ,  13.172.447 ,  20.162.655 ,  12.855.448 ,  10.617.145 ,  18.802.395 ,  21.167.263 ,  28.020.422 ,  29.012.632 ,  34.228.797 ,  45.614.819 ,  45.924.603 ,  38.138.806 ,  78.648.982 ,  55.572.346 ,"16,1"
Abril,  -   ,  4.709.334 ,  6.374.962 ,  4.495.912 ,  2.683.392 ,  7.229.504 ,  8.276.100 ,  14.215.861 ,  1.933.270 ,  15.126.097 ,  18.024.754 ,  15.530.068 ,  19.854.886 ,  7.129.781 ,  11.393.124 ,  24.317.330 ,  24.699.862 ,  22.149.174 ,  32.008.156 ,  48.139.038 ,  47.277.603 ,  46.264.311 ,  31.784.540 ,  34.011.071 ,  64.972.568 ,"30,7"
Maio,  -   ,  4.661.566 ,  6.914.715 ,  5.871.002 ,  8.308.853 ,  8.048.261 ,  7.011.570 ,  11.028.918 ,  21.097.383 ,  16.394.302 ,  23.201.126 ,  24.855.461 ,  16.162.239 ,  12.227.055 ,  15.734.426 ,  23.477.193 ,  16.441.885 ,  24.709.769 ,  26.482.366 ,  33.814.875 ,  59.016.909 ,  36.258.171 ,  31.683.174 ,  50.852.842 ,  64.015.888 ,"29,6"
Junho,  416.583 ,  4.442.071 ,  2.486.357 ,  6.108.325 ,  9.545.163 ,  590.414 ,  7.776.862 ,  9.277.437 ,  16.252.975 ,  12.794.572 ,  17.534.775 ,  17.485.611 ,  10.486.975 ,  8.133.372 ,  15.251.879 ,  27.766.956 ,  25.972.483 ,  43.361.430 ,  20.010.847 ,  25.332.394 ,  38.940.555 ,  58.137.016 ,  40.546.041 ,  40.845.375 ,  49.301.807 ,"28,3"
Julho,  2.218.328 ,  3.876.296 ,  15.983.566 ,  6.666.383 ,  7.682.153 ,  22.216.734 ,  14.936.091 ,  12.360.580 ,  12.438.274 ,  23.784.340 ,  10.525.295 ,  19.855.760 ,  14.686.309 ,  8.132.123 ,  27.400.241 ,  19.681.517 ,  22.863.435 ,  37.674.833 ,  56.687.864 ,  26.602.366 ,  55.711.332 ,  30.082.492 ,  34.070.967 ,  53.063.795 ,  52.305.232 ,"23,3"
Agosto,  -   ,  2.464.144 ,  8.015.182 ,  4.800.922 ,  10.431.711 ,  13.799.407 ,  11.992.446 ,  14.346.833 ,  16.913.073 ,  24.022.756 ,  21.046.024 ,  23.205.133 ,  25.171.042 ,  11.819.892 ,  16.239.448 ,  25.366.255 ,  28.009.468 ,  32.034.885 ,  29.590.867 ,  33.405.120 ,  37.585.175 ,  48.475.665 ,  41.677.560 ,  54.454.749 ,  50.561.759 ,"18,9"
Setembro,  177 ,  1.315.663 ,  7.280.458 ,  8.699.798 ,  1.938.768 ,  10.799.857 ,  16.686.439 ,  11.920.787 ,  11.252.009 ,  11.207.063 ,  18.481.142 ,  15.093.802 ,  15.475.867 ,  16.170.074 ,  15.092.558 ,  20.330.435 ,  28.828.622 ,  27.763.999 ,  39.838.403 ,  38.730.925 ,  35.917.991 ,  37.701.577 ,  40.915.200 ,  54.931.480 ,  49.873.518 ,"15,3"
Outubro,  -   ,  2.472.527 ,  10.084.492 ,  8.865.850 ,  5.709.522 ,  3.731.420 ,  10.722.495 ,  14.911.868 ,  14.918.178 ,  18.889.846 ,  10.202.177 ,  17.297.770 ,  8.075.380 ,  10.363.752 ,  15.703.810 ,  24.879.529 ,  27.899.461 ,  26.598.539 ,  47.368.332 ,  36.867.621 ,  32.668.698 ,  41.813.239 ,  37.794.567 ,  50.922.126 ,,
Novembro,  1.542.152 ,  1.761.128 ,  5.186.835 ,  7.093.622 ,  5.097.626 ,  9.837.117 ,  11.873.796 ,  10.272.561 ,  17.977.748 ,  16.370.090 ,  18.421.398 ,  15.099.595 ,  15.449.504 ,  16.882.805 ,  18.417.442 ,  17.357.856 ,  27.188.934 ,  17.688.778 ,  32.002.487 ,  26.366.640 ,  37.695.144 ,  25.899.674 ,  58.679.532 ,  55.013.330 ,,
