ano,reserva_1p,reserva_total,exportacao,consumo
2023,15894000000,18222300000,581875783,733979799.3946
2024,14578144417.6054,16906444417.6054,581875783,733979799.3946
2025,13262288835.2108,15590588835.2108,581875783,733979799.3946
2026,11946433252.8162,14274733252.8162,581875783,733979799.3946
2027,10630577670.4216,12958877670.4216,581875783,733979799.3946
2028,9314722088.027,11643022088.027,581875783,733979799.3946
2029,7998866505.6324005,10327166505.6324,581875783,733979799.3946
2030,6683010923.237801,9011310923.2378,581875783,733979799.3946
2031,5367155340.843201,7695455340.843201,581875783,733979799.3946
2032,4051299758.448601,6379599758.448601,581875783,733979799.3946
2033,2735444176.054001,5063744176.054001,581875783,733979799.3946
2034,1419588593.659401,3747888593.659401,581875783,733979799.3946
2035,103733011.26480103,2432033011.264801,581875783,733979799.3946
2036,-1212122571.129799,1116177428.870201,581875783,733979799.3946
2037,-2527978153.524399,-199678153.5243988,581875783,733979799.3946
2038,-3843833735.9189987,-1515533735.9189987,581875783,733979799.3946
2039,-5159689318.313599,-2831389318.3135986,581875783,733979799.3946
2040,-6475544900.708199,-4147244900.7081985,581875783,733979799.3946
2041,-7791400483.102798,-5463100483.102798,581875783,733979799.3946
2042,-9107256065.497398,-6778956065.497398,581875783,733979799.3946
2043,-10423111647.891998,-8094811647.891998,581875783,733979799.3946
2044,-11738967230.286598,-9410667230.286598,581875783,733979799.3946
2045,-13054822812.681198,-10726522812.681198,581875783,733979799.3946
2046,-14370678395.075798,-12042378395.075798,581875783,733979799.3946
2047,-15686533977.470398,-13358233977.470398,581875783,733979799.3946
2048,-17002389559.864998,-14674089559.864998,581875783,733979799.3946
2049,-18318245142.259598,-15989945142.259598,581875783,733979799.3946
2050,-19634100724.654198,-17305800724.654198,581875783,733979799.3946
