ano,consumo,exportacao,reserva_1p,reserva_total
2023,1186250000,581875783,15894000000,18222300000
2024,1211800000,533581357.08178747,14125874217,16454174217
2025,1215450000,559019758.3824911,12380492859.918213,14708792859.918213
2026,1222750000,584458159.6831948,10606023101.53572,12934323101.53572
2027,1222750000,609896560.9838984,8798814941.852526,11127114941.852526
2028,1226400000,635334962.2846022,6966168380.868628,9294468380.868628
2029,1233700000,660773363.5853058,5104433418.584026,7432733418.584026
2030,1237350000,686211764.8860095,3209960054.99872,5538260054.99872
2031,1246344642.857144,711650166.1867131,1286398290.112711,3614698290.112711
2032,1252297619.0476205,737088567.4874167,-671596518.9311466,1656703481.0688534
2033,1258250595.2380967,762526968.7881205,-2660982705.4661827,-332682705.4661827
2034,1264203571.428573,787965370.0888242,-4681760269.492401,-2353460269.492401
2035,1270156547.619049,813403771.3895278,-6733929211.009796,-4405629211.009796
2036,1276109523.8095253,838842172.6902314,-8817489530.018372,-6489189530.018372
2037,1282062500.0000014,864280573.9909352,-10932441226.518127,-8604141226.518127
2038,1288015476.1904776,889718975.2916389,-13078784300.509064,-10750484300.509064
2039,1293968452.3809538,915157376.5923425,-15256518751.99118,-12928218751.99118
2040,1299921428.57143,940595777.8930461,-17465644580.964478,-15137344580.964478
2041,1305874404.7619061,966034179.1937498,-19706161787.428955,-17377861787.428955
2042,1311827380.9523823,991472580.4944535,-21978070371.384613,-19649770371.384613
2043,1317780357.1428587,1016910981.7951572,-24281370332.83145,-21953070332.83145
2044,1323733333.333335,1042349383.0958608,-26616061671.76947,-24287761671.76947
2045,1329686309.523811,1067787784.3965645,-28982144388.19867,-26653844388.19867
2046,1335639285.7142873,1093226185.6972682,-31379618482.11905,-29051318482.11905
2047,1341592261.9047635,1118664586.9979718,-33808483953.5306,-31480183953.5306
2048,1347545238.0952396,1144102988.2986755,-36268740802.433334,-33940440802.433334
2049,1353498214.2857158,1169541389.5993793,-38760389028.82725,-36432089028.82725
2050,1359451190.476192,1194979790.9000828,-41283428632.71234,-38955128632.71234
