ano,consumo,reserva_1p,reserva_total
2023,1186250000,15894000000,18222300000
2024,1211800000,14707750000,17036050000
2025,1215450000,13495950000,15824250000
2026,1222750000,12280500000,14608800000
2027,1222750000,11057750000,13386050000
2028,1226400000,9835000000,12163300000
2029,1233700000,8608600000,10936900000
2030,1237350000,7374900000,9703200000
2031,1246344642.857144,6137550000,8465850000
2032,1252297619.0476205,4891205357.142857,7219505357.142857
2033,1258250595.2380967,3638907738.095236,5967207738.095236
2034,1264203571.428573,2380657142.8571396,4708957142.85714
2035,1270156547.619049,1116453571.428566,3444753571.428566
2036,1276109523.8095253,-153702976.1904831,2174597023.809517
2037,1282062500.0000014,-1429812500.0000076,898487499.9999924
2038,1288015476.1904776,-2711875000.0000076,-383575000.0000076
2039,1293968452.3809538,-3999890476.190487,-1671590476.190487
2040,1299921428.57143,-5293858928.571442,-2965558928.5714417
2041,1305874404.7619061,-6593780357.142872,-4265480357.142872
2042,1311827380.9523823,-7899654761.904778,-5571354761.904778
2043,1317780357.1428587,-9211482142.857159,-6883182142.857159
2044,1323733333.333335,-10529262500.00002,-8200962500.000019
2045,1329686309.523811,-11852995833.333355,-9524695833.333355
2046,1335639285.7142873,-13182682142.857166,-10854382142.857166
2047,1341592261.9047635,-14518321428.571453,-12190021428.571453
2048,1347545238.0952396,-15859913690.476215,-13531613690.476215
2049,1353498214.2857158,-17207458928.571457,-14879158928.571457
2050,1359451190.476192,-18560957142.85717,-16232657142.85717
