ano,reserva_1p,reserva_total,consumo
2023,15894000000,18222300000,733979799.3946
2024,15160020200.6054,17488320200.6054,733979799.3946
2025,14426040401.2108,16754340401.2108,733979799.3946
2026,13692060601.8162,16020360601.8162,733979799.3946
2027,12958080802.4216,15286380802.4216,733979799.3946
2028,12224101003.027,14552401003.027,733979799.3946
2029,11490121203.6324,13818421203.6324,733979799.3946
2030,10756141404.2378,13084441404.2378,733979799.3946
2031,10022161604.8432,12350461604.8432,733979799.3946
2032,9288181805.4486,11616481805.4486,733979799.3946
2033,8554202006.054,10882502006.054,733979799.3946
2034,7820222206.6594,10148522206.6594,733979799.3946
2035,7086242407.264799,9414542407.2648,733979799.3946
2036,6352262607.870199,8680562607.8702,733979799.3946
2037,5618282808.475599,7946582808.475599,733979799.3946
2038,4884303009.080999,7212603009.080999,733979799.3946
2039,4150323209.6863995,6478623209.686399,733979799.3946
2040,3416343410.2917995,5744643410.2918,733979799.3946
2041,2682363610.8971996,5010663610.8972,733979799.3946
2042,1948383811.5025997,4276683811.5025997,733979799.3946
2043,1214404012.1079998,3542704012.108,733979799.3946
2044,480424212.7133999,2808724212.7134,733979799.3946
2045,-253555586.68120003,2074744413.3188,733979799.3946
2046,-987535386.0758,1340764613.9242,733979799.3946
2047,-1721515185.4704018,606784814.5295982,733979799.3946
2048,-2455494984.8650017,-127194984.86500168,733979799.3946
2049,-3189474784.2596016,-861174784.2596016,733979799.3946
2050,-3923454583.6542015,-1595154583.6542015,733979799.3946
