ano,consumo,reserva_1p,reserva_total
2023,733979799,15894000000,18222300000
2024,716777147,15160020201,17488320201
2025,699574496,14443243054,16771543054
2026,682371844,13743668558,16071968558
2027,647966541,13061296714,15389596714
2028,630763890,12413330173,14741630173
2029,613561238,11782566283,14110866283
2030,596358587,11169005045,13497305045
2031,579155935,10572646458,12900946458
2032,561953284,9993490523,12321790523
2033,544750632,9431537239,11759837239
2034,510345329,8886786607,11215086607
2035,493142677,8376441278,10704741278
2036,475940026,7883298601,10211598601
2037,441534723,7407358575,9735658575
2038,424332071,6965823852,9294123852
2039,407129420,6541491781,8869791781
2040,372724117,6134362361,8462662361
2041,355521465,5761638244,8089938244
2042,338318814,5406116779,7734416779
2043,321116162,5067797965,7396097965
2044,303913511,4746681803,7074981803
2045,286710859,4442768292,6771068292
2046,269508207,4156057433,6484357433
2047,235102904,3886549226,6214849226
2048,217900253,3651446322,5979746322
2049,200697601,3433546069,5761846069
2050,183494950,3232848468,5561148468
