ano,name,value
2023,consumo,733979799
2023,exportacao,581875783
2023,reserva_1p,15894000000
2023,reserva_total,18222300000
2024,consumo,716777147
2024,exportacao,581875783
2024,reserva_1p,14578144418
2024,reserva_total,16906444418
2025,consumo,699574496
2025,exportacao,581875783
2025,reserva_1p,13279491488
2025,reserva_total,15607791488
2026,consumo,682371844
2026,exportacao,581875783
2026,reserva_1p,11998041209
2026,reserva_total,14326341209
2027,consumo,647966541
2027,exportacao,581875783
2027,reserva_1p,10733793582
2027,reserva_total,13062093582
2028,consumo,630763890
2028,exportacao,581875783
2028,reserva_1p,9503951258
2028,reserva_total,11832251258
2029,consumo,613561238
2029,exportacao,581875783
2029,reserva_1p,8291311585
2029,reserva_total,10619611585
2030,consumo,596358587
2030,exportacao,581875783
2030,reserva_1p,7095874564
2030,reserva_total,9424174564
2031,consumo,579155935
2031,exportacao,581875783
2031,reserva_1p,5917640194
2031,reserva_total,8245940194
2032,consumo,561953284
2032,exportacao,581875783
2032,reserva_1p,4756608476
2032,reserva_total,7084908476
2033,consumo,544750632
2033,exportacao,581875783
2033,reserva_1p,3612779409
2033,reserva_total,5941079409
2034,consumo,510345329
2034,exportacao,581875783
2034,reserva_1p,2486152994
2034,reserva_total,4814452994
2035,consumo,493142677
2035,exportacao,581875783
2035,reserva_1p,1393931882
2035,reserva_total,3722231882
2036,consumo,475940026
2036,exportacao,581875783
2036,reserva_1p,318913422
2036,reserva_total,2647213422
2037,consumo,441534723
2037,exportacao,581875783
2037,reserva_1p,-738902387
2037,reserva_total,1589397613
2038,consumo,424332071
2038,exportacao,581875783
2038,reserva_1p,-1762312893
2038,reserva_total,565987107
2039,consumo,407129420
2039,exportacao,581875783
2039,reserva_1p,-2768520747
2039,reserva_total,-440220747
2040,consumo,372724117
2040,exportacao,581875783
2040,reserva_1p,-3757525950
2040,reserva_total,-1429225950
2041,consumo,355521465
2041,exportacao,581875783
2041,reserva_1p,-4712125850
2041,reserva_total,-2383825850
2042,consumo,338318814
2042,exportacao,581875783
2042,reserva_1p,-5649523098
2042,reserva_total,-3321223098
2043,consumo,321116162
2043,exportacao,581875783
2043,reserva_1p,-6569717695
2043,reserva_total,-4241417695
2044,consumo,303913511
2044,exportacao,581875783
2044,reserva_1p,-7472709640
2044,reserva_total,-5144409640
2045,consumo,286710859
2045,exportacao,581875783
2045,reserva_1p,-8358498934
2045,reserva_total,-6030198934
2046,consumo,269508207
2046,exportacao,581875783
2046,reserva_1p,-9227085576
2046,reserva_total,-6898785576
2047,consumo,235102904
2047,exportacao,581875783
2047,reserva_1p,-10078469566
2047,reserva_total,-7750169566
2048,consumo,217900253
2048,exportacao,581875783
2048,reserva_1p,-10895448253
2048,reserva_total,-8567148253
2049,consumo,200697601
2049,exportacao,581875783
2049,reserva_1p,-11695224289
2049,reserva_total,-9366924289
2050,consumo,183494950
2050,exportacao,581875783
2050,reserva_1p,-12477797673
2050,reserva_total,-10149497673
