ano,value_tj,bbl
2000,40320,6590537.856000001
2001,239450,39139491.31
2002,507926,83023450.6708
2003,523648,85593302.75840001
2004,497684,81349336.3672
2005,591848,96740988.31840001
2006,794932,129936246.0056
2007,913245,149275192.071
2008,936679,153105615.28820002
2009,1135369,185582648.1902
2010,1365481,223195789.2398
2011,1307158,213662556.6164
2012,1153292,188512266.4936
2013,858734,140365052.95720002
2014,1122073,183409339.8734
2015,1593067,260396040.9386
2016,1834307,299828118.13060004
2017,2255898,368739612.30840003
2018,2333157,381368043.9606
2019,2658916,434615241.9128
2020,2967791,485102652.13780004
2021,2709776,442928603.90080005
2022,2913135,476168811.933
2023,3468388,566928135.2504001
