ano,total_bbl
1990,386936.64994950267
1991,374588.367994583
1992,371479.3932909824
1993,389178.8827584854
1994,407519.38553992624
1995,439778.88019150466
1996,483813.74864051735
1997,508641.3311051961
1998,539691.4570472682
1999,541175.2100516486
2000,535980.9015268068
2001,541695.4998353471
2002,532777.505506806
2003,506260.8202748224
2004,527758.3536366598
2005,528960.48903305165
2006,531170.2536010613
2007,556138.00005149
2008,582955.3275628346
2009,580750.1958299658
2010,647080.1374854377
2011,700273.4325735874
2012,753761.4517392212
2013,789855.192599738
2014,827667.8856305571
2015,779645.8361155288
2016,760160.1488281213
2017,770162.4375771019
2018,734473.1799800615
2019,739626.1521000238
2020,707674.0942945698
2021,771851.0385360282
2022,801937.5820393771
2023,839469.6956734103
2024,628352.941578862
