t,id_,Nombre / Name,Departamento / State,Municipio / Town,,Territorio / Territory,Tipo territorio / Territory type,Grupos étnicos / Ethnic groups,Estado / Status (Estándar),,,Duración (años) / Length (years),Periodo de acreditación / Credited period,Área proyecto / Project area (hectáreas),id_empresa_responsavel,Empresa Desarrolladora / Developing company,Estándar de certificación / Certification standard,Metodología / Methodology,Verificador/Verifying company,Año validación / Year validated,URL PDD,URL OVV informe/report,Website certificador,Website proyecto,Perfil / Profile,Perfil corregido,Georreferencia de los limites del proyecto,Latitude de la centroid del proyecto,Longitude de la centroid del proyecto,Amazonia,País,Bioma,Fuente 1 / Source 1,Fuente 2 / Source 2,Fuente 3 / Source 3,Fuente 4 / Source 4,Fuente 5 / Source 5,Fuente 6 / Source 6,Fuente 6 / Source 7,notas,notas,notas,notas,
id_carbono,id_projeto,nome_projeto,departamento,municipio,uf,territorio,tipo_territorio,grupos_etnicos,status,tipo_posse,cod_posse,duracao_ano,periodo_projeto,area_projeto_hectares,id_empresa*,empresa_responsavel_projeto,empresa_certificadora,metodologia,empresa_auditora,ano_validacao,url_pdd,url_ovv,website_certificador,website_projeto,perfil,,georregerenci,latitude,longitude,amazonia,pais,bioma,fonte1,fonte2,fonte3,fonte4,fonte5,Fuente 6 / Source 7,fonte7,notas1,notas2,notas3,notas4,
BR4886VER,4886,Projeto REDD+ TATUY,Mato Grosso,"Porto dos Gaúchos, Tabaporã",MT,Privado ,,,Registration requested,,,30,2021-2051,22724,12.028.178/0001-20,Carbonext Tecnologia em Soluções Ambientais LTDA,Verra,VM0015,Tüv Süd America Inc (ex Ruby Canyon Engineering Inc.),N/A,https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=104314&IDKEY=mq934lkmsad39asjdkfj90qlkalsdkngaf98ulkandDfdvDdfhD143849006,,https://registry.verra.org/app/projectDetail/VCS/4886,,"O objetivo é evitar o desmatamento não planejado em virtude da expansão das atividades agropecuárias. O projeto prevê monitoramento e combate a incêndios, vigilância e sensibilização ambiental junto às comunidades.","Proyecto que gira en torno a cuatro propiedades privadas en Mato Grosso, agrupadas en las haciendas Perdizes l y Perdizes II. El documento de diseño de proyecto (PDD) habla de ""comunidades"" para referirse a una ""comunidad interna"" que define como ""los trabajadores de la hacienda"" y a una ""comunidad externa"" llamada Americana do Norte y asentada en la zona de amortiguamiento del proyecto (buffer zone). Es desarrollado por las empresas propietarias de los predios, SLC Perdizes Empreendimentos Agrícolas Ltda y SLC Landco Empreendimentos Agrícolas S.A., en alianza con la desarrolladora Carbonext Tecnologia em Soluções Ambientais Ltda, una de las mayores de Brasil. Aparecía en la plataforma de Verra como habiendo ""solicitado registro"" a mayo de 2025. Al menos tres proyectos de Carbonext han estado envueltos en controversias: una investigación de Mongabay, en alianza con el Center for Climate Crime Analysis (CCCA), mostró que los proyectos Unitor y Fortaleza Ituxi ligados al empresario Ricardo Stoppe Jr. pueden haber sido usados para blanquear madera procedente de zonas deforestadas ilegalmente. La Policía Federal lanzó un operativo contra los promotores de esos dos proyectos y otro llamado Evergreen, señalando por presuntos vínculos con un esquema de acaparamiento de tierras y tala ilegal de madera, y la certificadora Verra los suspendió ""hasta que se hayan resuelto todos los problemas o incertidumbres detectados"".",https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=104303&IDKEY=d097809fdslkjf09rndasfufd098asodfjlkduf09nm23mrn87d143833837,,,Sim,Brasil,Amazonia,Verra,Cruzagrafos,Receita Federal,Google Earth,https://www.linkedin.com/company/ruby-canyon-engineering-inc,https://news.mongabay.com/2024/05/top-brands-buy-amazon-carbon-credits-from-suspected-timber-laundering-scam/,https://news.mongabay.com/2024/06/verra-suspends-carbon-credit-projects-following-police-raid-in-brazil/,https://news.mongabay.com/2024/06/brazilian-investigators-raid-amazon-carbon-credit-projects-exposed-by-mongabay/,,,,
BR4886VER,4886,Projeto REDD+ TATUY,Mato Grosso,"Porto dos Gaúchos, Tabaporã",MT,Privado ,,,Registration requested,,,30,2021-2051,22724,19.763.569/0001-37,SLC Perdizes Empreendimentos Agricolas LTDA,Verra,VM0015,Tüv Süd America Inc (ex Ruby Canyon Engineering Inc.),N/A,https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=104314&IDKEY=mq934lkmsad39asjdkfj90qlkalsdkngaf98ulkandDfdvDdfhD143849006,,https://registry.verra.org/app/projectDetail/VCS/4886,,"O objetivo é evitar o desmatamento não planejado em virtude da expansão das atividades agropecuárias. O projeto prevê monitoramento e combate a incêndios, vigilância e sensibilização ambiental junto às comunidades.","Proyecto que gira en torno a cuatro propiedades privadas en Mato Grosso, agrupadas en las haciendas Perdizes l y Perdizes II. El documento de diseño de proyecto (PDD) habla de ""comunidades"" para referirse a una ""comunidad interna"" que define como ""los trabajadores de la hacienda"" y a una ""comunidad externa"" llamada Americana do Norte y asentada en la zona de amortiguamiento del proyecto (buffer zone). Es desarrollado por las empresas propietarias de los predios, SLC Perdizes Empreendimentos Agrícolas Ltda y SLC Landco Empreendimentos Agrícolas S.A., en alianza con la desarrolladora Carbonext Tecnologia em Soluções Ambientais Ltda, una de las mayores de Brasil. Aparecía en la plataforma de Verra como habiendo ""solicitado registro"" a mayo de 2025. Al menos tres proyectos de Carbonext han estado envueltos en controversias: una investigación de Mongabay, en alianza con el Center for Climate Crime Analysis (CCCA), mostró que los proyectos Unitor y Fortaleza Ituxi ligados al empresario Ricardo Stoppe Jr. pueden haber sido usados para blanquear madera procedente de zonas deforestadas ilegalmente. La Policía Federal lanzó un operativo contra los promotores de esos dos proyectos y otro llamado Evergreen, señalando por presuntos vínculos con un esquema de acaparamiento de tierras y tala ilegal de madera, y la certificadora Verra los suspendió ""hasta que se hayan resuelto todos los problemas o incertidumbres detectados"".",https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=104303&IDKEY=d097809fdslkjf09rndasfufd098asodfjlkduf09nm23mrn87d143833837,,,Sim,Brasil,Amazonia,Verra,Cruzagrafos,Receita Federal,Google Earth,https://www.linkedin.com/company/ruby-canyon-engineering-inc,https://news.mongabay.com/2024/05/top-brands-buy-amazon-carbon-credits-from-suspected-timber-laundering-scam/,https://news.mongabay.com/2024/06/verra-suspends-carbon-credit-projects-following-police-raid-in-brazil/,https://news.mongabay.com/2024/06/brazilian-investigators-raid-amazon-carbon-credit-projects-exposed-by-mongabay/,,,,
BR4886VER,4886,Projeto REDD+ TATUY,Mato Grosso,"Porto dos Gaúchos, Tabaporã",MT,Privado ,,,Registration requested,,,30,2021-2051,22724,13.046.954/0001-87,SLC Landco Empreendimentos Agricolas S.A.,Verra,VM0015,Tüv Süd America Inc (ex Ruby Canyon Engineering Inc.),N/A,https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=104314&IDKEY=mq934lkmsad39asjdkfj90qlkalsdkngaf98ulkandDfdvDdfhD143849006,,https://registry.verra.org/app/projectDetail/VCS/4886,,"O objetivo é evitar o desmatamento não planejado em virtude da expansão das atividades agropecuárias. O projeto prevê monitoramento e combate a incêndios, vigilância e sensibilização ambiental junto às comunidades.","Proyecto que gira en torno a cuatro propiedades privadas en Mato Grosso, agrupadas en las haciendas Perdizes l y Perdizes II. El documento de diseño de proyecto (PDD) habla de ""comunidades"" para referirse a una ""comunidad interna"" que define como ""los trabajadores de la hacienda"" y a una ""comunidad externa"" llamada Americana do Norte y asentada en la zona de amortiguamiento del proyecto (buffer zone). Es desarrollado por las empresas propietarias de los predios, SLC Perdizes Empreendimentos Agrícolas Ltda y SLC Landco Empreendimentos Agrícolas S.A., en alianza con la desarrolladora Carbonext Tecnologia em Soluções Ambientais Ltda, una de las mayores de Brasil. Aparecía en la plataforma de Verra como habiendo ""solicitado registro"" a mayo de 2025. Al menos tres proyectos de Carbonext han estado envueltos en controversias: una investigación de Mongabay, en alianza con el Center for Climate Crime Analysis (CCCA), mostró que los proyectos Unitor y Fortaleza Ituxi ligados al empresario Ricardo Stoppe Jr. pueden haber sido usados para blanquear madera procedente de zonas deforestadas ilegalmente. La Policía Federal lanzó un operativo contra los promotores de esos dos proyectos y otro llamado Evergreen, señalando por presuntos vínculos con un esquema de acaparamiento de tierras y tala ilegal de madera, y la certificadora Verra los suspendió ""hasta que se hayan resuelto todos los problemas o incertidumbres detectados"".",https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=104303&IDKEY=d097809fdslkjf09rndasfufd098asodfjlkduf09nm23mrn87d143833837,,,Sim,Brasil,Amazonia,Verra,Cruzagrafos,Receita Federal,Google Earth,https://www.linkedin.com/company/ruby-canyon-engineering-inc,https://news.mongabay.com/2024/05/top-brands-buy-amazon-carbon-credits-from-suspected-timber-laundering-scam/,https://news.mongabay.com/2024/06/verra-suspends-carbon-credit-projects-following-police-raid-in-brazil/,https://news.mongabay.com/2024/06/brazilian-investigators-raid-amazon-carbon-credit-projects-exposed-by-mongabay/,,,,
BR4876VER,4876,NAMI REDD+ Projec,Amazonas,Pauini,AM,Privado ,,,Withdrawn,,,30,2021-2051,83051,12.028.178/0001-20,Carbonext Tecnologia em Soluções Ambientais LTDA,Verra,VM0007,Não disponível,N/A,https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=105444&IDKEY=l98klasmf8jflkasf8098afnasfkj98f0a9sfsakjflsakjf8dk145407276,,Verra Search Page,,O projeto cita o cenário da extração  de madeira e a proximidade com municípios que concetram rebanhos bovinos para justificar a sua aplicação. Foram estabelecidos acordos de conservação com o proprietário da terra para preservar a vegetação nativa e a realização de atividades complementares para evitar o desmatamento.,"Proyecto que gira en torno a la hacienda privada Jataí en Amazonas. Es desarrollado por el propietario del predio, Marcelo Corsini Afonso y su empresa Pacer Inovação Ltda, en alianza con la desarrolladora Carbonext Tecnologia em Soluções Ambientais Ltda, una de las mayores de Brasil. Aparecía en la plataforma de Verra como habiendo sido ""retirado"" a mayo de 2025. Al menos tres proyectos de Carbonext han estado envueltos en controversias: una investigación de Mongabay, en alianza con el Center for Climate Crime Analysis (CCCA), mostró que los proyectos Unitor y Fortaleza Ituxi ligados al empresario Ricardo Stoppe Jr. pueden haber sido usados para blanquear madera procedente de zonas deforestadas ilegalmente. La Policía Federal lanzó un operativo contra los promotores de esos dos proyectos y otro llamado Evergreen, señalando por presuntos vínculos con un esquema de acaparamiento de tierras y tala ilegal de madera, y la certificadora Verra los suspendió ""hasta que se hayan resuelto todos los problemas o incertidumbres detectados"".",https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=104071&IDKEY=lq934lkmsad39asjdkfj90qlkalsdkngaf98ulkandDfdvDdfhd143513909,,,Sim,Brasil,Amazonia,Verra,Cruzagrafos,Receita Federal,Google Earth,,https://news.mongabay.com/2024/05/top-brands-buy-amazon-carbon-credits-from-suspected-timber-laundering-scam/,https://news.mongabay.com/2024/06/verra-suspends-carbon-credit-projects-following-police-raid-in-brazil/,https://news.mongabay.com/2024/06/brazilian-investigators-raid-amazon-carbon-credit-projects-exposed-by-mongabay/,,,,
BR4876VER,4876,NAMI REDD+ Projec,Amazonas,Pauini,AM,Privado ,,,Withdrawn,,,30,2021-2051,83051,19.666.030/0001-60,Pacer Inovação Ltda.,Verra,VM0007,Não disponível,N/A,https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=105444&IDKEY=l98klasmf8jflkasf8098afnasfkj98f0a9sfsakjflsakjf8dk145407276,,Verra Search Page,,O projeto cita o cenário da extração  de madeira e a proximidade com municípios que concetram rebanhos bovinos para justificar a sua aplicação. Foram estabelecidos acordos de conservação com o proprietário da terra para preservar a vegetação nativa e a realização de atividades complementares para evitar o desmatamento.,"Proyecto que gira en torno a la hacienda privada Jataí en Amazonas. Es desarrollado por el propietario del predio, Marcelo Corsini Afonso y su empresa Pacer Inovação Ltda, en alianza con la desarrolladora Carbonext Tecnologia em Soluções Ambientais Ltda, una de las mayores de Brasil. Aparecía en la plataforma de Verra como habiendo sido ""retirado"" a mayo de 2025. Al menos tres proyectos de Carbonext han estado envueltos en controversias: una investigación de Mongabay, en alianza con el Center for Climate Crime Analysis (CCCA), mostró que los proyectos Unitor y Fortaleza Ituxi ligados al empresario Ricardo Stoppe Jr. pueden haber sido usados para blanquear madera procedente de zonas deforestadas ilegalmente. La Policía Federal lanzó un operativo contra los promotores de esos dos proyectos y otro llamado Evergreen, señalando por presuntos vínculos con un esquema de acaparamiento de tierras y tala ilegal de madera, y la certificadora Verra los suspendió ""hasta que se hayan resuelto todos los problemas o incertidumbres detectados"".",https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=104071&IDKEY=lq934lkmsad39asjdkfj90qlkalsdkngaf98ulkandDfdvDdfhd143513909,,,Sim,Brasil,Amazonia,Verra,Cruzagrafos,Receita Federal,Google Earth,,https://news.mongabay.com/2024/05/top-brands-buy-amazon-carbon-credits-from-suspected-timber-laundering-scam/,https://news.mongabay.com/2024/06/verra-suspends-carbon-credit-projects-following-police-raid-in-brazil/,https://news.mongabay.com/2024/06/brazilian-investigators-raid-amazon-carbon-credit-projects-exposed-by-mongabay/,,,,
BR4865VER,4865,Oga REDD+ Project,Rondônia,Machadinho D’Oeste,RO,Privado ,,,Registration requested,CAR,,30,2021-2051,8348,12.028.178/0001-20,Carbonext Tecnologia em Soluções Ambientais LTDA,Verra,"VM0007,VM0015",Não disponível,N/A,https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=104545&IDKEY=8kjalskjf098234kj28098sfkjlf098098kl32lasjdflkj9090144167555,,Verra Search Page,,"Família Matana alega que suas terras foram invadidas e que precisaram acionar a justiça para evitar novas invasões. Os proponentes renunciarão ao direito de supressão legal para proteger a floresta em pé, evitando assim uma atividade de desmatamento planejada economicamente impulsionada. Com a aprovação do projeto, serão implementadas medidas/tecnologias como treinamento de brigadas de incêndio (comunidade interna e externa), reforço do monitoramento terrestre e remoto, cursos de capacitação para qualificação dos colaboradores e vizinhos do projeto.","Proyecto que gira en torno a la hacienda privada Florestal Machadinho, también conocida como Lote 11, en Rondônia. Es desarrollado por el propietario del predio, la empresa Marcos Antônio Matana – EPP (antes conocida como Lammy Industrial Madeireira da Amazonia Ltda EPP), en alianza con la desarrolladora Carbonext Tecnologia em Soluções Ambientais Ltda, una de las mayores de Brasil. Un tercero llamado Pedro Cezar Matana, a quien el documento de diseño de proyecto describe como arrendatario de parte del predio ""para la aplicación del Plan de Manejo Forestal Sostenible (PMFS)"", es también listado como proponente. El PDD dice también que una parte del predio fue invadido previo a 2021. Aparecía en la plataforma de Verra como habiendo ""solicitado registro"" a mayo de 2025.  Al menos tres proyectos de Carbonext han estado envueltos en controversias: una investigación de Mongabay, en alianza con el Center for Climate Crime Analysis (CCCA), mostró que los proyectos Unitor y Fortaleza Ituxi ligados al empresario Ricardo Stoppe Jr. pueden haber sido usados para blanquear madera procedente de zonas deforestadas ilegalmente. La Policía Federal lanzó un operativo contra los promotores de esos dos proyectos y otro llamado Evergreen, señalando por presuntos vínculos con un esquema de acaparamiento de tierras y tala ilegal de madera, y la certificadora Verra los suspendió ""hasta que se hayan resuelto todos los problemas o incertidumbres detectados"".",https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=103797&IDKEY=d903q4jsafkasjfu90amnmasdfkaidflnmdf9348r09dmfasdfu143136063,9º25’13.4”,61º44´49.4”,Sim,Brasil,Amazonia,Verra,Cruzagrafos,Receita Federal,Google Earth,,https://news.mongabay.com/2024/05/top-brands-buy-amazon-carbon-credits-from-suspected-timber-laundering-scam/,https://news.mongabay.com/2024/06/verra-suspends-carbon-credit-projects-following-police-raid-in-brazil/,https://news.mongabay.com/2024/06/brazilian-investigators-raid-amazon-carbon-credit-projects-exposed-by-mongabay/,,,,
BR4865VER,4865,Oga REDD+ Project,Rondônia,Machadinho D’Oeste,RO,Privado ,,,Registration requested,CAR,,30,2021-2051,8348,04.129.037/0001-75,Marcos Antônio Matana – EPP,Verra,"VM0007,VM0015",Não disponível,N/A,https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=104545&IDKEY=8kjalskjf098234kj28098sfkjlf098098kl32lasjdflkj9090144167555,,Verra Search Page,,"Família Matana alega que suas terras foram invadidas e que precisaram acionar a justiça para evitar novas invasões. Os proponentes renunciarão ao direito de supressão legal para proteger a floresta em pé, evitando assim uma atividade de desmatamento planejada economicamente impulsionada. Com a aprovação do projeto, serão implementadas medidas/tecnologias como treinamento de brigadas de incêndio (comunidade interna e externa), reforço do monitoramento terrestre e remoto, cursos de capacitação para qualificação dos colaboradores e vizinhos do projeto.","Proyecto que gira en torno a la hacienda privada Florestal Machadinho, también conocida como Lote 11, en Rondônia. Es desarrollado por el propietario del predio, la empresa Marcos Antônio Matana – EPP (antes conocida como Lammy Industrial Madeireira da Amazonia Ltda EPP), en alianza con la desarrolladora Carbonext Tecnologia em Soluções Ambientais Ltda, una de las mayores de Brasil. Un tercero llamado Pedro Cezar Matana, a quien el documento de diseño de proyecto describe como arrendatario de parte del predio ""para la aplicación del Plan de Manejo Forestal Sostenible (PMFS)"", es también listado como proponente. El PDD dice también que una parte del predio fue invadido previo a 2021. Aparecía en la plataforma de Verra como habiendo ""solicitado registro"" a mayo de 2025.  Al menos tres proyectos de Carbonext han estado envueltos en controversias: una investigación de Mongabay, en alianza con el Center for Climate Crime Analysis (CCCA), mostró que los proyectos Unitor y Fortaleza Ituxi ligados al empresario Ricardo Stoppe Jr. pueden haber sido usados para blanquear madera procedente de zonas deforestadas ilegalmente. La Policía Federal lanzó un operativo contra los promotores de esos dos proyectos y otro llamado Evergreen, señalando por presuntos vínculos con un esquema de acaparamiento de tierras y tala ilegal de madera, y la certificadora Verra los suspendió ""hasta que se hayan resuelto todos los problemas o incertidumbres detectados"".",https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=103797&IDKEY=d903q4jsafkasjfu90amnmasdfkaidflnmdf9348r09dmfasdfu143136063,9º25’13.4”,61º44´49.4”,Sim,Brasil,Amazonia,Verra,Cruzagrafos,Receita Federal,Google Earth,https://news.mongabay.com/2024/05/top-brands-buy-amazon-carbon-credits-from-suspected-timber-laundering-scam/,https://news.mongabay.com/2024/06/verra-suspends-carbon-credit-projects-following-police-raid-in-brazil/,https://news.mongabay.com/2024/06/brazilian-investigators-raid-amazon-carbon-credit-projects-exposed-by-mongabay/,Empreendedor individual é réu em 37 ações ambientais,,,,
BR4867VER,4867,Project AHU REDD+,Mato Grosso,Paranatinga,MT,Privado ,,,Registration requested,,,30,2021-2051,32326,12.028.178/0001-20,Carbonext Tecnologia em Soluções Ambientais LTDA,Verra,VM0015,Aenor International S.A.U.,N/A,https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=105943&IDKEY=s0e98hfalksuf098fnsdalfkjfoijmn4309JLKJFjlaksjfla9h146095397,,Verra Search Page,,O cenário sem projeto é de extração ilegal de madeira seguida de eventos frequentes de incêndio. O projeto emprega tecnologias de proteção agrupadas em um Programa de Integridade Florestal e medidas preventivas realizadas no âmbito de um Programa de Rede Comunitária. ,"Proyecto que gira en torno a cuatro predios que conforman la hacienda privada Agrochapada en Mato Grosso. Es desarrollado por el propietario del predio, la empresa Agropecuária Chapada Dos Guimaraes S.A., y el operador del predio, la empresa Agropecuária Cavalca MT Ltda, en alianza con la desarrolladora Carbonext Tecnologia em Soluções Ambientais Ltda, una de las mayores de Brasil. Aparecía en la plataforma de Verra como habiendo ""solicitado registro"" a mayo de 2025. Al menos tres proyectos de Carbonext han estado envueltos en controversias: una investigación de Mongabay, en alianza con el Center for Climate Crime Analysis (CCCA), mostró que los proyectos Unitor y Fortaleza Ituxi ligados al empresario Ricardo Stoppe Jr. pueden haber sido usados para blanquear madera procedente de zonas deforestadas ilegalmente. La Policía Federal lanzó un operativo contra los promotores de esos dos proyectos y otro llamado Evergreen, señalando por presuntos vínculos con un esquema de acaparamiento de tierras y tala ilegal de madera, y la certificadora Verra los suspendió ""hasta que se hayan resuelto todos los problemas o incertidumbres detectados"".",https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=104280&IDKEY=9iquwesdfmnk0iei23nnm435oiojnc909dsflk9809adlkmlkff143802120,,,Sim,Brasil,"Cerrado, Amazonia",Verra,Cruzagrafos,Receita Federal,Google Earth,https://www.en.aenor.com/,https://www.en.aenor.com/,,Próximo a áreas bastante degradadas,,,,
BR4867VER,4867,Project AHU REDD+,Mato Grosso,Paranatinga,MT,Privado ,,,Registration requested,,,30,2021-2051,32326,03.472.750/0001-54,Agropecuária Chapada Dos Guimaraes S.A.,Verra,VM0015,Aenor International S.A.U.,N/A,https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=105943&IDKEY=s0e98hfalksuf098fnsdalfkjfoijmn4309JLKJFjlaksjfla9h146095397,,Verra Search Page,,O cenário sem projeto é de extração ilegal de madeira seguida de eventos frequentes de incêndio. O projeto emprega tecnologias de proteção agrupadas em um Programa de Integridade Florestal e medidas preventivas realizadas no âmbito de um Programa de Rede Comunitária. ,"Proyecto que gira en torno a cuatro predios que conforman la hacienda privada Agrochapada en Mato Grosso. Es desarrollado por el propietario del predio, la empresa Agropecuária Chapada Dos Guimaraes S.A., y el operador del predio, la empresa Agropecuária Cavalca MT Ltda, en alianza con la desarrolladora Carbonext Tecnologia em Soluções Ambientais Ltda, una de las mayores de Brasil. Aparecía en la plataforma de Verra como habiendo ""solicitado registro"" a mayo de 2025. Al menos tres proyectos de Carbonext han estado envueltos en controversias: una investigación de Mongabay, en alianza con el Center for Climate Crime Analysis (CCCA), mostró que los proyectos Unitor y Fortaleza Ituxi ligados al empresario Ricardo Stoppe Jr. pueden haber sido usados para blanquear madera procedente de zonas deforestadas ilegalmente. La Policía Federal lanzó un operativo contra los promotores de esos dos proyectos y otro llamado Evergreen, señalando por presuntos vínculos con un esquema de acaparamiento de tierras y tala ilegal de madera, y la certificadora Verra los suspendió ""hasta que se hayan resuelto todos los problemas o incertidumbres detectados"".",https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=104280&IDKEY=9iquwesdfmnk0iei23nnm435oiojnc909dsflk9809adlkmlkff143802120,,,Sim,Brasil,"Cerrado, Amazonia",Verra,Cruzagrafos,Receita Federal,Google Earth,https://www.en.aenor.com/,https://www.en.aenor.com/,,Próximo a áreas bastante degradadas,,,,
