Issuance Date,Sustainable Development Goals,Vintage Start,Vintage End,ID,Name,Country/Area,Project Type,Methodology,Total Vintage Quantity,Quantity Issued,Serial Number,Additional Certifications,Retirement/Cancellation Date,Retirement Beneficiary,Retirement Reason,Retirement Details
2025-04-15,,2022-01-01,2022-12-31,2558,ABC Norte REDD Project,Brazil,Agriculture Forestry and Other Land Use,VM0015,"445,886","192,385",17992-869072733-869265117-VCS-VCU-262-VER-BR-14-2558-01012022-31122022-1,Social Carbon,,,,
2025-04-15,,2023-01-01,2023-03-31,2558,ABC Norte REDD Project,Brazil,Agriculture Forestry and Other Land Use,VM0015,"233,480","49,686",17993-869265118-869314803-VCS-VCU-262-VER-BR-14-2558-01012023-31032023-1,Social Carbon,,,,
2025-04-07,,2022-01-01,2022-12-31,2558,ABC Norte REDD Project,Brazil,Agriculture Forestry and Other Land Use,VM0015,"445,886","120,326",17966-868414172-868534497-VCS-VCU-262-VER-BR-14-2558-01012022-31122022-1,Social Carbon,2025-04-16,,,
2025-04-07,,2023-01-01,2023-03-31,2558,ABC Norte REDD Project,Brazil,Agriculture Forestry and Other Land Use,VM0015,"233,480","3,156",17967-868534498-868537653-VCS-VCU-262-VER-BR-14-2558-01012023-31032023-1,Social Carbon,2025-04-16,,,
2023-01-31,,2020-01-01,2020-12-31,2558,ABC Norte REDD Project,Brazil,Agriculture Forestry and Other Land Use,VM0015,"311,936","84,848",14605-611885388-611970235-VCS-VCU-262-VER-BR-14-2558-01012020-31122020-1,Social Carbon,,,,
2023-01-31,,2020-01-01,2020-12-31,2558,ABC Norte REDD Project,Brazil,Agriculture Forestry and Other Land Use,VM0015,"311,936","1,000",14605-611985388-611986387-VCS-VCU-262-VER-BR-14-2558-01012020-31122020-1,Social Carbon,2023-05-26,,,
2023-01-31,,2020-01-01,2020-12-31,2558,ABC Norte REDD Project,Brazil,Agriculture Forestry and Other Land Use,VM0015,"311,936","3,383",14605-611970236-611973618-VCS-VCU-262-VER-BR-14-2558-01012020-31122020-1,Social Carbon,2023-05-31,XP INVESTIMENTOS S.A.,Retirement for Person or Organization,Retirada permanente de circulação do mercado em nome de XP Inc. para a compensação das emissões de gases de efeito estufa geradas pelas diversas operações do Grupo XP Inc. ao longo do ano de 2022.
2023-01-31,,2020-01-01,2020-12-31,2558,ABC Norte REDD Project,Brazil,Agriculture Forestry and Other Land Use,VM0015,"311,936",2,14605-612060449-612060450-VCS-VCU-262-VER-BR-14-2558-01012020-31122020-1,Social Carbon,2023-10-17,Instituto Algar,Environmental Benefit,Retirement on the be half of Instituto Algar - Encontro de Voluntários Algar
2023-01-31,,2020-01-01,2020-12-31,2558,ABC Norte REDD Project,Brazil,Agriculture Forestry and Other Land Use,VM0015,"311,936",500,14605-612140091-612140590-VCS-VCU-262-VER-BR-14-2558-01012020-31122020-1,Social Carbon,2024-08-29,Embratur - Agencia Brasileira de Promoção Internacional do Turismo,Retirement for Person or Organization,"Compensação referente as emissões de voos anuais realizados pela sua equipe, energia elétrica (escopo 2) e pegada de carbono das ferramentas promocionais para o ano de 2024"
2023-01-31,,2020-01-01,2020-12-31,2558,ABC Norte REDD Project,Brazil,Agriculture Forestry and Other Land Use,VM0015,"311,936","1,000",14605-611986388-611987387-VCS-VCU-262-VER-BR-14-2558-01012020-31122020-1,Social Carbon,2023-06-16,,,
2023-01-31,,2020-01-01,2020-12-31,2558,ABC Norte REDD Project,Brazil,Agriculture Forestry and Other Land Use,VM0015,"311,936",1,14605-611973619-611973619-VCS-VCU-262-VER-BR-14-2558-01012020-31122020-1,Social Carbon,2025-02-13,Red Bull Corporate - RS,Retirement for Person or Organization,Neutralização de 1 tonelada de CO2 equivalente (tCO2e) para a Trashin proveniente das emissões do transporte de resíduos do cliente Red Bull Corporate (RS).
2023-01-31,,2020-01-01,2020-12-31,2558,ABC Norte REDD Project,Brazil,Agriculture Forestry and Other Land Use,VM0015,"311,936",500,14605-611987388-611987887-VCS-VCU-262-VER-BR-14-2558-01012020-31122020-1,Social Carbon,2023-06-17,,,
2023-01-31,,2020-01-01,2020-12-31,2558,ABC Norte REDD Project,Brazil,Agriculture Forestry and Other Land Use,VM0015,"311,936","1,557",14605-611987888-611989444-VCS-VCU-262-VER-BR-14-2558-01012020-31122020-1,Social Carbon,2023-09-29,,,
2023-01-31,,2020-01-01,2020-12-31,2558,ABC Norte REDD Project,Brazil,Agriculture Forestry and Other Land Use,VM0015,"311,936","5,000",14605-611989445-611994444-VCS-VCU-262-VER-BR-14-2558-01012020-31122020-1,Social Carbon,2023-12-20,,,
2023-01-31,,2020-01-01,2020-12-31,2558,ABC Norte REDD Project,Brazil,Agriculture Forestry and Other Land Use,VM0015,"311,936",2,14605-612060454-612060455-VCS-VCU-262-VER-BR-14-2558-01012020-31122020-1,Social Carbon,2024-12-10,Algar S/A,Environmental Benefit,Retirement on be half of Algar S/A -  Algar 2100
2023-01-31,,2020-01-01,2020-12-31,2558,ABC Norte REDD Project,Brazil,Agriculture Forestry and Other Land Use,VM0015,"311,936",1,14605-612060451-612060451-VCS-VCU-262-VER-BR-14-2558-01012020-31122020-1,Social Carbon,2024-08-23,Instituto Algar,Environmental Benefit,Retirement on be half of Instituto Algar - Encontro de Voluntários Algar
2023-01-31,,2020-01-01,2020-12-31,2558,ABC Norte REDD Project,Brazil,Agriculture Forestry and Other Land Use,VM0015,"311,936",500,14605-611973620-611974119-VCS-VCU-262-VER-BR-14-2558-01012020-31122020-1,Social Carbon,2024-02-09,REGREEN GmbH,Retirement for Person or Organization,I am offsetting the carbon footprint of my organization
2023-01-31,,2020-01-01,2020-12-31,2558,ABC Norte REDD Project,Brazil,Agriculture Forestry and Other Land Use,VM0015,"311,936","1,500",14605-611994445-611995944-VCS-VCU-262-VER-BR-14-2558-01012020-31122020-1,Social Carbon,2023-12-21,,,
2023-01-31,,2020-01-01,2020-12-31,2558,ABC Norte REDD Project,Brazil,Agriculture Forestry and Other Land Use,VM0015,"311,936","8,000",14605-611995945-612003944-VCS-VCU-262-VER-BR-14-2558-01012020-31122020-1,Social Carbon,2024-01-12,,,
2023-01-31,,2020-01-01,2020-12-31,2558,ABC Norte REDD Project,Brazil,Agriculture Forestry and Other Land Use,VM0015,"311,936","1,000",14605-612003945-612004944-VCS-VCU-262-VER-BR-14-2558-01012020-31122020-1,Social Carbon,2024-07-25,,,
2023-01-31,,2020-01-01,2020-12-31,2558,ABC Norte REDD Project,Brazil,Agriculture Forestry and Other Land Use,VM0015,"311,936",200,14605-611974120-611974319-VCS-VCU-262-VER-BR-14-2558-01012020-31122020-1,Social Carbon,2024-07-01,BB Tecnologia e Serviços S.A.,Retirement for Person or Organization,Aposentadoria de 200 créditos de carbono em nome da BB Tecnologia e Serviços S.A. neutralização das emissões escopo 01 de 2023/ Retirement of 200 carbon credits on behalf of BB Tecnologia e Serviços S.A. to neutralize emissions scope 01 of 2023.
2023-01-31,,2020-01-01,2020-12-31,2558,ABC Norte REDD Project,Brazil,Agriculture Forestry and Other Land Use,VM0015,"311,936",85,14605-611974320-611974404-VCS-VCU-262-VER-BR-14-2558-01012020-31122020-1,Social Carbon,2024-08-26,Future Carbon Holding S.A.,Retirement for Person or Organization,Compensação das emissões dos gases de efeito estufa da Future Carbon Holding para o ano de 2022.
2023-01-31,,2020-01-01,2020-12-31,2558,ABC Norte REDD Project,Brazil,Agriculture Forestry and Other Land Use,VM0015,"311,936",175,14605-612004945-612005119-VCS-VCU-262-VER-BR-14-2558-01012020-31122020-1,Social Carbon,2024-09-05,,,
