issuanceDate,programObjectives,instrumentType,vintageStart,vintageEnd,reportingPeriodStart,reportingPeriodEnd,resourceIdentifier,resourceName,region,country,protocolCategory,protocol,totalVintageQuantity,quantity,serialNumbers,externalSerialNumber,additionalCertifications,retiredCancelled,retireOrCancelDate,retirementBeneficiary,retirementReason,retirementDetails,inputTypes,holdingIdentifier,id_projeto
2023-05-25,NA,VCU,2019-02-15,2019-10-15,2019-02-15,2019-10-15,1115,JARI/AMAPÁ REDD+ PROJECT,Latin America,Brazil,Agriculture Forestry and Other Land Use,VM0015,246388,20,15181-661126009-661126028-VCS-VCU-263-VER-BR-14-1115-15022019-15102019-1,NA,CCB-Biodiversity Gold,TRUE,2023-06-02,KRAFT BOWLS,Retirement for Person or Organization,Aposentadoria em nome da Kraft Bowls para neutralização das emissões escopo 1 e 2 de 2022 / Retirement on behalf of Kraft Bowls to offset emissions from scope 1 and 2 - 2022,NA,205939,1115
2023-05-25,NA,VCU,2019-02-15,2019-10-15,2019-02-15,2019-10-15,1115,JARI/AMAPÁ REDD+ PROJECT,Latin America,Brazil,Agriculture Forestry and Other Land Use,VM0015,246388,169,15181-661126029-661126197-VCS-VCU-263-VER-BR-14-1115-15022019-15102019-1,NA,CCB-Biodiversity Gold,TRUE,2023-06-07,ASPIL Aspiração Industrial e Serviços LTDA,Retirement for Person or Organization,Esta aposentadoria atesta a neutralização de 169 toneladas de CO2 equivalentes em Reduções Verificadas de Emissões geradas pelo Projeto REDD+ Jari Amapá para neutralização referente ao inventário GEE do ano 2021,NA,206541,1115
2023-05-25,NA,VCU,2019-02-15,2019-10-15,2019-02-15,2019-10-15,1115,JARI/AMAPÁ REDD+ PROJECT,Latin America,Brazil,Agriculture Forestry and Other Land Use,VM0015,246388,29,15181-661126198-661126226-VCS-VCU-263-VER-BR-14-1115-15022019-15102019-1,NA,CCB-Biodiversity Gold,TRUE,2023-06-20,LASER DREAM BRASIL,Retirement for Person or Organization,Este certificado atesta a Neutralização de 29 toneladas de CO2 equivalentes em Reduções Verificadas de Emissões geradas pelo Projeto REDD+ Jari Amapá a partir do selo Verified Carbon Standard para neutralização das emissões de GEE corporativas do ano de 2022.,NA,207123,1115
2023-05-25,NA,VCU,2019-02-15,2019-10-15,2019-02-15,2019-10-15,1115,JARI/AMAPÁ REDD+ PROJECT,Latin America,Brazil,Agriculture Forestry and Other Land Use,VM0015,246388,70,15181-661126227-661126296-VCS-VCU-263-VER-BR-14-1115-15022019-15102019-1,NA,CCB-Biodiversity Gold,TRUE,2023-06-27,Siemens Large Drives Maquinas e Soluções Ltda,Retirement for Person or Organization,Este certificado atesta a Neutralização de 70 toneladas de CO2 equivalentes em Reduções Verificadas de Emissões geradas pelo Projeto REDD+ Jari Amapá a partir do selo Verified Carbon Standard para neutralização das emissões de GEE corporativas desde outubro de 2021,NA,208168,1115
2023-05-25,NA,VCU,2019-02-15,2019-10-15,2019-02-15,2019-10-15,1115,JARI/AMAPÁ REDD+ PROJECT,Latin America,Brazil,Agriculture Forestry and Other Land Use,VM0015,246388,1090,15181-661126297-661127386-VCS-VCU-263-VER-BR-14-1115-15022019-15102019-1,NA,CCB-Biodiversity Gold,TRUE,2023-06-27,Arezzo&co,Retirement for Person or Organization,Aposentadoria permanente de circulação do mercado em nome da Arezzo&co referente as emissões corporativas de Escopo 1 e 2 do ano de 2022 / Retirement on behalf of Arezzo&co referring to corporate emissions of Scope 1 and 2 of the year 2022.,NA,208965,1115
2023-05-25,NA,VCU,2019-02-15,2019-10-15,2019-02-15,2019-10-15,1115,JARI/AMAPÁ REDD+ PROJECT,Latin America,Brazil,Agriculture Forestry and Other Land Use,VM0015,246388,5334,15181-661127387-661132720-VCS-VCU-263-VER-BR-14-1115-15022019-15102019-1,NA,CCB-Biodiversity Gold,TRUE,2023-07-05,LOJAS RENNER S.A.,Retirement for Person or Organization,"Aposentadoria de 5.334t em nome da Lojas Renner S.A., referente ao Inventário de Emissões de Gases de Efeito Estufa | Retirement of 5,334t on behalf of Lojas Renner S.A., referring to the Inventory of Greenhouse Gas Emissions.",NA,209001,1115
2023-05-25,NA,VCU,2019-02-15,2019-10-15,2019-02-15,2019-10-15,1115,JARI/AMAPÁ REDD+ PROJECT,Latin America,Brazil,Agriculture Forestry and Other Land Use,VM0015,246388,17,15181-661132721-661132737-VCS-VCU-263-VER-BR-14-1115-15022019-15102019-1,NA,CCB-Biodiversity Gold,TRUE,2023-07-12,MÓDULO CAPITAL GESTÃO DE RECURSOS LTDA,Retirement for Person or Organization,"Aposentadoria em nome da Módulo Capital para neutralização das emissões de escopo 1, 2 e 3 do ano 2022. / Retirement on behalf of Módulo Capital to offset emissions from scopes 1, 2 and 3 of 2022.",NA,210162,1115
2023-05-25,NA,VCU,2019-02-15,2019-10-15,2019-02-15,2019-10-15,1115,JARI/AMAPÁ REDD+ PROJECT,Latin America,Brazil,Agriculture Forestry and Other Land Use,VM0015,246388,10,15181-661132738-661132747-VCS-VCU-263-VER-BR-14-1115-15022019-15102019-1,NA,CCB-Biodiversity Gold,TRUE,2023-07-12,Legend Capital,Retirement for Person or Organization,Este certificado atesta a Neutralização de 10 toneladas de CO2 equivalentes em Reduções Verificadas de Emissões geradas pelo Projeto REDD+ Jari-amapá a partir do selo Verified Carbon Standard para neutralização referente ao inventário GEE do ano 2022.,NA,210818,1115
2023-05-25,NA,VCU,2019-02-15,2019-10-15,2019-02-15,2019-10-15,1115,JARI/AMAPÁ REDD+ PROJECT,Latin America,Brazil,Agriculture Forestry and Other Land Use,VM0015,246388,10,15181-661132748-661132757-VCS-VCU-263-VER-BR-14-1115-15022019-15102019-1,NA,CCB-Biodiversity Gold,TRUE,2023-07-12,Target Trading,Retirement for Person or Organization,Este certificado atesta a Neutralização de 10 toneladas de CO2 equivalentes em Reduções Verificadas de Emissões geradas pelo Projeto Jari Amapá REDD+ a partir do selo Verified Carbon Standard para neutralização das emissões de 2022.,NA,210819,1115
2023-05-25,NA,VCU,2019-02-15,2019-10-15,2019-02-15,2019-10-15,1115,JARI/AMAPÁ REDD+ PROJECT,Latin America,Brazil,Agriculture Forestry and Other Land Use,VM0015,246388,210,15181-661132758-661132967-VCS-VCU-263-VER-BR-14-1115-15022019-15102019-1,NA,CCB-Biodiversity Gold,TRUE,2023-07-21,Fundação Ulbra,Retirement for Person or Organization,Compensação de emissão de 210 toneladas de carbono (CO2) dos contratos de locação de 1053 equipamentos entre a Positivo e a Fundação Ulbra (CNPJ 03.286.299/0001-80 e suas filiais) listados abaixo: 03286299000180-001 - 184 unds 03286299000180-002 - 180 unds 03286299000180-003 - 139 unds 03286299000180-004 - 75 unds 03286299000180-005 - 286 unds 03286299000180-006 - 36 unds 88332580002885-007 - 130 unds 03286299000180-008 - 23 unds,NA,210820,1115
