issuanceDate,programObjectives,instrumentType,vintageStart,vintageEnd,reportingPeriodStart,reportingPeriodEnd,resourceIdentifier,resourceName,region,country,protocolCategory,protocol,totalVintageQuantity,quantity,serialNumbers,externalSerialNumber,additionalCertifications,retiredCancelled,retireOrCancelDate,retirementBeneficiary,retirementReason,retirementDetails,inputTypes,holdingIdentifier,id_projeto
2023-05-25,NA,VCU,2015-10-01,2020-08-07,2015-10-01,2020-08-07,1503,RESEX Rio Preto-Jacundá REDD+ Project,Latin America,Brazil,Agriculture Forestry and Other Land Use,VM0015,151801,500,15178-660528196-660528695-VCS-VCU-261-VER-BR-14-1503-01102015-07082020-1,NA,CCB-Biodiversity Gold; CCB-Community Gold,TRUE,2023-06-09,Cielo S.A.,Retirement for Person or Organization,"Aposentadoria em nome da Cielo S.A, incluindo coligadas, para neutralização das Emissões GEE de Escopo 1 de 2022 (período: 01.01.2022 a 31.12.2022). / Retirement on behalf of Cielo S.A, including Subsidiaries, to neutralize Scope 1 GHG Emissions from 2022 (period: 01.01.2022 to 12.31.2022).",NA,205936,1503
2023-05-25,NA,VCU,2015-10-01,2020-08-07,2015-10-01,2020-08-07,1503,RESEX Rio Preto-Jacundá REDD+ Project,Latin America,Brazil,Agriculture Forestry and Other Land Use,VM0015,151801,40,15178-660528696-660528735-VCS-VCU-261-VER-BR-14-1503-01102015-07082020-1,NA,CCB-Biodiversity Gold; CCB-Community Gold,TRUE,2023-06-22,RBR Asset Management,Retirement for Person or Organization,"Neutralização das emissões de gases de efeito estufa (GEE) da RBR Asset Management, nos escopos 1 e 2, referente ao período: 01.01.2022 a 31.12.2022.  Offset greenhouse gases (GHG) corporate emissions of company RBR Asset Management, from 01.01.2022 to 31.12.2022, scopes 1 and 2 of the inventory.",NA,207346,1503
2023-05-25,NA,VCU,2015-10-01,2020-08-07,2015-10-01,2020-08-07,1503,RESEX Rio Preto-Jacundá REDD+ Project,Latin America,Brazil,Agriculture Forestry and Other Land Use,VM0015,151801,2200,15178-660528736-660530935-VCS-VCU-261-VER-BR-14-1503-01102015-07082020-1,NA,CCB-Biodiversity Gold; CCB-Community Gold,TRUE,2023-07-21,MARAÉ INVESTIMENTOS e DÉDALUS ADMINISTRAÇÃO E PARTICIPAÇÕES LTDA,Retirement for Person or Organization,"Aposentadoria permanente de circulação do mercado em nome da MARAÉ INVESTIMENTOS e DÉDALUS ADMINISTRAÇÃO E PARTICIPAÇÕES LTDA referente as emissões corporativas de Escopos 1, 2 e 3 do ano de 2022 / Retirement on behalf of MARAÉ INVESTIMENTOS and DÉDALUS ADMINISTRAÇÃO E PARTICIPAÇÕES LTDA referring to corporate emissions of Scopes 1, 2 and 3 of the year 2022.",NA,208404,1503
2023-05-25,NA,VCU,2015-10-01,2020-08-07,2015-10-01,2020-08-07,1503,RESEX Rio Preto-Jacundá REDD+ Project,Latin America,Brazil,Agriculture Forestry and Other Land Use,VM0015,151801,1,15178-660530936-660530936-VCS-VCU-261-VER-BR-14-1503-01102015-07082020-1,NA,CCB-Biodiversity Gold; CCB-Community Gold,TRUE,2024-05-24,Skn SKY Empreendimento Imobiliário Spe Ltda,Retirement for Person or Organization,Compensação de emissão de CO²,NA,212189,1503
2023-05-25,NA,VCU,2015-10-01,2020-08-07,2015-10-01,2020-08-07,1503,RESEX Rio Preto-Jacundá REDD+ Project,Latin America,Brazil,Agriculture Forestry and Other Land Use,VM0015,151801,4000,15178-660530941-660534940-VCS-VCU-261-VER-BR-14-1503-01102015-07082020-1,NA,CCB-Biodiversity Gold; CCB-Community Gold,TRUE,2023-08-10,PAGSEGURO INTERNET INSTITUIÇÃO DE PAGAMENTO S.A.,Retirement for Person or Organization,"Aposentadoria em nome da Pagseguro Internet Instituição de Pagamento S.A para neutralização das emissões corporativas de Escopo 1, 2 e 3 do ano 2022” / “Retirementon behalf of Pagseguro Internet Instituição de Pagamento S.A to offset corporate emissions of Scope 1,2 and 3 for the year 2022”.",NA,213317,1503
2023-05-25,NA,VCU,2015-10-01,2020-08-07,2015-10-01,2020-08-07,1503,RESEX Rio Preto-Jacundá REDD+ Project,Latin America,Brazil,Agriculture Forestry and Other Land Use,VM0015,151801,192,15178-660534941-660535132-VCS-VCU-261-VER-BR-14-1503-01102015-07082020-1,NA,CCB-Biodiversity Gold; CCB-Community Gold,TRUE,2023-10-05,Innofactor Oyj,Retirement for Person or Organization,Voluntary offset of business activities for Innofactor Oyj,NA,214472,1503
2023-05-25,NA,VCU,2015-10-01,2020-08-07,2015-10-01,2020-08-07,1503,RESEX Rio Preto-Jacundá REDD+ Project,Latin America,Brazil,Agriculture Forestry and Other Land Use,VM0015,151801,1005,15178-660544941-660545945-VCS-VCU-261-VER-BR-14-1503-01102015-07082020-1,NA,CCB-Biodiversity Gold; CCB-Community Gold,TRUE,2023-09-28,ANTILHAS GRÁFICA E EMBALAGENS,Retirement for Person or Organization,Este certificado atesta a compensação de 1.005 toneladas de CO2 equivalentes em Reduções Verificadas de Emissões geradas pelo Projeto REDD+ Rio Preto Jacundá (projeto auditado por: Earthood Services Private Limited) para neutralização referente ao inventário GEE do ano 2022.,NA,215881,1503
2023-05-25,NA,VCU,2015-10-01,2020-08-07,2015-10-01,2020-08-07,1503,RESEX Rio Preto-Jacundá REDD+ Project,Latin America,Brazil,Agriculture Forestry and Other Land Use,VM0015,151801,138,15178-660545946-660546083-VCS-VCU-261-VER-BR-14-1503-01102015-07082020-1,NA,CCB-Biodiversity Gold; CCB-Community Gold,TRUE,2024-07-16,Vibra Energia,Retirement for Person or Organization,"Sempre a postos para mover o Brasil com a sua melhor energia, além do seu comprometimento com a transição energética, a Vibra Energia adquiriu 138 créditos de carbono do projeto REDD+ RESEX Jacundá, visando compensar as emissões de gases de efeito estufa emitidas pelo evento Vem de Vibra, realizado em fevereiro de 2024.",NA,219224,1503
2023-05-25,NA,VCU,2015-10-01,2020-08-07,2015-10-01,2020-08-07,1503,RESEX Rio Preto-Jacundá REDD+ Project,Latin America,Brazil,Agriculture Forestry and Other Land Use,VM0015,151801,30,15178-660535133-660535162-VCS-VCU-261-VER-BR-14-1503-01102015-07082020-1,NA,CCB-Biodiversity Gold; CCB-Community Gold,TRUE,2023-11-22,EDP - Energias do Brasil S.A.,Retirement for Person or Organization,Compensação de emissões de GEE de EDP - Energias do Brasil S.A.,NA,219496,1503
2023-05-25,NA,VCU,2015-10-01,2020-08-07,2015-10-01,2020-08-07,1503,RESEX Rio Preto-Jacundá REDD+ Project,Latin America,Brazil,Agriculture Forestry and Other Land Use,VM0015,151801,100,15178-660535233-660535332-VCS-VCU-261-VER-BR-14-1503-01102015-07082020-1,NA,CCB-Biodiversity Gold; CCB-Community Gold,TRUE,2024-01-25,,,,NA,223819,1503
2023-05-25,NA,VCU,2015-10-01,2020-08-07,2015-10-01,2020-08-07,1503,RESEX Rio Preto-Jacundá REDD+ Project,Latin America,Brazil,Agriculture Forestry and Other Land Use,VM0015,151801,70,15178-660535163-660535232-VCS-VCU-261-VER-BR-14-1503-01102015-07082020-1,NA,CCB-Biodiversity Gold; CCB-Community Gold,FALSE,NA,,,,NA,223929,1503
2023-05-25,NA,VCU,2015-10-01,2020-08-07,2015-10-01,2020-08-07,1503,RESEX Rio Preto-Jacundá REDD+ Project,Latin America,Brazil,Agriculture Forestry and Other Land Use,VM0015,151801,1127,15178-660565946-660567072-VCS-VCU-261-VER-BR-14-1503-01102015-07082020-1,NA,CCB-Biodiversity Gold; CCB-Community Gold,TRUE,2024-01-04,Ticket Soluções HDFGT S/A,Retirement for Person or Organization,Aposentadoria permanente de circulação do mercado das emissões de 2022 em nome da Ticket Soluções HDFGT S/A / Retirement on behalf of Ticket Soluções HDFGT S/A referring to corporate emissions – 2022.,NA,229610,1503
2023-05-25,NA,VCU,2015-10-01,2020-08-07,2015-10-01,2020-08-07,1503,RESEX Rio Preto-Jacundá REDD+ Project,Latin America,Brazil,Agriculture Forestry and Other Land Use,VM0015,151801,915,15178-660567073-660567987-VCS-VCU-261-VER-BR-14-1503-01102015-07082020-1,NA,CCB-Biodiversity Gold; CCB-Community Gold,TRUE,2024-01-04,Ticket Servicos S.A,Retirement for Person or Organization,Aposentadoria permanente de circulação do mercado das emissões de 2022 em nome da Ticket Servicos SA / Retirement on behalf of Ticket Servicos SA referring to corporate emissions – 2022.,NA,231800,1503
