issuanceDate,programObjectives,instrumentType,vintageStart,vintageEnd,reportingPeriodStart,reportingPeriodEnd,resourceIdentifier,resourceName,region,country,protocolCategory,protocol,totalVintageQuantity,quantity,serialNumbers,externalSerialNumber,additionalCertifications,retiredCancelled,retireOrCancelDate,retirementBeneficiary,retirementReason,retirementDetails,inputTypes,holdingIdentifier,id_projeto
2014-09-22,NA,VCU,2013-01-01,2013-12-31,2013-01-01,2013-12-31,128,Promotion of Low cost Irrigation Device in Eastern States of India,Asia,India,Energy demand; Energy industries (renewable/non-renewable sources),AMS-I.B.,25155,21500,3548-157497104-157518603-VCU-047-APX-IN-3-128-01012013-31122013-0,NA,NA,TRUE,2015-08-13,NA,Other,"Q2 2015 retirement (Total FedEx 17 Other 21,483)",NA,9952,128
2014-09-22,NA,VCU,2013-01-01,2013-12-31,2013-01-01,2013-12-31,128,Promotion of Low cost Irrigation Device in Eastern States of India,Asia,India,Energy demand; Energy industries (renewable/non-renewable sources),AMS-I.B.,25155,622,3548-157518604-157519225-VCU-047-APX-IN-3-128-01012013-31122013-0,NA,NA,TRUE,2015-09-30,NA,Other,Q3 2015 FedEX,NA,11678,128
2014-09-22,NA,VCU,2013-01-01,2013-12-31,2013-01-01,2013-12-31,128,Promotion of Low cost Irrigation Device in Eastern States of India,Asia,India,Energy demand; Energy industries (renewable/non-renewable sources),AMS-I.B.,25155,12,3548-157519226-157519237-VCU-047-APX-IN-3-128-01012013-31122013-0,NA,NA,TRUE,2015-09-30,NA,Other,Q3 2015 - general,NA,11953,128
2014-09-22,NA,VCU,2013-01-01,2013-12-31,2013-01-01,2013-12-31,128,Promotion of Low cost Irrigation Device in Eastern States of India,Asia,India,Energy demand; Energy industries (renewable/non-renewable sources),AMS-I.B.,25155,1268,3548-157519238-157520505-VCU-047-APX-IN-3-128-01012013-31122013-0,NA,NA,TRUE,2015-12-22,NA,Other,4Q15 - Castrol,NA,70046,128
2014-09-22,NA,VCU,2013-01-01,2013-12-31,2013-01-01,2013-12-31,128,Promotion of Low cost Irrigation Device in Eastern States of India,Asia,India,Energy demand; Energy industries (renewable/non-renewable sources),AMS-I.B.,25155,77,3548-157520506-157520582-VCU-047-APX-IN-3-128-01012013-31122013-0,NA,NA,TRUE,2015-12-22,NA,Other,4Q15 - Other retirements including 38t for AirBP,NA,70047,128
2014-09-22,NA,VCU,2013-01-01,2013-12-31,2013-01-01,2013-12-31,128,Promotion of Low cost Irrigation Device in Eastern States of India,Asia,India,Energy demand; Energy industries (renewable/non-renewable sources),AMS-I.B.,25155,677,3548-157520583-157521259-VCU-047-APX-IN-3-128-01012013-31122013-0,NA,NA,TRUE,2016-04-25,NA,Other,1Q 2016 - FedEx Envelope Shipping Period 9,NA,70048,128
2014-09-22,NA,VCU,2013-01-01,2013-12-31,2013-01-01,2013-12-31,128,Promotion of Low cost Irrigation Device in Eastern States of India,Asia,India,Energy demand; Energy industries (renewable/non-renewable sources),AMS-I.B.,25155,999,3548-157521260-157522258-VCU-047-APX-IN-3-128-01012013-31122013-0,NA,NA,TRUE,2016-04-25,NA,Other,"UFA66864 - Castrol Professional 1Q 2016 - 101,000tn",NA,70049,128
2014-01-29,NA,VCU,2012-01-01,2012-12-31,2012-01-01,2012-12-31,128,Promotion of Low cost Irrigation Device in Eastern States of India,Asia,India,Energy demand; Energy industries (renewable/non-renewable sources),AMS-I.B.,32615,5000,3213-145294618-145299617-VCU-047-APX-IN-3-128-01012012-31122012-0,NA,NA,TRUE,2016-06-22,,,,NA,8977,128
2014-01-29,NA,VCU,2012-01-01,2012-12-31,2012-01-01,2012-12-31,128,Promotion of Low cost Irrigation Device in Eastern States of India,Asia,India,Energy demand; Energy industries (renewable/non-renewable sources),AMS-I.B.,32615,149,3213-145299618-145299766-VCU-047-APX-IN-3-128-01012012-31122012-0,NA,NA,TRUE,2015-05-12,,,,NA,10592,128
2014-01-29,NA,VCU,2012-01-01,2012-12-31,2012-01-01,2012-12-31,128,Promotion of Low cost Irrigation Device in Eastern States of India,Asia,India,Energy demand; Energy industries (renewable/non-renewable sources),AMS-I.B.,32615,10480,3213-145302118-145312597-VCU-047-APX-IN-3-128-01012012-31122012-0,NA,NA,TRUE,2015-03-30,Aviva,Retirement for Person or Organization,To offset Aviva’s business operations in 2014 and 2015,NA,10891,128
