issuanceDate,programObjectives,instrumentType,vintageStart,vintageEnd,reportingPeriodStart,reportingPeriodEnd,resourceIdentifier,resourceName,region,country,protocolCategory,protocol,totalVintageQuantity,quantity,serialNumbers,externalSerialNumber,additionalCertifications,retiredCancelled,retireOrCancelDate,retirementBeneficiary,retirementReason,retirementDetails,inputTypes,holdingIdentifier,id_projeto
2014-12-15,NA,VCU,2013-01-01,2013-07-31,2013-01-01,2013-07-31,141,Babilonia Hydroelectric Project,Latin America,Honduras,Energy industries (renewable/non-renewable sources),AMS-I.D.,10057,2651,3657-160844420-160847070-VCU-009-MER-HN-1-141-01012013-31072013-0,NA,NA,FALSE,NA,,,,NA,31819,141
2014-12-15,NA,VCU,2013-01-01,2013-07-31,2013-01-01,2013-07-31,141,Babilonia Hydroelectric Project,Latin America,Honduras,Energy industries (renewable/non-renewable sources),AMS-I.D.,10057,943,3657-160838071-160839013-VCU-009-MER-HN-1-141-01012013-31072013-0,NA,NA,TRUE,2014-12-17,NA,Other,"Retired on behalf of Haworth Furniture (Shanghai) Co., Ltd.",NA,74406,141
2014-12-15,NA,VCU,2013-01-01,2013-07-31,2013-01-01,2013-07-31,141,Babilonia Hydroelectric Project,Latin America,Honduras,Energy industries (renewable/non-renewable sources),AMS-I.D.,10057,1000,3657-160839014-160840013-VCU-009-MER-HN-1-141-01012013-31072013-0,NA,NA,TRUE,2015-02-03,NA,Other,Retired on behalf of EDP DMC,NA,74407,141
2014-12-15,NA,VCU,2013-01-01,2013-07-31,2013-01-01,2013-07-31,141,Babilonia Hydroelectric Project,Latin America,Honduras,Energy industries (renewable/non-renewable sources),AMS-I.D.,10057,3,3657-160844413-160844415-VCU-009-MER-HN-1-141-01012013-31072013-0,NA,NA,TRUE,2015-12-24,NA,Other,Retired on behalf of Starwood-129_1510,NA,74408,141
2014-12-15,NA,VCU,2013-01-01,2013-07-31,2013-01-01,2013-07-31,141,Babilonia Hydroelectric Project,Latin America,Honduras,Energy industries (renewable/non-renewable sources),AMS-I.D.,10057,4,3657-160844416-160844419-VCU-009-MER-HN-1-141-01012013-31072013-0,NA,NA,TRUE,2016-12-08,NA,Other,"Retired on Behalf of Starwood 129_1607, 1606, 1605 & 1601",NA,74409,141
2014-12-15,NA,VCU,2013-01-01,2013-07-31,2013-01-01,2013-07-31,141,Babilonia Hydroelectric Project,Latin America,Honduras,Energy industries (renewable/non-renewable sources),AMS-I.D.,10057,849,3657-160840014-160840862-VCU-009-MER-HN-1-141-01012013-31072013-0,NA,NA,TRUE,2016-05-20,NA,Other,Retired on behalf of LGT Group for the year 2015,NA,109469,141
2014-12-15,NA,VCU,2013-01-01,2013-07-31,2013-01-01,2013-07-31,141,Babilonia Hydroelectric Project,Latin America,Honduras,Energy industries (renewable/non-renewable sources),AMS-I.D.,10057,177,3657-160840863-160841039-VCU-009-MER-HN-1-141-01012013-31072013-0,NA,NA,TRUE,2017-08-28,NA,Other,Retired on behalf of LGT Group for the year 2015,NA,109470,141
2014-12-15,NA,VCU,2013-01-01,2013-07-31,2013-01-01,2013-07-31,141,Babilonia Hydroelectric Project,Latin America,Honduras,Energy industries (renewable/non-renewable sources),AMS-I.D.,10057,3373,3657-160841040-160844412-VCU-009-MER-HN-1-141-01012013-31072013-0,NA,NA,TRUE,2017-08-28,NA,Other,Retired on behalf of LGT Group for the year 2016,NA,109471,141
2014-12-15,NA,VCU,2011-09-01,2011-12-31,2011-09-01,2011-12-31,141,Babilonia Hydroelectric Project,Latin America,Honduras,Energy industries (renewable/non-renewable sources),AMS-I.D.,7688,1000,3656-160837071-160838070-VCU-009-MER-HN-1-141-01092011-31122011-0,NA,NA,TRUE,2014-12-18,NA,Other,Retired by South Pole on behalf of Sales Project 100894,NA,74405,141
2014-12-05,NA,VCU,2011-09-01,2011-12-31,2011-09-01,2011-12-31,141,Babilonia Hydroelectric Project,Latin America,Honduras,Energy industries (renewable/non-renewable sources),AMS-I.D.,7688,5000,3642-160373995-160378994-VCU-009-MER-HN-1-141-01092011-31122011-0,NA,NA,TRUE,2015-02-27,NA,Environmental Benefit,NA,NA,10384,141
2014-12-05,NA,VCU,2012-01-01,2012-12-31,2012-01-01,2012-12-31,141,Babilonia Hydroelectric Project,Latin America,Honduras,Energy industries (renewable/non-renewable sources),AMS-I.D.,21241,17349,3643-160378995-160396343-VCU-009-MER-HN-1-141-01012012-31122012-0,NA,NA,TRUE,2015-02-27,NA,Environmental Benefit,NA,NA,10390,141
2014-12-05,NA,VCU,2012-01-01,2012-12-31,2012-01-01,2012-12-31,141,Babilonia Hydroelectric Project,Latin America,Honduras,Energy industries (renewable/non-renewable sources),AMS-I.D.,21241,1050,3643-160396344-160397393-VCU-009-MER-HN-1-141-01012012-31122012-0,NA,NA,TRUE,2014-12-18,NA,Other,Retired by South Pole on behalf of Sales Project 100894,NA,74402,141
2014-12-05,NA,VCU,2012-01-01,2012-12-31,2012-01-01,2012-12-31,141,Babilonia Hydroelectric Project,Latin America,Honduras,Energy industries (renewable/non-renewable sources),AMS-I.D.,21241,1601,3643-160397394-160398994-VCU-009-MER-HN-1-141-01012012-31122012-0,NA,NA,TRUE,2016-05-20,NA,Other,Retired on behalf of LGT Group for the year 2015,NA,109472,141
2013-12-30,NA,VCU,2011-09-01,2011-12-31,2011-09-01,2011-12-31,141,Babilonia Hydroelectric Project,Latin America,Honduras,Energy industries (renewable/non-renewable sources),AMS-I.D.,7688,1410,3160-143750910-143752319-VCU-009-MER-HN-1-141-01092011-31122011-0,NA,NA,TRUE,2015-02-27,NA,Environmental Benefit,NA,NA,10388,141
2013-12-30,NA,VCU,2011-09-01,2011-12-31,2011-09-01,2011-12-31,141,Babilonia Hydroelectric Project,Latin America,Honduras,Energy industries (renewable/non-renewable sources),AMS-I.D.,7688,120,3160-143750632-143750751-VCU-009-MER-HN-1-141-01092011-31122011-0,NA,NA,TRUE,2014-07-02,NA,Other,Retired on behalf of Webshop SP-129_1405,NA,56771,141
2013-12-30,NA,VCU,2011-09-01,2011-12-31,2011-09-01,2011-12-31,141,Babilonia Hydroelectric Project,Latin America,Honduras,Energy industries (renewable/non-renewable sources),AMS-I.D.,7688,158,3160-143750752-143750909-VCU-009-MER-HN-1-141-01092011-31122011-0,NA,NA,TRUE,2014-10-23,NA,Other,Compensation des services de Printing et Hosting chez CISEL IT du 1.1.2015 au 31.12.2015,NA,56772,141
2013-12-30,NA,VCU,2012-01-01,2012-12-31,2012-01-01,2012-12-31,141,Babilonia Hydroelectric Project,Latin America,Honduras,Energy industries (renewable/non-renewable sources),AMS-I.D.,21241,1241,3161-143752320-143753560-VCU-009-MER-HN-1-141-01012012-31122012-0,NA,NA,TRUE,2015-02-27,NA,Environmental Benefit,NA,NA,10389,141
2013-12-30,NA,VCU,2013-01-01,2013-07-31,2013-01-01,2013-07-31,141,Babilonia Hydroelectric Project,Latin America,Honduras,Energy industries (renewable/non-renewable sources),AMS-I.D.,10057,1057,3162-143753561-143754617-VCU-009-MER-HN-1-141-01012013-31072013-0,NA,NA,TRUE,2014-12-17,NA,Other,"Retired on behalf of Haworth Furniture (Shanghai) Co., Ltd.",NA,56775,141
2011-12-27,NA,VCU,2010-08-01,2010-12-31,2010-08-01,2010-12-31,141,Babilonia Hydroelectric Project,Latin America,Honduras,Energy industries (renewable/non-renewable sources),AMS-I.D.,10973,559,1867-76879295-76879853-VCU-009-MER-HN-1-141-01082010-31122010-0,NA,NA,TRUE,2011-12-27,NA,Other,Retired on behalf of BATCCA Services S.A.,NA,74493,141
2011-12-27,NA,VCU,2010-08-01,2010-12-31,2010-08-01,2010-12-31,141,Babilonia Hydroelectric Project,Latin America,Honduras,Energy industries (renewable/non-renewable sources),AMS-I.D.,10973,7295,1867-76879854-76887148-VCU-009-MER-HN-1-141-01082010-31122010-0,NA,NA,TRUE,2011-12-27,NA,Other,Retired on behalf of Tabacalera Hondureña,NA,74494,141
2011-12-27,NA,VCU,2010-08-01,2010-12-31,2010-08-01,2010-12-31,141,Babilonia Hydroelectric Project,Latin America,Honduras,Energy industries (renewable/non-renewable sources),AMS-I.D.,10973,2546,1867-76887149-76889694-VCU-009-MER-HN-1-141-01082010-31122010-0,NA,NA,TRUE,2011-12-27,NA,Other,Retired on behalf of BATCA Sucursal Honduras,NA,74495,141
2011-12-27,NA,VCU,2010-08-01,2010-12-31,2010-08-01,2010-12-31,141,Babilonia Hydroelectric Project,Latin America,Honduras,Energy industries (renewable/non-renewable sources),AMS-I.D.,10973,573,1867-76889695-76890267-VCU-009-MER-HN-1-141-01082010-31122010-0,NA,NA,TRUE,2011-12-27,NA,Other,Retired on behalf of BATCA Sucursal Guatemala,NA,74496,141
2011-12-27,NA,VCU,2011-01-01,2011-08-31,2011-01-01,2011-08-31,141,Babilonia Hydroelectric Project,Latin America,Honduras,Energy industries (renewable/non-renewable sources),AMS-I.D.,11627,350,1868-76901545-76901894-VCU-009-MER-HN-1-141-01012011-31082011-0,NA,NA,TRUE,2025-02-27,EPAL (AdP),Retirement for Person or Organization,"e)mission neutralisation of carbon footprint of 5 corporate buildings, and invoice mailouts, 2024",NA,33109,141
